ID,Description_lang,Title_lang,Reward_lang
6,Reach level 10.,Level 10,
7,Reach level 20.,Level 20,
8,Reach level 30.,Level 30,
9,Reach level 40.,Level 40,
10,Reached level 50 prior to the Shadowlands expansion.,Level 50 (Legacy),
11,Reached level 60 prior to the Shadowlands expansion.,Level 60 (Legacy),
12,Reached level 70 prior to the Shadowlands expansion.,Level 70 (Legacy),
13,Reached level 80 prior to the Shadowlands expansion.,Level 80 (Legacy),
15,Collect 15 unique pets.,Plenty of Pets,
16,Raise your unarmed skill to 400.,Did Somebody Order a Knuckle Sandwich?,
31,Complete a daily quest every day for five consecutive days.,A Simple Re-Quest,
32,Complete 2000 quests.,2000 Quests Completed,
33,Complete the Borean Tundra storylines listed below.,Nothing Boring About Borean,
34,Complete the Howling Fjord storylines listed below.,I've Toured the Fjord,
35,Complete the Dragonblight storylines listed below.,Might of Dragonblight,
36,Complete the Zul'Drak storylines listed below.,The Empire of Zul'Drak,
37,Complete the Grizzly Hills storylines listed below.,Fo' Grizzle My Shizzle,
38,Complete the Storm Peaks storylines listed below.,The Summit of Storm Peaks,
39,Complete the Sholazar Basin storylines listed below.,Into the Basin,
40,Complete the Icecrown storylines listed below.,Icecrown: The Final Goal,
41,Complete the Northrend quest achievements listed below.,Loremaster of Northrend,
42,Explore the regions of Eastern Kingdoms.,Eastern Kingdoms Explorer,
43,Explore the regions of Kalimdor.,Kalimdor Explorer,
44,Explore the regions of Outland.,Outland Explorer,
45,Explore the regions of Northrend.,Northrend Explorer,Reward: Tabard of the Explorer
46,"Explore Eastern Kingdoms, Kalimdor, Outland, Northrend, the areas revealed by the Cataclysm, Pandaria, Draenor, the Broken Isles, Kul Tiras, and Zandalar.",Universal Explorer,Title: The Explorer
49,Alterac Valley victories,Alterac Valley victories,
50,Eye of the Storm victories,Eye of the Storm victories,
51,Arathi Basin victories,Arathi Basin victories,
52,Warsong Gulch battles,Warsong Gulch battles,
53,Alterac Valley battles,Alterac Valley battles,
54,Eye of the Storm battles,Eye of the Storm battles,
55,Arathi Basin battles,Arathi Basin battles,
60,Total deaths,Total deaths,
73,Assault 3 bases in a single Arathi Basin battle.,Disgracin' The Basin,
94,Quests abandoned,Quests abandoned,
95,Average quests completed per day,Average quests completed per day,
97,Daily quests completed,Daily quests completed,
98,Quests completed,Quests completed,
99,Ruins of Lordaeron matches,Ruins of Lordaeron matches,
100,Nagrand Arena victories,Nagrand Arena victories,
101,Nagrand Arena matches,Nagrand Arena matches,
102,Ruins of Lordaeron victories,Ruins of Lordaeron victories,
103,Blade's Edge Arena matches,Blade's Edge Arena matches,
104,Blade's Edge Arena victories,Blade's Edge Arena victories,
105,Warsong Gulch victories,Warsong Gulch victories,
107,Creatures killed,Creatures killed,
108,Critters killed,Critters killed,
110,Lich King 5-player boss killed the most,Lich King 5-player boss defeated the most,
112,Deaths from drowning,Deaths from drowning,
113,Deaths from fatigue,Deaths from fatigue,
114,Deaths from falling,Deaths from falling,
115,Deaths from fire and lava,Deaths from fire and lava,
116,"Obtain 150 skill points in a ""Classic"" category of a primary profession.",Professional Journeyman,
121,"Obtain 150 skill points in the ""Classic"" category of cooking.",Journeyman Cook,
122,"Obtain 225 skill points in the ""Classic"" category of cooking.",Expert Cook,
123,"Obtain 300 skill points in the ""Classic"" category of cooking.",Classic Cook,
124,"Obtain 75 skill points in the ""Outland"" category of cooking.",Outland Cook,
125,"Obtain 75 skill points in the ""Northrend"" category of cooking.",Northrend Cook,
126,"Obtain 150 skill points in the ""Classic"" category of fishing.",Journeyman Fisherman,
127,"Obtain 225 skill points in the ""Classic"" category of fishing.",Expert Fisherman,
128,"Obtain 300 skill points in the ""Classic"" category of fishing.",Artisan Fisherman,
129,"Obtain 75 skill points in the ""Outland"" category of fishing.",Outland Fisherman,
130,"Obtain 75 skill points in the ""Northrend"" category of fishing.",Northrend Fisherman,
131,Obtain 150 skill points in first aid.,Journeyman Medic,
132,Obtain 225 skill points in first aid.,Expert Medic,
133,Obtain 300 skill points in first aid.,Artisan Medic,
134,Obtain 375 skill points in first aid.,Master Medic,
135,Obtain 450 skill points in first aid.,Grand Master Medic,
137,Create 500 Heavy Frostweave Bandages.,Stocking Up,
141,"Use a Heavy Frostweave Bandage, or any Embersilk or Windwool Bandage, to heal a player who has less than 5% health.",Ultimate Triage,
144,Fish up The Lurker Below in Serpentshrine Cavern.,The Lurker Above,
150,Fish something up in Orgrimmar and Stormwind.,The Fishing Diplomat,
153,Successfully fish from a school.,The Old Gnome and the Sea,
154,Win Arathi Basin.,Arathi Basin Victory,
155,Complete 100 victories in Arathi Basin.,Arathi Basin Veteran,
156,Win 10 Arathi Basin matches while controlling all 5 flags.,Territorial Dominance,
157,Come to the defense of a base in Arathi Basin 50 times by recapping the flag.,To The Rescue!,
158,Take 50 flags in Arathi Basin.,Me and the Cappin' Makin' it Happen,
159,Win Arathi Basin in 6 minutes.,Let's Get This Done,
161,Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.,Resilient Victory,
162,Win Arathi Basin by 50 points or less.,We Had It All Along *cough*,
165,Win Arathi Basin with a score of 1600 to 0.,Arathi Basin Perfection,
166,Win Warsong Gulch.,Warsong Gulch Victory,
167,Complete 100 victories in Warsong Gulch.,Warsong Gulch Veteran,
168,Win Warsong Gulch with a score of 3 to 0.,Warsong Gulch Perfection,
178,Enchanting formulae learned,Enchanting formulae learned,
181,Items disenchanted,Items disenchanted,
183,Materials produced from disenchanting,Materials produced from disenchanting,
199,Personally carry and capture the flag in Warsong Gulch.,Capture the Flag,
200,Return 50 flags as a defender in Warsong Gulch.,Persistent Defender,
201,Win Warsong Gulch in under 7 minutes.,Warsong Expedience,
202,Grab the flag and capture it in under 75 seconds.,Quick Cap,
203,"In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Silverwing Flag Room.",Not In My House,
204,"In a single Warsong Gulch battle, carry and capture the flag 3 times without dying.",Ironman,
206,Kill 100 flag carriers in Warsong Gulch.,Supreme Defender,
207,"Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.",Save the Day,
208,Win Eye of the Storm.,Eye of the Storm Victory,
209,Complete 100 victories in Eye of the Storm.,Eye of the Storm Veteran,
211,"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.",Storm Glory,
212,Personally carry and capture the flag in Eye of the Storm.,Storm Capper,
213,Kill 5 flag carriers in a single Eye of the Storm battle.,Stormtrooper,
214,Win Eye of the Storm in under 6 minutes.,Flurry,
216,"In a single Eye of the Storm match, capture the flag 3 times without dying.",Bound for Glory,
218,Win Alterac Valley.,Alterac Valley Victory,
219,Complete 100 victories in Alterac Valley.,Alterac Valley Veteran,
220,Win Alterac Valley without losing a tower or captain. You must also control all of the Horde's towers.,Stormpike Perfection,
221,Take 50 graveyards in Alterac Valley.,Alterac Grave Robber,
222,Defend 50 towers in Alterac Valley.,Tower Defense,
223,"In Alterac Valley, kill an enemy in the Field of Strife before they dismount.",The Sickly Gazelle,
224,"In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.",Loyal Defender,
225,Win Alterac Valley while your team controls both mines.,Everything Counts,
226,Win Alterac Valley in 6 minutes.,The Alterac Blitz,
227,"Do 300,000 damage or healing in a single battle in any battleground. The damage or healing must be done to a player.",Damage Control,
229,Get 30 Honorable Kills in a single battle in any battleground.,The Grim Reaper,
230,Complete the battleground achievements listed below.,Battlemaster,Title: Battlemaster
