ID,Name_lang,Description_lang
1,Anvilmar,
2,Brill,
3,Darkshire,
4,Deathknell,
5,Dun Algaz,
6,Dun Modr,
7,Goldshire,
8,Ironforge,
9,Kharanos,
10,Lakeshire,
11,Menethil Harbor,
12,Moonbrook,
13,Northshire Abbey,
14,Raven Hill,
15,Sentinel Hill,
16,Stormwind City,
17,The Sepulcher,
18,Undercity,
19,Thelsamar,
20,Alliance,
21,Horde,
22,Southshore,
23,Tarren Mill,
24,Refuge Pointe,
25,Hammerfall,
26,Kargath,
27,Angor Fortress,
28,Bloodhoof Village,
29,Thunder Bluff,
30,Camp Narache,
31,Razor Hill,
32,The Den,
33,Orgrimmar,
34,Sen'jin Village,
35,The Crossroads,
36,Aldrassil,
37,Dolanaar,
38,Darnassus,
39,Ratchet,
40,Booty Bay,
41,Grom'gol Base Camp,
42,Astranaar,
44,Stonetalon Peak,
45,Thalanaar,
46,Freewind Post,
227,Mirror Lake,
247,Slaughter Hollow,
327,Drywhisker Gorge,
701,Sun Rock Retreat,
707,Temple of Zin-Malor,
708,Hetaera's Clutch,
709,Uther's Tomb,
710,Scholomance,
767,Whitereach Post,
788,Stonard,
789,Gadgetzan,
790,Camp Mojache,
791,Theramore Isle,
792,Aerie Peak,
794,Everlook,
795,Shadowprey Village,
796,Feathermoon Stronghold,
798,Auberdine,
799,Nijel's Point,
907,Aldrassil,
908,Shadowthread Cave,
909,Fel Rock,
911,Ban'ethil Barrow Den,
912,The Cleft,
913,Razorwind Canyon,
929,Tor'kren Farm,
947,Steelgrill's Depot,
948,Ironband's Compound,
949,Echo Ridge Mine,
950,Maclure Vineyards,
951,Stonefield Farm,
954,Northshire Vineyards,
955,Tower of Ilgalar,
956,Render's Rock,
1007,Spirit Den,
1008,Rethban Caverns,
1010,Boulderfist Outpost,
1011,Grosh'gok Compound,
1012,Stagalbog Cave,
1013,Temple of Atal'Hakkar,
1014,The Tower of Arathor,
1015,Wildhammer Keep,
1016,Night Web's Hollow,
