ID,Name_lang
1,Dandor's Fury
2,Ashbringer
3,Twinblades of the Deceiver
4,"Aluneth, Greatstaff of the Magna"
11,Scale of the Earth-Warder
12,Blades of the Fallen Prince
13,"G'Hanir, the Mother Tree"
15,Maw of the Damned
16,Apocalypse
17,Fangs of the Devourer
34,"Talonclaw, Spear of the Wild Gods"
35,Warswords of the Valarjar
36,"Strom'kar, the Warbreaker"
37,Skull of the Man'ari
38,Scepter of Sargeras
39,"Ulthalesh, the Deadwind Harvester"
40,The Fist of Ra-den
41,Doomhammer
42,"Sharas'dal, Scepter of Tides"
43,The Kingslayers
44,The Dreadblades
45,"T'uure, Beacon of the Naaru"
46,Light's Wrath
47,"Xal'atath, Blade of the Black Empire"
48,The Silver Hand
49,Truthguard
50,Fists of the Heavens
51,"Sheilun, Staff of the Mists"
52,"Fu Zan, the Wanderer's Companion"
53,"Ebonchill, Greatstaff of Alodi"
54,Felo'melorn
55,"Thas'dorah, Legacy of the Windrunners"
56,Titanstrike
57,Claws of Ursoc
58,Fangs of Ashamane
59,Scythe of Elune
60,The Aldrachi Warblades
73,Underlight Angler
74,Oakbringer
80,Test Artifact 2
81,Test Artifact
82,Test Artifact 3
89,Owen Test Artifact
194,Instruments of Justice
195,Wings of War
196,Bastion's Stalwarts
197,Lightfoot Vanguard
198,Righteous Vengeance
199,Creed of Revendreth
200,Creed of Revendreth
201,Creed of Revendreth
202,Creed of Revendreth
203,Creed of Revendreth
205,Talent System 1
223,Talent System 2
225,Talent System 3
