ID,Name_lang
1,Purple Crystal
2,Blue Crystal
3,Red Crystal
5,Yellow Spikes
6,Green Spikes
7,Fiery Spikes
8,Ashbringer
9,Ashbringer
10,Ashbringer
11,Ashbringer
12,Ashbringer
13,Ashbringer
14,Ashbringer
15,Ashbringer
16,Ashbringer
17,Ashbringer
18,Ashbringer
19,Ashbringer
20,Ashbringer
21,Ashbringer
22,Ashbringer
23,Ashbringer
24,Ashbringer
25,Twinblades of the Deceiver
26,Twinblades of the Deceiver
27,Twinblades of the Deceiver
28,Twinblades of the Deceiver
29,Twinblades of the Deceiver
30,Twinblades of the Deceiver
31,Twinblades of the Deceiver
32,Twinblades of the Deceiver
33,Twinblades of the Deceiver
34,Twinblades of the Deceiver
35,Twinblades of the Deceiver
36,Twinblades of the Deceiver
37,Twinblades of the Deceiver
38,Twinblades of the Deceiver
39,Twinblades of the Deceiver
40,Twinblades of the Deceiver
41,Twinblades of the Deceiver
42,Twinblades of the Deceiver
43,Twinblades of the Deceiver
44,Twinblades of the Deceiver
45,"G'Hanir, the Mother Tree"
46,"G'Hanir, the Mother Tree"
47,"G'Hanir, the Mother Tree"
48,"G'Hanir, the Mother Tree"
49,"G'Hanir, the Mother Tree"
50,"G'Hanir, the Mother Tree"
51,"G'Hanir, the Mother Tree"
52,"G'Hanir, the Mother Tree"
53,"G'Hanir, the Mother Tree"
54,"G'Hanir, the Mother Tree"
55,"G'Hanir, the Mother Tree"
56,"G'Hanir, the Mother Tree"
57,"G'Hanir, the Mother Tree"
58,"G'Hanir, the Mother Tree"
59,"G'Hanir, the Mother Tree"
60,"G'Hanir, the Mother Tree"
61,"G'Hanir, the Mother Tree"
62,"G'Hanir, the Mother Tree"
63,"G'Hanir, the Mother Tree"
64,"G'Hanir, the Mother Tree"
66,Scale of the Earthwarder
67,Fangs of the Devourer
68,Fangs of the Devourer
69,Fangs of the Devourer
70,Fangs of the Devourer
71,Fangs of the Devourer
72,Fangs of the Devourer
73,Fangs of the Devourer
74,Fangs of the Devourer
75,Fangs of the Devourer
76,Fangs of the Devourer
77,Fangs of the Devourer
78,Fangs of the Devourer
79,Fangs of the Devourer
80,Fangs of the Devourer
81,Fangs of the Devourer
82,Fangs of the Devourer
83,Fangs of the Devourer
84,Fangs of the Devourer
85,Fangs of the Devourer
86,Fangs of the Devourer
107,Maw of the Damned
110,Apocalypse
111,Blades of the Fallen Prince
112,Apocalypse
113,The Fist of Ra-den
114,"Thas'dorah, Legacy of the Windrunners"
115,The Kingslayers
116,"Sharas'dal, Scepter of Tides"
117,Doomhammer
118,"T'uure, Beacon of the Naaru"
119,"Xal'atath, Blade of the Black Empire"
120,The Silver Hand
121,Claws of Ursoc
123,"Sheilun, Staff of the Mists"
124,Felo'melorn
125,"Talonclaw, Spear of the Wild Gods"
126,"Aluneth, Greatstaff of the Magna"
127,"Aluneth, Greatstaff of the Magna"
128,"Aluneth, Greatstaff of the Magna"
129,"Aluneth, Greatstaff of the Magna"
130,"Aluneth, Greatstaff of the Magna"
131,"Aluneth, Greatstaff of the Magna"
132,"Aluneth, Greatstaff of the Magna"
133,"Aluneth, Greatstaff of the Magna"
134,"Aluneth, Greatstaff of the Magna"
135,"Aluneth, Greatstaff of the Magna"
136,"Aluneth, Greatstaff of the Magna"
137,"Aluneth, Greatstaff of the Magna"
138,"Aluneth, Greatstaff of the Magna"
139,"Aluneth, Greatstaff of the Magna"
140,"Aluneth, Greatstaff of the Magna"
141,"Aluneth, Greatstaff of the Magna"
142,"Aluneth, Greatstaff of the Magna"
143,"Aluneth, Greatstaff of the Magna"
144,"Aluneth, Greatstaff of the Magna"
145,"Aluneth, Greatstaff of the Magna"
146,Scale of the Earthwarder
