ID,Name_lang,Description_lang
7,Alexander's Hand,Rushes at the enemy to inflict damage.
70,Heal Back Line Test,"Heal's back line 50, but has a 2-round cooldown"
71,Damage Test,
72,MultiEffect Test,
73,Multi Turn Test,"Bites the target, dealing [StandardDamage(1,1)] damage immediately, then [StandardDamage(2,1)] damage on the next round.

Lasts [numTurns()] |4round:rounds;."
74,MultiEffect and Multi Turn Test,
77,Strong Trap,Attempt to catch a pet below 35% health. Capture chance is increased by 25% each time you fail.
78,Apply Timed Dot Test,
79,Aura Damage10 Test,
80,Apply Aura Test,
81,Aura Bomb 75 Test,
82,Apply Dot until cancel test,
83,Apply Pad Aura Test,
84,PadAuraTest,
85,Apply Stun test,
86,Stun Aura Test,asdfasdfasdf
87,Apply Swap Lock,
88,Swap Lock Aura,
97,Stun Shot,
110,Bite,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Bites at the enemy, dealing [StandardDamage(1,1)] [School()] damage."
111,Punch,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Bashes the enemy, dealing [StandardDamage(1,1)] [School()] damage."
112,Peck,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Pokes at the enemy with a sharp beak, dealing [StandardDamage(1,1)] [School()] damage."
113,Burn,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with fire, dealing [StandardDamage(1, 1)] [School()] damage."
114,Beam,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with a beam of arcane power, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage."
115,Breath,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Overwhelms the enemy with draconic breath, dealing [StandardDamage(1, 1)] [School()] damage."
116,Zap,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Launches an electrical bolt at the target, dealing [StandardDamage(1,1)] [School()] damage."
117,Infected Claw,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Tears at the enemy with plagued claws, dealing [StandardDamage(1, 1)] [School()] damage."
118,Water Jet,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with a spray of water, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage."
119,Scratch,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Scratches the enemy, dealing [StandardDamage(1,1)] [School()] damage."
120,Howling Blast,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage to the enemy. 

Deals [StandardDamage(1,4)] additional damage to the enemy team if the target is |cFF0070DDChilled|r."
121,Death Coil,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] Undead damage and heals the user for [points(1,3)]% of the damage dealt."
122,Tail Sweep,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,2)] [School()] damage, or [StandardDamage(1,1)] [School()] damage if the user strikes last."
123,Healing Wave,"Restores [StandardDamage(1,1)] health to the user."
124,Rampage,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Goes on rampage, dealing [StandardDamage(1,1)] [School()] damage.

Rampage continues for [numTurns()] |4round:rounds."
125,Stun Test 2.0,TEST: Patty Mac Stun
131,Stun Aura Test 2.0,
132,Custom Scripted Effect Test,
133,Aura - Damage Shield 2.0,
134,Damage Shield 2.0test,
135,Pristine Trap,Attempt to catch a pet below 35% health. Capture chance is increased by 30% each time you fail.
149,Heal Test 2.0,
150,Custom Scripted Turn Test,
151,Poison Fang,"Deals [StandardDamage(1,1)] [School()] damage every round.

|cFF1EFF00Poisoned.|r"
152,Poison Fang,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Instantly deals [StandardDamage(1,1)] [School()] damage and |cFF1EFF00Poisons|r the target for [StandardDamage(1,1,379)] additional [School(379)] damage per round for [duration(1,2)] |4round:rounds."
153,Attack Reduction,"Damage dealt reduced by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 153 ))]%."
154,Speed Reduction,"Speed reduced by [abs(abilityStateMod(25,154))]%."
155,Hiss,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and reduces the target's speed by [abs(abilityStateMod(25,154))]% for [duration(1,2)] |4round:rounds;."
156,Vicious Fang,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage. Damage increases by [FormatDamage (pointsincreaseperuse(1,1)*AttackBonus())] each time it hits. Max [FormatDamage (pointsmax(1,1)*AttackBonus())] [School()] damage."
157,Jacob's Test Ability,"The target [cond(unitHasAura(220, ENEMY), ""does"", ""does not"")] have [abilityName(220)] on them."
158,Counterstrike,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage. 

Deals [StandardDamage(1,2)] additional [School()] damage if you were struck this round."
159,Burrow,"[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Burrow under the ground, becoming unattackable for one round.

On the next round, you attack, dealing [StandardDamage(2, 1)] [School()] damage."
160,Consume,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage.

The user is healed for [points(1,3)]% of the damage dealt."
161,Adrenaline,"Speed increased by [abs(abilityStateMod(25,161))]%."
162,Adrenaline Rush,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and increases your speed by [abs(abilityStateMod(25,161))]% for [duration(1,2)] |4round:rounds;."
163,Stampede,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Starts a stampede, causing [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] [School()] damage on the first round, [FormatDamage(SimpleDamage(2,1)+SimpleDamage(2,2)+SimpleDamage(2,3))] [School()] on the second round, and [FormatDamage(SimpleDamage(3,1)+SimpleDamage(3,2)+SimpleDamage(3,3))] [School()] on the third round.

Opponents struck by the stampede take [abs(abilityStateMod( 24, 542 ))]% increased damage for [duration(1,4)] |4round:rounds;.

Stampede continues for [numTurns()] |4round:rounds;."
164,Crouch,"Your damage taken has been reduced by [abs(abilityStateMod(24,164))]%."
165,Crouch,"The user lowers its body close to the ground, reducing all damage taken by 50% for [duration(1,2)] |4round:rounds;."
166,Nut Barrage,"Deals [StandardDamage(1,1)] [School()] damage to the current pet every round."
167,Nut Barrage,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Hurls nuts at the enemy, dealing [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] [School()] damage.

Nuts continue to fall on the enemy's current pet, dealing [StandardDamage(1,1, 166)] [School()] damage each round for [duration(1,4)] |4round:rounds;"
168,Healing Flame,"Restores [StandardDamage(1,1)] health plus half of the last hit taken by the user."
169,Deep Breath,"[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Takes one round to breathe in deeply.

The next round the user unleashes a devastating breath attack, dealing [StandardDamage(2,1)] [School()] damage."
170,Lift-Off,"[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Fly up high, becoming unattackable for one round.

On the next round, you attack, dealing [StandardDamage(2, 1)] [School()] damage."
171,Scorched Earth,"Deals [StandardDamage(1,1)] [School()] damage to the front pet of both teams each round.

All pets count as |cFFFF2020Burning|r."
172,Scorched Earth,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Scorches the ground, dealing [StandardDamage(1,1)] [School()] damage and dealing [StandardDamage(1,1,171)] [School(171)] damage to all active pets each round for [duration(1,2)] |4round:rounds;.

During Scorched Earth, all pets count as |cFFFF2020Burning|r."
173,Cauterize,"Restores [StandardDamage(1,1)] health plus half of the last hit taken by the user."
174,Stunned,Unable to give this pet commands.
175,Volcano,"After 1 |4round:rounds;, the ground erupts for 2 |4round:rounds;, causing the current enemy pet to take [StandardDamage(3,1,175)] [School()] damage and has a 25% chance to be stunned for the next [duration(3,3,175)] round.

[StandardAccuracy(3,1)] |cffffffffHit Chance|r"
176,Volcano,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Causes the ground beneath the enemy team to tremble. 

After 1 round, the ground erupts for 2 rounds, causing the current enemy pet to take [StandardDamage(3,1,175)] [School()] damage and have a 25% chance to be stunned for 1 round."
177,Immolate,"Deals [StandardDamage(1,1)] Elemental damage every round.

|cFFFF2020Burning|r"
178,Immolate,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage instantly. The enemy |cFFFF2020Burns|r for [StandardDamage(1,1,177)] additional [School()] damage per round for [duration(1,2)] |4round:rounds;."
179,Conflagrate,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage.

Deals [StandardDamage(1,3)] [School()] additional damage if the target is |cFFFF2020Burning|r."
184,Quills,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Flings 1-2 Quills at the enemy, dealing [StandardDamage(1,1)] [School()] damage per hit.

Hits an additional time if the user attacks first."
185,Reckless Strike,"Your damage taken has been increased by [abs(abilityStateMod( 24, 185 ))]%."
