ID,Description_lang,SourceText_lang
2,,
39,A mechanical squirrel's logic center tells it to collect and store both nuts and bolts for the winter.,|cFFFFD200Profession: |rEngineering
40,Donni Anthania plans to have a bombay buried with her when she dies. A wise adventurer can put its talents to much better use.,|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
41,Donni Anthania invites these cats to her tea parties. But she doesn't serve their favorite drink: the tears of their enemies.,|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
42,"Old Alterac saying: 'A cat has nine lives, but needs only one.'",|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rHillsbrad Foothills
43,The last person who tried to housebreak this cat quickly learned that a soiled rug is better than a shredded everything-else.,"|cFFFFD200Vendor: |rDonni Anthania, Steven Lisbane|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t"
44,Known for its blue eyes. Also considered a delicacy by giant murlocs.,|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
45,Sleeping is this cat's second favorite activity. The first is yawning.,|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
46,"'The queen had three kittens. The first gave her a juicy rat. The second, a tasty hare. And the white, her favorite, presented the head of her rival.'",|cFFFFD200Vendor: |rLil Timmy|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
47,Some say this clever bird can be taught to speak--but it's smart enough to keep its beak shut.,"|cFFFFD200Vendor: |rHarry No-Hooks, Narkk|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t"
49,The jungle trolls train these birds to mimic calls for help in order to lure unsuspecting travelers into traps.,"|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rNorthern Stranglethorn, The Cape of Stranglethorn"
50,"Favored pet of the Defias pirates, this colorful bird is handy for remembering passwords, grocery lists, and cracker recipes.",|cFFFFD200Drop: |rDefias Pirate|n|cFFFFD200Zone: |rThe Deadmines
51,"Favored pet of the goblins of Booty Bay, this colorful bird is renowned for its ability to count coins, tally budgets, and lie about contracts.","|cFFFFD200Vendor: |rNarkk, Harry No-Hooks|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t"
52,It thinks you taste like chicken too.,"|cFFFFD200Vendor: |r""Plucky"" Johnson|n|cFFFFD200Zone: |rThousand Needles|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
55,The cockroach is usually an impulse buy. Its owners have a hard time parting with it even after numerous attempts.,|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rJeremiah Payson|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
56,"Hopes that someday it can grow up to destroy villages, just like mommy.","|cFFFFD200Drop: |rWhelplings|n|cFFFFD200Zone: |rWetlands, Dustwallow Marsh, Badlands, Burning Steppes"
57,"Like other members of the blue dragonflight, these whimsical little critters display an affinity to arcane magic.",|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rWinterspring
58,"Hailing from the Wetlands, this young dragon is just learning how to hunt, breathe fire, and go on cute destructive rampages.",|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rWetlands
59,"Once bred and raised by the green dragon Itharius, this unique breed of dragon has settled in the jungles of Feralas.",|cFFFFD200Drop: |rNoxious Whelp|n|cFFFFD200Zone: |rFeralas
64,Vendors at the Darkmoon Faire offer strange and exotic wonders. They also sell wood frogs.,|cFFFFD200Vendor: |rFlik|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
65,Known for their powerful legs and keen eyesight.,|cFFFFD200Vendor: |rFlik|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
67,This dark-feathered bird of prey is often seen as a harbinger of doom amongst the druids of Teldrassil.,|cFFFFD200Vendor: |rShylenai|n|cFFFFD200Zone: |rTeldrassil|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
68,Night elf children are given an owl feather on their first birthday as a token of good luck.,|cFFFFD200Vendor: |rShylenai|n|cFFFFD200Zone: |rTeldrassil|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
69,Winterspring's furbolg prize the brilliant white feathers of these majestic creatures for ritual purposes.,|cFFFFD200Pet Battle: |rWinterspring|n|cFFFFD200Season: |rWinter
70,A complex system of burrows protects the prairie dog from its neighbors' massive hooves.,"|cFFFFD200Vendor: |rHalpa, Naleen|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t"
72,"If you go chasing snowshoe rabbits, you know you're going to fall.",|cFFFFD200Vendor: |rYarlyn Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
74,"A favored companion of Kirin Tor magi, this reptile makes one wonder whether it's truly a snake or something else altogether.",|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
