ID,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang
1,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
2,£%s,£%s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
3,%s*,%s Battle Coins,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the terms and conditions regarding this transaction (including the \n|HurlIndex:9|h|cff71d5ffTerms of Sale|r|h, |HurlIndex:8|h|cff71d5ffRefund Policy|r|h, and |HurlIndex:13|h|cff71d5ffPrivacy policy|r|h) and confirm this purchase."
4,€%s,€%s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
5,%s p.,%s p.,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
6,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
7,S/.%s,S/.%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
8,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
9,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
10,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
11,R$ %s,R$ %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
12,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
13,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
14,%s*,%s Battle Coins,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:18|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:19|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
15,NT$%s,NT$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:10|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:20|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
16,%s XTS,%s XTS,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,¥%s,¥%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
29,CAD %s,CAD %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
30,NZD %s,NZD %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
31,GEL %s,GEL %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
32,TRY %s,TRY %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
33,KZT %s,KZT %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
34,UAH %s,UAH %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
35,HK$%s,HK$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:10|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:20|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase."
38,AED %s,AED %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
39,%s лв,%s лв,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
40,Fr. %s,Fr. %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
41,CZK %s,CZK %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
42,kr. %s,kr. %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
43,ILS %s,ILS %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
44,%s kr,%s kr,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
45,%s zł,%s zł,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
46,QAR %s,QAR %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
47,%s din,%s din,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
48,SAR %s,SAR %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
49,%s kr,%s kr,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started."
