ID,Text_lang,Text1_lang
1,Help help!  I'm being repressed!,
3927,Self-destruct sequence activated.,
9426,BY FIRE BE PURGED!,
15708,,Come on. This way.
33630,"That's far enough, orc! Dismount and submit or die!","That's far enough, orc! Dismount and submit or die!"
33631,,"Out of our way, fools!"
33996,Loss of life unavoidable.,
33997,I do what I must.,
34001,You are out of time.,
34012,Perhaps it is your imperfections... that which grants you free will... that allows you to persevere against all cosmically calculated odds. You prevail where the Titan's own perfect creations have failed.,
39672,,Captain! Shipwreck off the starboard bow! There appear to be survivors!
41964,Now get your minds right! We'll be killing orcs within the hour.,
41984,Fall in!,
42092,That island on the horizon is our destination.,
42093,"It's where we will do our duty, for our king, for Stormwind and for her people...",
42095,Hellscream has sent his best to take this island. We shall see to it that none return home...,
42097,Stormwind shall never fall!,
42407,,"Go, my naga! Welcome the mighty Tidehunter to Azeroth!"
42434,You and your scaly worms are no match for me...,
42435,,You fool! This day shall be your last!
42518,"You've reached too far, serpent. You shall suffer greatly for your trespass!",
42545,,"To me, my minions! Strike now!"
44211,,Now! Unleash the kraken!
44212,Aaaaaahhh...,
44213,,"Follow me, my pets! The realm of the mighty Neptulon is ours at last!"
44214,"What now, old friend?",
44215,We have suffered a tragic defeat.,
44216,Any hope for the future of our world has grown much bleaker.,
44217,Thrall must be told of this day's events.,
44218,He will guide our next steps...,
44219,Erunak! Noooo!,
44220,Graaaahahhhh!,
44223,,"You were a true man of the people, Liam.  Unlike any Royal I ever met.  We'll make them pay for this."
44225,"Well, shaman, what now?",
44226,Erunak! Behind you!,
50471,"May the Light bless the spirits of our ancestors, for they've chosen to allow my son to rest upon this holy ground.",
50472,"It is here, surrounded by the heroes and patriots of Gilneas where he belongs.",
50473,"We'll return, Liam.  I swear this to you.",
50477,"Gilneas will remember your courage forever, Liam.",
56129,"I apologize for the deception, but it was necessary.",
56130,"In thousands of years, we have never seen one of your kind.",
56131,It was imperative that I first measure the bearing of your heart.,
56154,"Come ride with me, little one. There is something I wish you to see.",
57715,"We're gonna turn this place into a sinkhole, heh.",
57899,[NOTE: Many placeholder visuals in this cinematic. Expecting Observatory WMO & charge up visuals.],
58170,"Run, slicky! I dook up your like fer breakfast!",
58171,"I am Anduin Wrynn, Prince of Stormwind. I won't die here. Not like this!",
59411,For Pandaria!,
60365,,It's working! The wound is closing!
60627,,"We risked everything, but we did it. Shen-zin Su will be okay."
61462,Our story begins long ago in the days of the monstrous Emperor Tian.,
61463,The Emperor was in need of trusted messengers and deliverymen.,
61464,"So he took a strange, diminutive cave creature he found and warped it with the powers of the Vale.",
61465,"What he created, was the ""grummle.""",
61470,Let us talk about the nature of power. In my hands I hold a sword. I ask you: Who wields the power?,
61471,"I do, for I wield the sword!",
61495,A grummle can carry five times their own weight. They never sweat. They have an outstanding sense of smell.,
61496,"And their skulls are harder than granite. Curiously, they all appear to be related.",
61497,Ancient Pandaren heroes freed the grummles from slavery.,
61567,"The Yaungol warlord shows his face! Come, let's finish this!",
61643,"Today they still act as traders, messengers, guides, and pack bearers for expeditions high up in Kun-Lai summit.",
61647,"They are a very superstitious people, who often take on the names of their favorite charms, or ""Luckydos.""",
61649,"The grummle suspicious of any luck they cannot smell, so it behooves one to meet new grummles with a pocketful of dung.",
61650,"A very strange race, indeed.",
61798,"Many thousands of years ago, the mogu held all the power. They ruled this land with fists of iron. But as their empire grew, they needed a way to police and control it.",
61799,"They used the powers of the Vale, and their own flesh-warping magics, to twist and shape a race of ferocious lizards into a living weapon. They created an army. An army of Saurok. Bloodthirsty savages created to enforce the will of the emperor.",
61800,"Ah, but there is a problem with creating a living weapon. Do you see?",
61801,"Who, now, wields the power?",
61802,"The heartless saurok, even with their tiny lizard brains, soon realized the truth of their position. They killed the enemies of the mogu.",
61803,Then they killed the subjects of the mogu.,
61804,"Soon, they started killing the mogu themselves.",
61805,"The mogu emperor then ordered all of the saurok to be purged. He tried to wipe out their entire race, to no avail. They still plague Pandaria to this day.",
61806,"So you see - power is easily taken, but should not be lightly given.",
61828,,"Ready when you are, $p."
61979,,"Come $p, let me show you."
61980,,Look through the spyglass.
61981,,The Sha of Hatred is inside that mantid structure... I suspect it was drawn to a powerful host there.
61982,,"To get in, we will need specially tuned crystals from some of the mantid leaders in the area."
61983,,I located these leaders here...
61984,,here...
61985,,and here.
61986,,Kill them.  Take the crystals.  Should be simple enough.
62624,"My, my. Hello, stranger! Sampled my dream brew, have we? Its visions are hard to interpret - half truth, half illusion. Who's to say which is which?",
62776,What the...?,
62777,What was that noise?,
62778,"It came from the wall, sir.",
62779,"I know where it CAME from, what was it?",
62781,No... no...,
62782,Men! To arms!,
62783,You three! $n! Assist Captain Oakenshield in the front!,
62784,Greentill! Blacksoil! Cover our left flank! I don't want any surprises!,
62785,"Leven, take the right side! You're on your own!",
62786,"Everyone else! If you can hold a weapon, protect the village! Don't let them past this line! You...",
62789,We don't stand a chance...,
62790,"Everyone, fall back! FALL BA-",
62791,Rrrraaaa!!!,
62792,Who are you?,
62794,Does it matter who we are? We are here to help you.,
62795,Hey! Gimme one o' them pitchforks!,
62796,You were surrendering? Why? Because these invaders can break down a wall?,
62797,You have got another wall... and it's made up of the people who call this place HOME.,
62798,Any one of us would lay down our life to protect this land.,
62799,"This land, it belongs to us...",
62800,It belongs to our ancestors...,
62801,It belongs to our children.,
62802,And we are not about to let that change.,
63378,You are too late! The Thunder King will rise and take dis land from you.,
63387,How did they find us? Ready your weapons - we've got to get out of this canyon!,
63691,Oh... I seem to have lost my sword.,
63692,"When the Sundering ripped apart the continents of Azeroth, we pandaren thought that the rest of the world had been utterly destroyed.",
63693,"But as the centuries passed, one young explorer decided to see what was out there. His name was Liu Lang. And he set out to discover the world... on the back of a turtle!",
63694,"We celebrate his bravery with statue and song, but if you were actually there on the beach that very day - well, I'm sure he looked quite silly, indeed.",
63695,"Oh, how the pandaren laughed at him. But Liu Lang was more clever than anyone thought. Sea turtles always return to the beach where they were born. And so, despite the mists that envelop our land, he always had a way home.",
63696,"Every few years, he returned - with tales of mysterious cities in the sand, nomadic people living on endless grassy plains, a great empire under the ice, and a magical kingdom gilded in gold.",
63697,"Each time he returned, more and more pandaren answered Liu Lang's call, and joined him on his growing turtle. They were the bravest among us: The explorers. The adventurers.",
63698,"And that is the lesson of Liu Lang, my friend. Everyone always laughs at the explorer. They always laugh... until he returns.",
63699,Great events often have humble beginnings. Consider: a quiet pond. Still. The water is like a sheet of glass.,
63700,"Until I throw a stone. Such a small thing - but soon, ripples engulf the whole of the lake!",
63701,"The jinyu also have humble origins. Once primitive creatures, they were fortunate enough to live near the enchanted pools within the Vale.",
63702,"The magic of the pools expanded their minds and grew their bodies, until they became one of the great ancient cultures of Pandaria.",
63703,The wisest of the jinyu are very wise indeed - they can speak to the rivers the way you and I would consult our elders.,
63704,"In the whispering waters, they can hear the future.",
63705,The jinyu and their waterspeakers stand at the very heart of the greatest events in Pandaria's history.,
63706,"Their visions built empires, freed slaves, and warned our Last Emperor of the Sundering that shattered Azeroth ten thousand years ago.",
63707,"Think about it: the smallest voice can change the world. Consider that, friend, the next time you decide to start throwing stones!",
63708,"Oh, my student - you wish to study the mantid? Be warned: the pandaren frontier is littered with the graves of former pupils.",
63709,The mantid are harsh teachers.,
63710,"Every generation, the mantid swarm the Serpent's Spine wall in great numbers. They murder many pandaren, so we kill many times their number in return. Yet each generation, they attack once more. Why do they do this?",
63711,We pandaren do not know.,
63712,Our ancient writings indicate that the mantid have always been here. They predate even the mogu. Where did they come from?,
63713,We pandaren do not know.,
63714,"Perhaps, if you were to befriend the mantid, and earn a reputation among them, they would teach you their secrets. But I warn you:",
63715,Nobody has ever befriended the mantid.,
63716,"Here is what the pandaren do know: By massacring our people, by slaughtering tens of thousands of pandaren, generation after generation, they have taught us the value of life. A precious but fleeting gift. Easily snuffed out... in an instant.",
63717,This is what the mantid have taught us.,
63718,What do you fear most in this world? Have you conquered your fear... or has your fear conquered you?,
63719,"In the ancient days before the sundering of the world, the mogu emperors ruled over Pandaria. My people were made slaves, and they were afraid.",
63720,"The mogu were masters of pain and torture, of dark magics and brutal weapons. No pandaren, hozen, or jinyu could resist the power they held. And my people were afraid.",
63721,"It was the mogu who built the Serpent's Spine. The most unlucky of slaves were sent to aid in its construction and defense, to be fodder for the mantid. And my people were afraid.",
63722,"As the empire grew, the mogu began to experiment with the secrets of the Vale. They crafted terrible weapons of living flesh and stone. And my people were afraid.",
63723,"In their hubris, the mogu never foresaw that their downfall lay in wait, not among their enemies, but among the oppressed. The day that one slave stood...",
63724,...and was no longer afraid.,
63725,"Fire! It is the most magical of elements. It warms us, it cooks our food. It is the hearthfire that makes a house a home. In the right hands, fire can shape iron into swords or plowshares. Left uncontrolled, fire could destroy a city.",
63726,Fire is the instrument of change.,
63727,"Long ago, a group of sturdy nomad hunters wandered the world. By a stroke of fate, they were here in Pandaria when the Sundering split apart the continents of Azeroth. The wanderers found themselves trapped in the Townlong Steppes, a harsh and dangerous land.",
63728,"Those noble hunters found a way to survive on their own. Fire was the key. They drew up oil from the ground. They used it to heat their homes, cook their food, and burn their enemies. They grew STRONG.",
63729,"From the flames of fate, the yaungol were born. They survive beyond the wall, for they refuse to submit to any law but their own.",
63730,Has fate been cruel to the yaungol? You may as well ask if fire is good or bad.,
63731,Fate is like fire; it can shape or destroy us.,
63732,All that matters is what you do with it.,
63733,"Ah! You wish to learn of our last and greatest emperor, Shaohao? My friend, I do not have the time here to recount all of his adventures, but his actions ten thousand years ago resonate to this very day.",
63734,"We know that he purged his doubts in the Jade Forest. That he cleansed himself of despair in the Krasarang Wilds. That he overcame his fear in Townlong Steppes. And that he defeated anger, hatred, and violence high in the mountains of Kun-Lai.",
63735,This is known; and there are temples to mark these most sacred of places.,
63736,"But I want you to imagine standing in this very valley on the day he returned from his journey. Imagine being here when the gates opened for him. By then our emperor was a creature of pure light: No doubts, no fears, no hatred...",
63737,"It is said that all the trees in the vale blossomed as he entered, and continue to blossom to this day.",
63738,"Would that we could all live like our most sacred emperor. That we could put aside all our burdens and exist in harmony with the cosmos. THAT, I believe, was his message to us... before he became one with the land, and hid Pandaria away from the terror of the Sundering.",
63739,"Thank you, dear emperor.",
63740,"One day, a father grew tired of his young cub's misbehavior.  ""You act just like a hozen!"" the father scolded. Still, his son misbehaved.",
63741,"To teach him a lesson, the father dragged the cub out to the forest, to watch how the hozen live. ""Do you see what the hozen are like?"" he asked. ""Do you want to live like that?""",
63742,"The hozen are quite lively indeed. A short-lived race, few hozen survive past their 20th birthday. Their leaders are all 14 or 15. How mature were you at 14 years old? Meditate on that!",
63743,"Afterwards, the father asked his cub what he had learned.",
63744,"""I learned that we work and toil on our little farm, but that the hozen have the whole world as their garden,"" the cub said. ""I learned that we squint by the light of a single candle, but that the hozen enjoy the light of the stars. I learned that I go to school every day, but that the hozen learn by doing.""",
63745,"And the cub concluded, ""I should very much like to live like a hozen!""",
63746,"Who then, was the wiser? The father or the cub?",
63747,"That, my friend, is for you to decide.",
64260,"Think you can take me in battle?  Most girls hate snakes, but I think they're cute!","Think you can take me in battle?  Most girls hate snakes, but I think they're cute!"
65087,"Ah, if it isn't my favorite master assassin! I was hoping I would find you here in Pandaria.",
65088,Very good. Let's talk.,
65089,"Tong! Drinks, please.",
65090,"My father, Deathwing, tried to destroy the whole of Azeroth.",
65091,"He was misguided, of course, but he was right about one thing: Our world is... so fragile.",
65092,We are a point of light in a universe of shadow. A candle in a tempest.,
65093,Sometimes I think it was the very precariousness of our world that drove my father to madness.,
65094,"Ah, thank you Tong.",
65095,"Now, to my point: I believe we are headed towards a reckoning. And no, I am not talking about the current conflict between the Alliance and the Horde.",
65096,Believe me - what Garrosh Hellscream achieved in Theramore is nothing compared to the horrors that are even now bearing down on our fragile home.,
65097,But the war deeply troubles me. Do you see my concern?,
65098,A divided Azeroth cannot possibly stand against the darkness.,
65099,This war has to end. Soon. Before it consumes our strength!,
65100,I want you to know that your Alliance has my full and unwavering support in this campaign.,
65101,You can rest assured that my loyalties lie with your Horde.,
65102,How do we bring a swift and decisive end to the conflict? I believe the answer lies with heroes like you.,
65103,We must ensure that you are up to the task... and then equip you accordingly.,
65150,"Two hundred ships at my disposal, yet the one carrying my SON goes missing!",
65151,"I am sorry, but I cannot go back just yet.",
65152,I've decided to search for the Vale... Vale... Vale...,
65153,"STORM the shores, and PAINT THIS NEW CONTINENT RED!!",
65214,"Ah, another stranger from beyond the mists.",
65215,"Ten thousand years ago, the last Pandaren Emperor came seeking my advice. He, too, was filled with conflict. Let us see if you are correct, Taran. Let us see how this stranger deals with turmoil of the soul.",
65273,We can agree it is noble to fight for a righteous cause: to defend home or family. But what of vengeance? What of anger? I sense these emotions run deep in this one.,
