ID,Name_lang
1,Development
2,United States
3,Oceanic
4,Latin America
5,Tournament
6,Korea
7,Tournament
8,English
9,German
10,French
11,Spanish
12,Russian
13,Tournament
14,Taiwan
15,Tournament
16,China
17,CN1
18,CN2
19,CN3
20,CN4
21,CN5
22,CN6
23,CN7
24,CN8
25,Tournament
26,Test Server
27,Tournament
28,QA Server
29,CN9
30,Test Server 2
31,CN10
32,CTC
33,CNC
34,CN1/4
35,CN2/6/9
36,CN3/7
37,CN5/8
38,Russian Tournament
39,CN11
40,CN12
41,CN13
42,CN14
43,CN15
44,CN16
45,CN17
46,CN18
47,CN19
48,CN20
49,Brazil
50,Italian
51,Hyrule
52,QA2 Test
55,Recommended Realm
56,Test
58,Future Test
159,Regional Test
160,Classic
161,Classic
162,US West
163,US East
164,Automation
165,Era Test
166,Classic Era
167,Classic Era
168,Classic Era
169,Classic Era
170,Classic Era
171,Seasonal
172,Seasonal
173,Seasonal
174,Seasonal
175,Seasonal
179,Test Copy
180,Global
181,Hardcore
182,Seasonal
183,Internal Dev
184,Dev 3
185,PS
186,Beta
187,NetEase Test
