ID,Description_lang,PendingText_lang
2,,
3,,
30,,A delivery of delicious fish is coming soon!
31,"Generate a shipment of Alchemical Catalysts.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Alchemical Catalyst
32,"Generates a shipment of meat, leather, or fur, depending on the creature captured.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Barn Shipment
36,"Generates a shipment of Garrison Resources from timber harvested from around Draenor.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Lumber Mill Shipment
37,"Generate a shipment of Hexweave Cloth. 

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Hexweave Cloth
49,"Generate a shipment of Truesteel Ingots.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Truesteel Ingot
50,"Generate a shipment of Burnished Leather.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Burnished Leather
51,"Generate a shipment of Taladite Crystal.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Taladite Crystal
52,"Generate a shipment of enchanting crystals.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Temporal Crystal
53,"Generate a shipment of Gearspring Parts.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Gearspring Parts
54,"Generate a shipment of War Paints.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",War Paints
55,"Generates a shipment of herbs from draenic seeds you have gathered.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Garden Shipment
56,"Generates a shipment of ore from Draenic Stone you have mined.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Mine Shipment
57,"Generate a shipment of Alchemical Catalysts.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Alchemical Catalyst
58,"Generate a shipment of Truesteel Ingots.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Truesteel Ingot
59,"Generate a shipment of enchanting crystals.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Temporal Crystal
60,"Generate a shipment of Gearspring Parts.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Gearspring Parts
61,"Generate a shipment of War Paints.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",War Paints
62,"Generate a shipment of Taladite Crystal.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Taladite Crystal
63,"Generate a shipment of Burnished Leather.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Burnished Leather
64,"Generate a shipment of Hexweave Cloth. 

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Hexweave Cloth
65,"Turn in pieces of your enemies at the Altar of Bones to earn a tribute of riches and powerful items.

You can view the progress of your offering in the Garrison Report.",Conqueror's Tribute
66,"Trade in raw tradeskill materials for Garrison Resources.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Garrison Resources
70,"Trade in raw tradeskill materials for Garrison Resources.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Garrison Resources
74,"Produces an Overcharged Demolisher. 

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Overcharged Demolisher
75,"Produces an Overcharged Siege Engine.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Overcharged Siege Engine
77,"Trade in Garrison Resources for follower upgrades and armor scraps.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",
78,"Trade in Garrison Resources for follower upgrades and armor scraps.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",
79,"Generates a shipment of ore from Draenic Stone you have mined.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Mine Shipment
80,"Generates a shipment of herbs from draenic seeds you have gathered.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Garden Shipment
100,"Trade in Ogre Waystones for Apexis Crystals and Mission Completion Orders.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",
101,"Trade in Ogre Waystones for Apexis Crystals and Mission Completion Orders.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",
103,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",
104,"A destructive diving vessel that can be used on naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Carrier|r",
105,"A powerful ship with large cannons that can be used on naval missions.

|cFFFFD200Build Time: 1hr|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r",
106,"A large ship used to transport troops and recover materials on naval missions.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t |cffffffff Land Objective|r",
107,"A strategic ship that can launch air attacks at sea for naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Battleship|r",
109,"A large ship used to transport troops and recover materials on naval missions.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t |cffffffff Land Objective|r",
111,"A destructive diving vessel that can be used on naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Carrier|r",
112,"A powerful ship with large cannons that can be used on naval missions.

|cFFFFD200Build Time: 1hr|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r",
113,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",
114,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",
115,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",
119,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",
121,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",
122,Nomi will research new recipes for you.,Test Kitchen Results
124,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training
125,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training
126,"Requisition a squad of Crane Initiates which can accompany followers on missions to increase chance at a bonus reward.

|cFFFFD200Build Time: 30m|r",Troop Shipment
128,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training
