ID,ZoneName_lang
0,Northshire Valley
1,Northshire Valley
2,Shadowglen
3,Red Cloud Mesa
4,Red Cloud Mesa
5,Ammen Vale
6,Ammen Vale
7,Sunstrider Isle
8,Sunstrider Isle
9,Sunstrider Isle
10,Sunstrider Isle
11,Ammen Vale
12,Sunstrider Isle
13,Ammen Vale
14,Ammen Vale
15,Echo Isles
16,Deathknell
17,Shadowglen
18,Valley of Trials
19,Valley of Trials
20,Ammen Vale
21,Gnomeregan
22,Gnomeregan
23,Gnomeregan
24,Echo Isles
25,Ammen Vale
26,Coldridge Valley
27,Northshire Valley
28,Red Cloud Mesa
29,Coldridge Valley
30,Valley of Trials
31,Coldridge Valley
32,Deathknell
33,Echo Isles
34,Deathknell
35,Shadowglen
36,Coldridge Valley
37,Acherus: The Ebon Hold
38,Acherus: The Ebon Hold
39,Acherus: The Ebon Hold
40,Acherus: The Ebon Hold
41,Acherus: The Ebon Hold
42,Acherus: The Ebon Hold
43,Acherus: The Ebon Hold
44,Acherus: The Ebon Hold
45,Northshire Valley
46,Northshire Valley
47,Gnomeregan
48,Valley of Trials
49,Coldridge Valley
50,Echo Isles
51,Valley of Trials
52,Coldridge Valley
53,Coldridge Valley
54,Shadowglen
55,Deathknell
56,Deathknell
57,Red Cloud Mesa
58,Acherus: The Ebon Hold
59,Acherus: The Ebon Hold
60,Gnomeregan
61,Echo Isles
62,Acherus: The Ebon Hold
63,Gilneas City
64,Gilneas City
65,Gilneas City
66,Gilneas City
67,Echo Isles
68,Northshire Valley
69,Bilgewater Port
70,Northshire Valley
71,Red Cloud Mesa
72,Red Cloud Mesa
73,Coldridge Valley
74,Echo Isles
75,Gnomeregan
76,Shadowglen
77,Valley of Trials
78,Deathknell
79,Gilneas City
80,Gnomeregan
81,Shadowglen
82,Sunstrider Isle
83,Valley of Trials
84,Red Cloud Mesa
85,Echo Isles
86,Deathknell
87,Shang Xi Training Grounds
88,Shang Xi Training Grounds
89,Shang Xi Training Grounds
90,Shang Xi Training Grounds
91,Shang Xi Training Grounds
92,Shang Xi Training Grounds
93,Shang Xi Training Grounds
94,Sunstrider Isle
95,Shadowglen
96,Northshire Valley
97,Coldridge Valley
98,Echo Isles
99,Sunstrider Isle
100,Gilneas City
101,Gilneas City
102,Acherus: The Ebon Hold
103,Bilgewater Port
104,Bilgewater Port
105,Bilgewater Port
106,Bilgewater Port
107,Bilgewater Port
108,Bilgewater Port
109,Illidari Foothold
110,Illidari Foothold
111,Thunder Totem
112,Telogrus Rift
113,Telogrus Rift
114,Telogrus Rift
115,Telogrus Rift
116,Telogrus Rift
117,Telogrus Rift
118,The Vindicaar
119,The Vindicaar
120,The Vindicaar
121,The Vindicaar
122,Thunder Totem
123,Telogrus Rift
124,The Nighthold
125,The Nighthold
126,The Nighthold
127,The Nighthold
128,The Nighthold
129,The Nighthold
130,The Nighthold
131,Thunder Totem
132,Thunder Totem
133,Blackrock Depths
134,Valley of Honor
135,Blackrock Depths
136,Blackrock Depths
137,Thunder Totem
138,Valley of Honor
139,Blackrock Depths
140,Valley of Honor
141,Blackrock Depths
142,Blackrock Depths
143,Valley of Honor
144,Blackrock Depths
145,Valley of Honor
146,Blackrock Depths
147,Valley of Honor
148,Valley of Honor
149,Dazar'alor
150,Dazar'alor
151,Dazar'alor
152,Dazar'alor
153,Dazar'alor
154,Dazar'alor
155,Dazar'alor
156,Dazar'alor
157,Dazar'alor
158,Valley of Honor
159,Mechagon City
160,Boralus
161,Boralus
162,Boralus
163,Boralus
164,Boralus
165,Boralus
166,Boralus
167,Valley of Honor
168,Mechagon City
169,Valley of Honor
170,Mechagon City
171,Valley of Honor
172,Boralus
173,Mechagon City
174,Valley of Honor
175,Valley of Honor
176,Mechagon City
177,Valley of Honor
178,Mechagon City
179,Valley of Honor
180,The Frozen Throne
181,The Frozen Throne
182,The Frozen Throne
183,The Frozen Throne
184,The Frozen Throne
185,The Frozen Throne
186,The Frozen Throne
187,The Frozen Throne
188,The Frozen Throne
189,The Frozen Throne
190,The Frozen Throne
191,The Frozen Throne
192,The Vindicaar
193,Blackrock Depths
194,Mechagon City
195,The Frozen Throne
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,The Forbidden Reach
211,
212,Hall of Awakening
213,Hall of Awakening
214,Hall of Awakening
215,Hall of Awakening
216,Hall of Awakening
217,Hall of Awakening
218,Hall of Awakening
219,Hall of Awakening
220,Hall of Awakening
221,Shang Xi Training Grounds
222,Shang Xi Training Grounds
223,Shang Xi Training Grounds
224,Red Cloud Mesa
225,Boralus
226,The Vindicaar
227,Thunder Totem
228,Valley of Honor
229,Dazar'alor
230,Hall of Awakening
231,Hall of Awakening
232,Hall of Awakening
233,Hall of Awakening
234,Hall of Awakening
235,Hall of Awakening
236,Hall of Awakening
237,Hall of Awakening
238,Hall of Awakening
239,Shadowglen
240,Red Cloud Mesa
241,Ammen Vale
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,The Forbidden Reach
252,Red Cloud Mesa
253,Thunder Totem
254,Thunder Totem
255,The Vindicaar
256,Ammen Vale
257,Thunder Totem
258,Valley of Trials
259,The Vindicaar
260,Bilgewater Port
261,Gilneas City
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
