ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang
1,Level 100 Boost,Free Level 100 Boost,"World of Warcraft: Legion includes a level 100 character boost. You can choose to boost an existing character, try a new class before using your boost, or close the window to use the boost later."
5,Battle for Azeroth Boost,Free Level 110 Boost,World of Warcraft: Battle for Azeroth includes a level 110 character boost. Choose one of the options below or close the window to use the boost later.
6,Level 90 Boost,Free Level 90 Boost,This boost came free with your purchase of Warlords of Draenor
107,Try Dragonflight Free,Try Dragonflight Free,"For a limited time, play Dragonflight for free!|n|nCreate a dracthyr Evoker or explore the Dragon Isles on any level 60 character."
118,Shadowlands Boost,Free Level 120 Boost,
120,Level 60 Boost,Free Level 60 Boost,
123,Character Transfer,Character Transfer,Transfer your character to another realm or account
125,Faction Change,Faction Change,Change a character's faction (Horde to Alliance or Alliance to Horde)
139,Race Change,Race Change,Change a character's race (within your current faction)
140,Name Change,Name Change,Change a character's name
143,Level 70 Boost,Free Level 70 Boost,
