ID,Name_lang,Shortcut_lang
1,General - %s,General
2,Trade - %s,Trade
22,LocalDefense - %s,LocalDefense
26,LookingForGroup,LookingForGroup
27,BigfootWorldChannel,BigfootWorldChannel
28,MeetingStone,MeetingStone
32,Newcomer Chat,NewcomerChat
33,zzOLD Shadowlands Beta Discussion,ShadowlandsBetaDiscussion
34,zzOLD Shadowlands PTR Discussion,ShadowlandsPTRDiscussion
35,War Within Test Discussion,WarWithinTestDiscussion
36,Chromie Time - Cataclysm,ChromieTime
37,Chromie Time - Burning Crusade,ChromieTime
38,Chromie Time - Wrath of the Lich King,ChromieTime
39,Chromie Time - Mists of Pandaria,ChromieTime
40,Chromie Time - Warlords of Draenor,ChromieTime
41,Chromie Time - Legion,ChromieTime
42,Trade (Services) - %s,Services
