ID,Name_lang
1,Skin Color
2,Face
3,Hair Style
4,Hair Color
5,Facial Hair
6,Tattoo Style
7,Horn Style
8,Blindfolds
9,Tattoo Color
10,Piercings
11,Piercings
12,Piercings
13,Markings
14,Features
15,Hair
16,Horn Style
17,Horn Color
18,Earrings
19,Tusks
20,Ears
21,Earrings
22,Ears
23,Horn Style
24,Horn Style
25,Rune
26,Earrings
27,Earrings
28,Earrings
29,Tusks
30,Earrings
31,Accessories
32,Tattoo Style
34,Tattoo Style
35,Tattoo Color
36,Tattoo Style
37,Tattoo Style
38,Hair
39,Horn Style
40,Horn Color
41,Earrings
42,Tattoo Style
43,Earrings
44,Earrings
46,Posture
47,Tattoo Style
48,Tattoo Style
49,Posture
50,Skin Color
52,Piercings
153,Pattern
155,Earrings
156,Necklace
157,Arm Upgrade
158,Leg Upgrade
159,Modification
160,Snout
161,Ears
162,Skin Color
163,Tattoo Style
164,Facial Hair
165,Skin Color
166,Accessories
167,Accessories
168,Eyebrows
169,Skin Color
170,Facial Hair
171,Skin Color
172,Facial Hair
173,Hair Style
174,Hair Style
175,Face
176,Face
177,Face
178,Face
179,Face
180,Piercings
