ID,CategoryName_lang
1,Body
2,Face
3,Accessories
4,Hair
5,Markings
6,Bear Form
7,Cat Form
9,Aquatic Form
10,Travel Form
11,Flight Form
12,Moonkin Form
13,Face (Undead)
14,Face (Pandaren)
15,Face (Maghar Orc)
16,Face (Dwarf)
17,Accessories (Dwarf)
18,Face (Tauren)
19,Accessories (Tauren)
20,Face (Worgen)
21,Imp
22,Body (Dracthyr)
23,Mirror
24,Armor 1 (Dracthyr)
26,Armor 2 (Dracthyr)
27,Body (Dragonriding)
28,Body 2 (Dragonriding)
29,Head (Dragonriding)
30,Head 2 (Dragonriding)
31,Accessories (Dracthyr)
32,Face (Dracthyr)
33,Mirror (Dracthyr)
34,Accessories (Maghar Orc)
37,Felhunter
39,Voidwalker
42,Felguard
43,Doomguard
44,Sayaad
45,Infernal
46,Body (Moonkin)
47,Darkglare
48,Tyrant
50,Gems
