ID,Name_lang
1,Skin Color
2,Face
3,Hair Style
4,Hair Color
5,Facial Hair
6,Tattoo Style
7,Horn Style
8,Blindfolds
9,Skin Color
10,Face
11,Hair Style
12,Hair Color
13,Beard
14,Skin Color
15,Face
16,Hair Style
17,Hair Color
19,Skin Color
20,Face
21,Hair Style
22,Hair Color
23,Beard
24,Upright
25,Skin Color
26,Face
27,Hair Style
28,Hair Color
29,Earrings
30,Skin Color
31,Face
32,Hair Style
33,Hair Color
34,Beard
35,Skin Color
36,Face
37,Hair Style
38,Hair Color
40,Skin Color
41,Face
42,Hair Style
43,Hair Color
44,Beard
46,Tattoo Color
47,Horns
48,Blindfold
49,Skin Color
50,Face
51,Hair Style
52,Hair Color
53,Markings
55,Tattoo Color
56,Horns
57,Blindfold
58,Skin Color
59,Face
60,Hair Style
61,Hair Color
62,Jaw Features
63,Skin Color
64,Face
65,Hair Style
66,Hair Color
67,Jaw Features
68,Skin Color
71,Horn Style
72,Horn Color
73,Facial Hair
74,Skin Color
77,Horn Style
78,Horn Color
79,Hair
80,Skin Color
81,Face
82,Hair Style
83,Hair Color
84,Beard
85,Skin Color
86,Face
87,Hair Style
88,Hair Color
89,Earrings
90,Skin Color
91,Face
92,Hair Style
93,Hair Color
94,Tusks
95,Skin Color
96,Face
97,Hair Style
98,Hair Color
99,Tusks
100,Skin Color
101,Face
102,Hair Style
103,Hair Color
104,Ears
105,Skin Color
106,Face
107,Hair Style
108,Hair Color
109,Ears
110,Skin Color
111,Face
112,Hair Style
113,Hair Color
114,Facial Hair
116,Tattoo Color
117,Horns
118,Blindfold
119,Skin Color
120,Face
121,Hair Style
122,Hair Color
123,Earrings
125,Tattoo Color
126,Horns
127,Blindfold
128,Skin Color
129,Face
130,Hair Style
131,Hair Color
132,Facial Hair
133,Skin Color
134,Face
135,Hair Style
136,Hair Color
137,Horns
138,Skin Color
139,Face
140,Hair Style
141,Hair Color
142,Hair Style
143,Hair Color
144,Skin Color
145,Hair Style
146,Hair Color
147,Skin Color
148,Hair Style
149,Hair Color
150,Skin Color
151,Face
152,Hair Style
153,Hair Color
154,Hair Style
155,Hair Color
156,Skin Color
157,Face
158,Hair Style
159,Hair Color
160,Hair Style
161,Hair Color
162,Skin Color
163,Face
164,Hair Style
165,Hair Color
166,Facial Hair
167,Hair Style
168,Hair Color
169,Skin Color
170,Face
171,Hair Style
172,Hair Color
173,Facial Hair
174,Hair Style
175,Hair Color
176,Skin Color
177,Face
178,Hair Style
179,Hair Color
180,Facial Hair
181,Hair Style
182,Hair Color
183,Skin Color
184,Face
185,Hair Style
186,Hair Color
187,Facial Hair
188,Hair Style
189,Hair Color
190,Skin Color
191,Hair Style
192,Hair Color
193,Facial Hair
194,Hair Style
195,Hair Color
196,Skin Color
197,Face
198,Hair Style
199,Hair Color
200,Facial Hair
201,Hair Style
202,Hair Color
203,Fur Color
204,Face
205,Hair Style
207,Facial Hair
208,Fur Color
209,Face
210,Hair Style
212,Ears
213,Skin Color
214,Face
215,Hair Style
216,Hair Color
217,Facial Hair
218,Skin Color
219,Face
220,Hair Style
221,Hair Color
230,Hair Style
231,Hair Color
232,Earrings
233,Skin Color
234,Face
235,Hair Style
236,Hair Color
237,Earrings
239,Skin Color
240,Face
241,Hair Style
242,Hair Color
243,Earrings
247,Horn Style
248,Horn Markings
254,Horn Style
255,Horn Markings
256,Hair
259,Skin Color
260,Face
261,Hair Style
262,Hair Color
263,Facial Hair
264,Skin Color
265,Face
266,Hair Style
267,Hair Color
268,Earrings
269,Skin Color
270,Face
271,Hair Style
272,Hair Color
273,Facial Hair
275,Rune
276,Skin Color
277,Face
278,Hair Style
279,Hair Color
280,Horns
282,Rune
283,Skin Color
284,Face
285,Hair Style
286,Hair Color
288,Tusks
289,Piercings
290,Skin Color
291,Face
292,Hair Style
293,Hair Color
294,Ear Gauge
296,Tusks
297,Earrings
298,Skin Color
299,Face
300,Hair Style
301,Hair Color
302,Beard
303,Skin Color
304,Face
305,Hair Style
306,Hair Color
308,Earrings
309,Necklace
310,Skin Color
311,Face
312,Hair Style
313,Hair Color
314,Facial Hair
315,Skin Color
316,Hair Color
317,Facial Hair
318,Skin Color
319,Face
320,Hair Style
321,Hair Color
322,Facial Hair
324,Tattoo
325,Skin Color
326,Face
327,Hair Style
328,Hair Color
331,Fur Color
336,Ears
338,Snout
339,Fur Color
344,Ears
346,Snout
347,Skin Color
350,Hair Style
351,Hair Color
352,Beard
353,Hunched
354,Skin Color
357,Hair Style
358,Hair Color
360,Skin Color
361,Face
362,Hair Style
363,Hair Color
364,Facial Hair
366,Arm Upgrade
367,Leg Upgrade
368,Skin Color
369,Face
370,Hair Style
371,Hair Color
374,Arm Upgrade
375,Leg Upgrade
376,Tattoo
377,Tattoo
378,Face
379,Face
380,Tattoo
381,Tattoo
382,Piercings
383,Skin Color
384,Face
385,Hair Style
386,Beard
387,Skin Color
388,Face
389,Body Tattoo
390,Body Tattoo
391,Skin Color
392,Face
393,Beard
394,Body Paint Color
395,Skin Color
396,Face
397,Body Paint Color
398,Tattoo
399,Tattoo
400,Tattoo
401,Tattoo
403,Piercings
404,Piercings
405,Tattoo
406,Face
407,Hair Style
