ID,ReqSource_lang
10,
12,
35,
36,
37,
41,
42,
43,
53,
55,
58,
59,
61,
62,
63,
64,
65,
66,
75,
76,
77,
78,
80,
89,
91,
93,
95,
97,
103,
105,
109,
115,
117,
119,
121,
123,
126,
128,
130,
132,
134,
136,
137,
138,
141,
142,
143,
144,
145,
146,
147,
148,
159,
160,
161,
163,
164,
165,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
203,
204,
205,
206,
207,
208,
209,
212,
213,
218,
225,
226,
227,
228,
229,
230,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
291,
295,
296,
306,
307,
308,
309,
310,
311,
312,
313,
314,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
331,
332,
333,
334,
337,
361,
362,
365,
367,
369,
370,
373,
374,
375,
376,
377,
378,
379,
380,
382,
383,
384,
385,
386,
387,
400,
401,
402,
403,
404,
405,
406,
407,
410,
411,
413,
414,
415,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
461,
462,
463,
464,
465,
466,
467,
468,
469,
470,
472,
473,
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,
650,
651,
652,
653,
654,
655,
656,
657,
658,
659,
660,
661,
662,
663,
664,
665,
666,
667,
668,
669,
672,
673,
674,
675,
679,
2480,Valdrakken Accord Renown
2481,Valdrakken Accord Renown
2482,Professions
2483,Reputation Reward
2484,Suffusion Camps
2485,Achievement
2486,???
2487,Professions
2488,Reputation Reward
2489,World Drop
2490,Dragonriding Racing
2491,Valdrakken Accord Renown
2492,World Drop
2493,Valdrakken Renown
2494,Dungeon Reward
2495,World Drop
2496,Valdrakken Accord Renown
2497,Dragonriding Racing
2498,Dragonriding Racing
2499,Professions
2500,Professions
2501,World Drop
2502,World Drop
2503,???
2504,World Drop
2505,World Drop
2506,Achievement
2507,Professions
2508,Valdrakken Accord Renown
2509,Niffen Renown
2510,World Drop
2511,World Drop
2512,???
2513,World Drop
2514,Winterpelt Furbolg Reputation
2515,World Drop
2516,Dragonriding Racing
2517,Valdrakken Accord Renown
2518,World Drop
2519,Forbidden Hoard
2520,World Drop
2521,Reach Racer's Purse
2522,Valdrakken Accord Renown
2523,Valdrakken Renown
2524,World Drop
2525,Winterpelt Furbolg Reputation
2526,Dungeon Reward
2527,World Drop
2528,Valdrakken Accord Renown
2529,Reputation Reward
2530,Tuskarr Renown
2531,Centaur Renown
2532,Dragonscale Expedition Renown
2533,???
2534,Valdrakken Renown
2535,Centaur Renown
2536,Dragonriding Racing
2537,Reputation Reward
2538,World Drop
2539,Valdrakken Accord Renown
2540,World Drop
2541,World Drop
2542,World Drop
2609,Reputation Reward
2610,Professions
2612,Valdrakken Accord Renown
2613,Dragonriding Racing
2614,???
2615,Dragonriding Racing
2616,Quest Reward
2617,World Drop
2618,Valdrakken Accord Renown
2619,World Drop
2620,Tuskarr Renown
2621,Winterpelt Furbolg Reputation
2622,Quest Reward
2623,Dragonriding Racing
2624,World Drop
2625,World Drop
2626,Reputation Reward
2627,Professions
2628,???
2629,Quest Reward
2630,World Drop
2631,Dungeon Reward
2632,Dragonriding Racing
2633,Tuskarr Renown
2634,World Drop
2635,World Drop
2636,Professions
2637,Achievement
2638,Niffen Renown
2639,Niffen Renown
2640,World Drop
2641,Quest Reward
2642,Tuskarr Renown
2643,Reach Racer's Purse
2644,World Drop
2645,Quest Reward
2646,Dungeon Reward
2647,Dragonriding Racing
2648,Winterpelt Furbolg Reputation
2649,World Drop
2650,World Drop
2651,Tuskarr Renown
2652,Quest Reward
2653,Quest Reward
2654,World Drop
2655,Valdrakken Renown Envoy
2656,???
2657,World Drop
2658,Tuskarr Renown
2659,Dungeon Reward
2660,???
2661,Reputation Reward
2662,Centaur Renown
2663,Dragonscale Expedition Renown
2664,Valdrakken Accord Renown
2665,???
2666,Dungeon Reward
2667,Reputation Reward
2668,World Drop
2669,World Drop
2670,Quest Reward
2671,Dragonriding Racing
2672,Tuskarr Renown
2673,Professions
2674,Tuskarr Renown
2675,Suffusion Camps
2852,Reputation Reward
2853,Professions
2854,Suffusion Camps
2855,???
2856,Valdrakken Accord Renown
2857,Achievement
2858,Professions
2859,Suffusion Camps
2860,Quest Reward
2861,???
2862,Quest Reward
2863,Valdrakken Accord Renown
2864,Dragonscale Expedition Renown
2865,Quest Reward
2866,Dragonscale Expedition Renown
2867,Quest Reward
2868,Professions
2869,Dragonscale Expedition Renown
2870,World Drop
2871,Quest Reward
2872,Dragonriding Racing
2873,Centaur Renown
2874,Reputation Reward
2875,Dragonscale Expedition Renown
2876,Achievement
2877,World Drop
2878,World Drop
2879,Niffen Renown
2880,Dragonscale Expedition Renown
2881,Quest Reward
2882,Dungeon Reward
2883,Professions
2884,Quest Reward
2885,World Drop
2886,Quest Reward
2887,Quest Reward
2888,World Drop
2889,World Drop
2890,Reputation Reward
2891,Quest Reward
2892,Dragonscale Expedition Renown
2893,Dragonriding Racing
2894,Quest Reward
2895,Centaur Renown
2896,Tuskarr Renown
2897,Valdrakken Accord Renown
2898,Reputation Reward
2899,???
2900,Professions
2901,Dragonscale Expedition Renown
2902,Dungeon Reward
2903,Dungeon Reward
2904,World Drop
2905,Quest Reward
2906,World Drop
2907,Dungeon Reward
2908,Dragonscale Expedition Renown
2909,World Drop
2910,World Drop
2911,Quest Reward
2912,Quest Reward
2913,Quest Reward
2914,Quest Reward
3068,Suffusion Camps
3069,Professions
3070,Professions
3071,Achievement
3072,Valdrakken Accord Renown
3073,???
3074,Winterpelt Furbolg Reputation
3075,Reputation Reward
3076,Treasure
3077,World Drop
3078,Centaur Renown
3079,Valdrakken Accord Renown
3080,World Drop
3081,World Drop
3082,Centaur Renown
3083,Professions
3084,World Drop
3085,Reach Racer's Purse
3086,World Drop
3087,Centaur Renown
3088,Professions
3089,Dungeon Reward
3090,Achievement
3091,Niffen Renown
3092,Dungeon Reward
3093,World Drop
3094,Quest Reward
3095,Centaur Renown
3096,Dragonriding Racing
3097,World Drop
3098,Quest Reward
3099,World Drop
3100,World Drop
3101,Centaur Renown
3102,Reputation Reward
3103,Tuskarr Renown
3104,Valdrakken Accord Renown
3105,Dragonscale Expedition Renown
3106,???
3107,???
3108,World Drop
3109,Centaur Renown
3110,Dragonriding Racing
3111,Reputation Reward
3112,Tuskarr Renown
3113,Quest Reward
3114,Centaur Renown
3115,World Drop
3116,Dungeon Reward
3117,Valdrakken Renown Envoy
3118,Quest Reward
3119,World Drop
3120,Winterpelt Furbolg Reputation
3121,Centaur Renown
3125,Professions
3126,Dungeon Reward
3127,World Drop
3128,
3132,
3133,
3134,
3135,
3137,
3139,
3140,Vault of the Incarnates
3141,Gladiator PvP Rank (Season 1 Dragonflight)
3142,
3143,
3144,
3145,Niffen Renown
3146,
3147,
3148,Winterpelt Furbolg Reputation
3149,Reach Racer's Purse
3150,???
3151,Suffusion Camps
3152,Zskera Vaults
3153,Dragonriding Racing
3154,Winterpelt Furbolg Reputation
3649,???
3650,Suffusion Camps
3651,Professions
3652,???
3653,???
3654,Achievement
3655,Professions
3656,Valdrakken Accord Renown
3657,???
3658,World Drop
3659,Vendor
3660,World Drop
3661,Niffen Renown
3662,Professions
3663,Vendor
3664,Treasure
3665,Professions
3666,World Drop
3667,Niffen Renown
3668,Dragonriding Racing
3669,World Drop
3670,???
3671,World Drop
3672,World Drop
3673,???
3674,Niffen Renown
3675,Professions
3676,Achievement
3677,Niffen Renown
3678,Niffen Renown
3679,World Drop
3680,World Drop
3681,Quest Reward
3682,World Drop
3683,World Drop
3684,Dragonriding Racing
3685,World Drop
3686,Niffen Renown
3687,???
3688,Dragonriding Racing
