ID,Name_lang,Description_lang,DescriptionShort_lang
1,Will of the Forsaken,"Can remove fear, sleep, and charm.","Remove charm, fear, and sleep effects"
2,Cannibalize,May consume corpses to regain health and mana.,Consume corpses to regain health and mana
3,Touch of the Grave,Can drain health from enemies.,Drain health from enemies
4,Shadow Resistance,Resistant to Shadow damage.,Resistant to Shadow damage
5,The Human Spirit,"Increased Haste, Critical Strike, Mastery, and Versatility.","Increased Haste, Critical Strike, Mastery, and Versatility"
6,Diplomacy,Bonus to reputation gains.,Bonus to reputation gains
7,Every Man for Himself,Can break out of stun effects.,Break out of stun effects
8,Stoneform,May take on a stone form.,May take on a stone form
9,Might of the Mountain,Increased effect from critical strikes.,Increased effect from critical strikes
10,Frost Resistance,Resistant to Frost damage.,Resistant to Frost damage
11,Explorer,Find additional Archaeology fragments and survey faster.,Find more Archaeology fragments and survey faster
98,Ancient History,Increases Inscription skill.,Inscription skill increased
99,Magical Affinity,Increases magical damage.,Increased magical damage
100,Cantrips,Summon a flying book that acts as a mailbox.,Summon a flying book that acts as a mailbox
101,Entropic Embrace,Your abilities have a chance to empower you with the essence of the Void.,Become empowered by the Void
102,Ethereal Connection,Reduces the cost of Void Storage and Transmogrification.,Reduced cost for Void Storage and Transmogrification
103,Preternatural Calm,Your spell casts are not delayed by taking damage.,Spell casts aren't delayed by damage
104,Chill of Night,Resistant to Shadow damage.,Resistant to Shadow damage
105,Spatial Rift,Tear a rift in space and teleport to a destination.,Teleport through a rift in space
106,Arcane Resistance,Resistant to Arcane damage.,Resistant to Arcane damage
107,Arcane Pulse,Damage and snare nearby enemies.,Damage and snare nearby enemies
108,Bull Rush,"Charge forward, knocking down your enemies.","Charge forward, knocking down enemies"
109,Pride of Ironhorn,Increases mining skill and speed.,Mining skill and speed increased
110,"Waste Not, Want Not",Chance to gather additional meat and fish.,Chance to gather more meat and fish
111,Mountaineer,Increases Versatility.,Increased Versatility
112,Rugged Tenacity,Reduces damage from incoming attacks.,Reduced damage from incoming attacks
113,Light's Judgment,Deal mighty holy damage to an area.,Deal mighty holy damage to an area
114,Holy Resistance,Reduces Holy damage taken.,Resistant to Holy damage
115,Light's Reckoning,"Erupt upon death, dealing Holy damage to nearby enemies and healing nearby allies.","Erupt upon death, damaging nearby enemies and healing nearby allies"
