ID,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang
1,Human,,human,,Human,,human,,The noble humans of Stormwind stand at the forefront of the Alliance against the enemies of Azeroth.,Human,,human,
2,Orc,,orc,,Orc,,orc,,"The mighty orcs came to Azeroth as conquerors, but now strive to reclaim their ancient honor and traditions.",Orc,,orc,
3,Dwarf,,dwarf,,Dwarf,,dwarf,,The stout dwarves of Ironforge are famed explorers who delve into the world's ancient secrets.,Dwarf,,dwarf,
4,Night Elf,,night elf,,Kaldorei,,kaldorei,,The mystical night elves defend the wilds of Azeroth against any who mean harm to nature.,Elf,,elf,
5,Undead,,undead,,Forsaken,,Forsaken,,"Raised into undeath, the Forsaken have built a bold future out of the ruins of a darkened past.",Undead,,undead,
6,Tauren,,tauren,,Shu'halo,,shu'halo,,The massive tauren serve their beloved Earth Mother and protect the balance of nature.,Tauren,,tauren,
7,Gnome,,gnome,,Gnome,,gnome,,The diminutive and ingenious gnomes are renowned for creating countless technological wonders.,Gnome,,gnome,
8,Troll,,troll,,Darkspear,,Darkspear,,"Driven from their jungle homeland by rival tribes, the Darkspear trolls found allies in the mighty Horde.",Troll,,troll,
9,Goblin,,goblin,,Bilgewater,,Bilgewater,,"Always inventive and often reckless, goblins are known as skilled engineers and talented merchants.",Goblin,,goblin,
10,Blood Elf,,blood elf,,Sin'dorei,,sin'dorei,,"Survivors of a brutal war, the blood elves drew strength from the magical Sunwell to rebuild their kingdom.",Elf,,elf,
11,Draenei,,draenei,,Draenei,,draenei,,The draenei fled from demonic corruption and now lend their might to defend Azeroth.,Draenei,,draenei,
12,Fel Orc,,fel orc,,,,,,,,,,
13,Naga,,naga,,,,,,,,,,
14,Broken,,broken,,,,,,,,,,
15,Skeleton,,skeleton,,,,,,,,,,
16,Vrykul,,vrykul,,,,,,,,,,
17,Tuskarr,,tuskarr,,,,,,,,,,
18,Forest Troll,,forest troll,,,,,,,,,,
19,Taunka,,taunka,,,,,,,,,,
20,Northrend Skeleton,,Northrend skeleton,,,,,,,,,,
21,Ice Troll,,ice troll,,,,,,,,,,
22,Worgen,,worgen,,Gilnean,,Gilnean,,"A curse turned the humans of Gilneas into savage worgen, who harness their ferocity to aid their allies.",Worgen,,worgen,
23,Gilnean,,Gilnean,,,,,,The worgen were first unleashed upon the Eastern Kingdoms by Archmage Arugal. <PH>,,,,
24,Pandaren,,pandaren,,Pandaren,,pandaren,,"A spiritual and inquisitive people, the pandaren have a deep love for cooking, brewing, and adventure.",Pandaren,,pandaren,
