ID,Name_lang,Description_lang
1,Kyrian,"The Kyrian are steadfast guardians of the afterlife who bear the souls of the dead into the Shadowlands. Eternally devoted to duty and service, only the worthy may enter their ranks."
2,Venthyr,"The Venthyr are aristocratic overseers of souls burdened with excessive pride and wickedness. They guide troubled souls upon the rigorous path to atonement, harvesting anima to keep their realm strong."
3,Night Fae,"The Night Fae tend to fallen nature spirits who slumber within the tranquil forest. Those with a deep bond to nature may join their cause, ensuring that the rejuvenated spirits can one day rejoin the eternal cycle."
4,Necrolord,"Among the Necrolords, strength is rewarded and weakness cast aside. The souls of the ambitious and contentious are forged into an immortal army charged with the defense of the Shadowlands."
12,Maruuk Centaur,The various centaur clans of the Ohn'ahran plains all identify as the Maruuk Centaur.
13,Dragonscale Expedition,The Explorers' League and the Reliquary have joined forces for an expedition into the Dragon Isles.
14,Iskaara Tuskarr,Hardy Tuskarr tribe of the Dragon Isles.
15,The Valdrakken Accord,"Valdrakken is the shining capital of the dragon flights, and it is here that they have founded an accord to once again assist the mortal races."
20,Loamm Niffen,The Niffen that reside underneath the Dragon Isles in Loamm
21,Dream Wardens,A coalition of various races ready to defend the Emerald Dream against any and all threats.
23,Keg Leg's Crew,Free-spirited crew of misfits causing mischief under the flag of Captain Keg Leg.
24,Council of Dornogal,[DNT]
25,The Assembly of the Deeps,[DNT]
26,Hallowfall Arathi,[DNT]
27,The Severed Threads,[DNT]
28,[DNT] 11.0 Delves Season 1,[DNT]
