ID,Name_lang
1,Wolf
2,Cat
3,Spider
4,Bear
5,Boar
6,Crocolisk
7,Carrion Bird
8,Crab
9,Gorilla
11,Raptor
12,Tallstrider
15,Felhunter
16,Voidwalker
17,Succubus
19,Doomguard
20,Scorpid
21,Turtle
23,Imp
24,Bat
25,Hyena
26,Bird of Prey
27,Wind Serpent
28,Remote Control
29,Felguard
30,Dragonhawk
31,Ravager
32,Warp Stalker
33,Sporebat
34,Ray
35,Serpent
37,Moth
38,Chimaera
39,Devilsaur
40,Ghoul
41,Aqiri
42,Worm
43,Clefthoof
44,Wasp
45,Core Hound
46,Spirit Beast
49,Water Elemental
50,Fox
51,Monkey
52,Hound
53,Beetle
55,Shale Beast
56,Zombie
57,<< QA TEST FAMILY >>
68,Hydra
100,Fel Imp
101,Voidlord
102,Shivarra
103,Observer
104,Wrathguard
108,Infernal
116,Fire Elemental
117,Earth Elemental
125,Waterfowl
126,Water Strider
127,Rodent
128,Stone Hound
129,Gruffhorn
130,Basilisk
138,Direhorn
145,Storm Elemental
147,Terrorguard
148,Abyssal
150,Riverbeast
151,Stag
154,Mechanical
155,Abomination
156,Scalehide
157,Oxen
160,Feathermane
288,Lizard
290,Pterrordax
291,Hopper
292,Carapid
296,Blood Beast
298,Camel
299,Courser
300,Mammoth
302,Incubus
303,Lesser Dragonkin
