ID,Name_lang,Description_lang
1,Currency Token Test Token 4,Text that describes this item can be found here.
2,Currency Token Test Token 2,
4,Currency Token Test Token 5,
22,Birmingham Test Item 3,
42,Badge of Justice,
61,Dalaran Jewelcrafter's Token,Tiffany Cartier's shop in Dalaran will gladly accept these tokens for unique jewelcrafting recipes.
81,Epicurean's Award,"Visit special cooking vendors in capital cities and Northrend Dalaran to purchase unusual cooking recipes, spices, and even a fine hat!"
101,Emblem of Heroism,
102,Emblem of Valor,
103,Arena Points,
104,Honor Points DEPRECATED,"If you can read this, you've found a bug. REPORT IT!"
121,Alterac Valley Mark of Honor,
122,Arathi Basin Mark of Honor,
123,Eye of the Storm Mark of Honor,
124,Strand of the Ancients Mark of Honor,
125,Warsong Gulch Mark of Honor,
126,Wintergrasp Mark of Honor,
161,Stone Keeper's Shard,
181,Honor Points DEPRECATED2,"If you can read this, you've found a bug. REPORT IT!"
201,Venture Coin,
221,Emblem of Conquest,
241,Champion's Seal,Awarded for valiant acts in the Crusader's Coliseum.
301,Emblem of Triumph,
321,Isle of Conquest Mark of Honor,
341,Emblem of Frost,
361,Illustrious Jewelcrafter's Token,"Awarded for demonstrating great skill in jewelcrafting, these tokens can be used to purchase unique jewelcrafting plans and the fabulous Chimera's Eye."
384,Dwarf Archaeology Fragment,
385,Troll Archaeology Fragment,
391,Tol Barad Commendation,Awarded for brave deeds performed on Tol Barad.
393,Fossil Archaeology Fragment,
394,Night Elf Archaeology Fragment,
395,Justice Points,Used to purchase less-powerful armor and weapons.
396,Valor Points,Used to purchase powerful PvE armor and weapons.
397,Orc Archaeology Fragment,
398,Draenei Archaeology Fragment,
399,Vrykul Archaeology Fragment,
400,Nerubian Archaeology Fragment,
401,Tol'vir Archaeology Fragment,
402,Ironpaw Token,Represents your credit with the Ironpaw family of cooks. Can be redeemed for Cooking ingredients and other things at the Stockmaster in Halfhill Market.
416,Mark of the World Tree,Granted by the Guardians of Hyjal. Can be used to purchase reinforcements for the Invasion of the Firelands.
483,Conquest Arena Meta,
484,Conquest Rated BG Meta,
515,Darkmoon Prize Ticket,Awarded for winning games or doing favors at the Darkmoon Faire.
614,Mote of Darkness,"Extracted from the forces of Deathwing, this dark energy can be used to power amazing magics."
615,Essence of Corrupted Deathwing,"Extracted from Deathwing himself, this dark energy powers the most fearsome of incantations."
676,Pandaren Archaeology Fragment,
677,Mogu Archaeology Fragment,
692,Conquest Random BG Meta,
697,Elder Charm of Good Fortune,"Possession of the Elder Charm of Good Fortune allows its lucky owner to risk a coin to receive a bonus reward from Mogu'shan Vaults, Heart of Fear, Terrace of Endless Spring, Sha of Anger, or Salyis' Warband."
698,Zen Jewelcrafter's Token,"Awarded for demonstrating great skill in jewelcrafting, these tokens can be used to purchase unique jewelcrafting plans and the beautiful Serpent's Eye."
738,Lesser Charm of Good Fortune,"Possession of the Lesser Charms of Good Fortune will result in great happiness and the eventual conversion into Warforged Seals, which allow players to risk a coin to receive a bonus reward from raid encounters."
752,Mogu Rune of Fate,"Possession of the Mogu Rune of Fate allows its lucky owner to risk a rune to receive a bonus reward from the Throne of Thunder, Nalak or Oondasta."
754,Mantid Archaeology Fragment,
776,Warforged Seal,"Possession of the Warforged Seal allows its lucky owner to risk a seal to receive a bonus reward from the Siege of Orgrimmar, the Celestial Trials, and Ordos."
777,Timeless Coin,"You feel the shadowy fingers of previous and future owners of this coin playing across your hand, as if time itself blurs. Spend upon the Timeless Isle to earn powerful and fluid rewards."
789,Bloody Coin,Pulled from the steaming corpses of foes vanquished in the mists of the Timeless Isle.
810,Black Iron Fragment,Scavenged from the shattered armor and weapons of Iron Horde invaders.
821,Draenor Clans Archaeology Fragment,
823,Apexis Crystal,"The enduring legacy of a lost civilization, Apexis crystals contain untold reserves of magical power."
824,Garrison Resources,Earn resources to build-up and expand your garrison.
828,Ogre Archaeology Fragment,
