ID,Name_lang
227,High Interrogator Gerstahn
228,Lord Roccor
229,Houndmaster Grebmar
230,Ring of Law
231,Pyromancer Loregrain
232,Lord Incendius
233,Warder Stilgiss
234,Fineous Darkvire
235,Bael'Gar
236,General Angerforge
237,Golem Lord Argelmach
238,Hurley Blackbreath
239,Phalanx
240,Ribbly Screwspigot
241,Plugger Spazzring
242,Ambassador Flamelash
243,The Seven
244,Magmus
245,Emperor Dagran Thaurissan
250,Yor
267,Highlord Omokk
268,Shadow Hunter Vosh'gajin
269,War Master Voone
270,Mother Smolderweb
271,Urok Doomhowl
272,Quartermaster Zigris
273,Gizrul the Slavener
274,Halycon
275,Overlord Wyrmthalak
343,Zevrim Thornhoof
344,Hydrospawn
345,Lethtendris
346,Alzzin the Wildshaper
347,Illyanna Ravenoak
348,Magister Kalendris
349,Immol'thar
350,Tendris Warpwood
361,Prince Tortheldrin
362,Guard Mol'dar
363,Stomper Kreeg
364,Guard Fengus
365,Guard Slip'kik
366,Captain Kromcrush
367,Cho'Rush the Observer
368,King Gordok
378,Viscous Fallout
379,Grubbis
380,Electrocutioner 6000
381,Crowd Pummeler 9-60
382,Mekgineer Thermaplugg
422,Noxxion
423,Razorlash
424,Lord Vyletongue
425,Celebras the Cursed
426,Landslide
427,Tinkerer Gizlock
428,Rotgrip
429,Princess Theradras
438,Roogug
444,Interrogator Vishas
446,Houndmaster Loksey
447,Arcanist Doan
448,Herod
449,High Inquisitor Fairbanks
450,High Inquisitor Whitemane
451,Kirtonos the Herald
452,Jandice Barov
453,Rattlegore
454,Marduk Blackpool
455,Vectus
456,Ras Frostwhisper
457,Instructor Malicia
458,Doctor Theolen Krastinov
459,Lorekeeper Polkelt
460,The Ravenian
461,Lord Alexei Barov
462,Lady Illucia Barov
463,Darkmaster Gandling
472,The Unforgiven
473,Hearthsinger Forresten
474,Timmy the Cruel
475,Willey Hopebreaker
476,Commander Malor
477,Instructor Galford
478,Balnazzar
479,Baroness Anastari
480,Nerub'enkan
481,Maleki the Pallid
482,Magistrate Barthilas
483,Ramstein the Gorger
484,Lord Aurius Rivendare
486,Dreamscythe
487,Weaver
488,Jammal'an the Prophet
490,Morphaz
491,Hazzas
492,Avatar of Hakkar
493,Shade of Eranikus
519,Frozen Commander
520,Grand Magus Telestra
521,Grand Magus Telestra
522,Anomalus
523,Anomalus
524,Ormorok the Tree-Shaper
525,Ormorok the Tree-Shaper
526,Keristrasza
527,Keristrasza
528,Drakos the Interrogator
529,Drakos the Interrogator
530,Varos Cloudstrider
531,Varos Cloudstrider
532,Mage-Lord Urom
533,Mage-Lord Urom
534,Ley-Guardian Eregos
535,Ley-Guardian Eregos
547,Revelosh
548,The Lost Dwarves
549,Ironaya
551,Ancient Stone Keeper
552,Galgann Firehammer
553,Grimlok
554,Archaedas
585,Lady Anacondra
586,Lord Cobrahn
587,Kresh
588,Lord Pythas
589,Skum
590,Lord Serpentis
591,Verdan the Everliving
592,Mutanus the Devourer
593,Hydromancer Velratha
594,Ghaz'rilla
595,Antu'sul
596,Theka the Martyr
597,Witch Doctor Zum'rah
598,Nekrum Gutchewer
599,Shadowpriest Sezz'ziz
600,Chief Ukorz Sandscalp
601,High Warlord Naj'entus
602,Supremus
603,Shade of Akama
604,Teron Gorefiend
605,Gurtogg Bloodboil
606,Reliquary of Souls
607,Mother Shahraz
608,The Illidari Council
609,Illidan Stormrage
610,Razorgore the Untamed
611,Vaelastrasz the Corrupt
612,Broodlord Lashlayer
613,Firemaw
614,Ebonroc
615,Flamegor
616,Chromaggus
617,Nefarian
618,Rage Winterchill
619,Anetheron
620,Kaz'rogal
621,Azgalor
622,Archimonde
623,Hydross the Unstable
624,The Lurker Below
625,Leotheras the Blind
626,Fathom-Lord Karathress
627,Morogrim Tidewalker
628,Lady Vashj
649,High King Maulgar
650,Gruul the Dragonkiller
651,Magtheridon
652,Attumen the Huntsman
653,Moroes
654,Maiden of Virtue
655,Opera Hall
656,The Curator
657,Terestian Illhoof
658,Shade of Aran
659,Netherspite
660,Chess Event
661,Prince Malchezaar
662,Nightbane
663,Lucifron
664,Magmadar
665,Gehennas
666,Garr
