ID,TutorialText_lang
1,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
2,Kyrian zone ability unlocked!|n|nYou can drag this to your action bar.
3,Kyrian zone ability unlocked!|n|nYou can drag this to your action bar.
4,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
5,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
6,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
7,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
8,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
9,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
10,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
11,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
12,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
13,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
14,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
15,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
16,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
17,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.
18,
19,
20,
21,
22,Venthyr zone ability unlocked!|n|nYou can drag this to your action bar.
23,Venthyr zone ability unlocked!|n|nYou can drag this to your action bar.
24,Venthyr zone ability unlocked!|n|nYou can drag this to your action bar.
26,Night Fae zone ability unlocked!|n|nYou can drag this to your action bar.
27,Night Fae zone ability unlocked!|n|nYou can drag this to your action bar.
28,Night Fae zone ability unlocked!|n|nYou can drag this to your action bar.
29,Necrolord zone ability unlocked!|n|nYou can drag this to your action bar.
30,Necrolord zone ability unlocked!|n|nYou can drag this to your action bar.
31,Venthyr zone ability unlocked!|n|nYou can drag this to your action bar.
32,Kyrian zone ability unlocked!|n|nYou can drag this to your action bar.
33,Kyrian ability unlocked!|n|nYou can drag this to your action bar.
34,Kyrian signature ability unlocked!|n|nYou can drag this to your action bar.
35,Necrolord ability unlocked!|n|nYou can drag this to your action bar.
36,Necrolord signature ability unlocked!|n|nYou can drag this to your action bar.
37,Venthyr ability unlocked!|n|nYou can drag this to your action bar.
38,Venthyr signature ability unlocked!|n|nYou can drag this to your action bar.
39,Ardenweald ability unlocked!|n|nYou can drag this to your action bar.
40,Ardenweald signature ability unlocked!|n|nYou can drag this to your action bar.
41,Construct Ability available|n|nYou can drag this to your action bar.
44,Ability available|n|nYou can drag this to your action bar.
45,Torghast Ability available|n|nYou can drag this to your action bar.
46,
47,
48,
49,
50,Necrolord zone ability unlocked!|n|nYou can drag this to your action bar.
51,Pocopoc summon unlocked!|n|nYou can drag this to your action bar.
52,[PH] Reuse ME
53,
54,Shikaar ability unlocked!|n|nYou can drag this to your action bar.
55,Shikaar ability unlocked!|n|nYou can drag this to your action bar.
57,Throw the ball into a goal.
58,Celormu's Help available |n |nYou can drag this to your action bar.
59,Recharge Vigor|n |nYou can drag this to your action bar.
60,Reset Positon|n |nYou can drag this to your action bar.
61,Fire Flynn's Pistol at the barrel
62,Dungeon Assistance |n |nYou can drag this to your action bar.
65,[PH] This is the ability you use for companion extra actions. |n |nYou can drag this to your action bar.
66,[PH] This is the ability you use for scenario extra actions. |n |nYou can drag this to your action bar.
67,Timerunning ability unlocked!|n|nYou can drag this to your action bar.
68,Timerunning ability unlocked!|n|nYou can drag this to your action bar.
69,Timerunning ability unlocked!|n|nYou can drag this to your action bar.
70,Timerunning ability unlocked!|n|nYou can drag this to your action bar.
71,Pact ability unlocked!|n|nYou can drag this to your action bar.
