ID,Name_lang,Description_lang
1,"PLAYER, Human",
2,"PLAYER, Orc",
3,"PLAYER, Dwarf",
4,"PLAYER, Night Elf",
5,"PLAYER, Undead",
6,"PLAYER, Tauren ",
7,Creature,
8,"PLAYER, Gnome",
9,"PLAYER, Troll",
14,Monster,
15,Defias Brotherhood,
16,Gnoll - Riverpaw,
17,Gnoll - Redridge,
18,Gnoll - Shadowhide,
19,Murloc,
20,"Undead, Scourge",
21,Booty Bay,This booming coastal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.
22,Beast - Spider,
23,Beast - Boar,
24,Worgen,
25,Kobold,
26,"Troll, Bloodscalp",
27,"Troll, Skullsplitter",
28,Prey,
29,Beast - Wolf,
30,Defias Brotherhood Traitor,
31,Friendly,
32,Trogg,
33,"Troll, Frostmane",
34,"Orc, Blackrock",
35,Villian,
36,Victim,
37,Beast - Bear,
38,Ogre,
39,Kurzen's Mercenaries,
40,Escortee,
41,Venture Company,
42,Beast - Raptor,
43,Basilisk,
44,"Dragonflight, Green",
45,Lost Ones,
46, Blacksmithing - Armorsmithing,
47,Ironforge,This Alliance capital is the pride of the Dun Morogh dwarves.  Home to King Magni.
48,Dark Iron Dwarves,
49,"Human, Night Watch",
50,"Dragonflight, Red",
51,Gnoll - Mosshide,
52,"Orc, Fel Dragonmaw",
53,Gnome - Leper,
54,Gnomeregan,"The former denizens of Gnomeregan, now living in New Tinkertown and in league with the Alliance."
55,Leopard,
56,Scarlet Crusade,
57,Gnoll - Rothide,
58,Beast - Gorilla,
59,Thorium Brotherhood,The dwarves of the Thorium Brotherhood epitomize excellence in craftsmanship and are bent on unlocking the secrets of Blackrock Mountain.
60,Naga,
61,Dalaran,
62,Forlorn Spirit,
63,Darkhowl,
64,Grell,
65,Furbolg,
66,Horde Generic,
67,Horde,
68,Undercity,"Led by Sylvanas Windrunner, the Forsaken have joined a tenuous alliance with the Horde and established this capital in the vast depths under the Ruins of Lordaeron."
69,Darnassus,"This Alliance capital is populated by Night Elves and is located in the Island of Teldrassil.  Ruled by the Priestess of the Moon, Tyrande Whisperwind."
70,Syndicate,A primarily human criminal organization that operates mostly out of the Alterac Mountains and Hillsbrad Foothills.
71,Hillsbrad Militia,
72,Stormwind,"One of the last bastions of human power, this Alliance capital is ruled by the young but wise king, Anduin Wrynn."
73,Demon,
74,Elemental,
75,Spirit,
76,Orgrimmar,"Founded by Thrall, this Horde capital city is home to many of the proud orc clans of Durotar."
77,Treasure,
78,Gnoll - Mudsnout,
79,"HIllsbrad, Southshore Mayor",
80,"Dragonflight, Black",
81,Thunder Bluff,"Baine Bloodhoof leads his people, the proud Tauren, from this mighty Horde capital."
82,"Troll, Witherbark",
83,Leatherworking - Elemental,
84,"Quilboar, Razormane",
85,"Quilboar, Bristleback",
86,Leatherworking - Dragonscale,
87,Bloodsail Buccaneers,These bloodthirsty corsairs are the bane of many a merchant in the high seas.  Sworn enemies of Booty Bay.
88,Blackfathom,
89,Makrura,
90,"Centaur, Kolkar",
91,"Centaur, Galak",
92,Gelkis Clan Centaur,These centaur have made their home in the southern region of Desolace.  Mortal enemies of the Magram Centaur.
93,Magram Clan Centaur,These centaur have made their home in the eastern region of Desolace.  Mortal enemies of the Gelkis Centaur.
94,Maraudine,
108,Theramore,
109,"Quilboar, Razorfen",
110,"Quilboar, Razormane 2",
111,"Quilboar, Deathshead",
128,Enemy,
148,Ambient,
168,Nethergarde Caravan,
169,Steamwheedle Cartel,
189,Alliance Generic,
209,Nethergarde,
229,Wailing Caverns,
249,Silithid,
269,Silvermoon Remnant,
270,Zandalar Tribe,These trolls have come to Yojamba Isle in an effort to recruit help against the resurrected Blood God and his Atal'ai Priests in Zul'Gurub.
289, Blacksmithing - Weaponsmithing,
309,Scorpid,
310,Beast - Bat,
311,Titan,
329,Taskmaster Fizzule,
349,Ravenholdt,This guild of thieves and assassins welcomes only those of extraordinary prowess into its fold.  Sworn rivals of the Syndicate.
369,Gadgetzan,"Capital of the Steamwheedle Cartel and home to goblinhood's finest engineers, alchemists and merchants."
389,Gnomeregan Bug,
409,Harpy,
429,Burning Blade,
449,Shadowsilk Poacher,
450,Searing Spider,
469,Alliance,
470,Ratchet,"Part of the Steamwheedle Cartel, this goblin city provides a neutral haven for those that wish to trade goods and services in the Barrens."
489,"Goblin, Dark Iron Bar Patron",
509,The League of Arathor,The League of Arathor seeks to reclaim the lost land of Arathi Basin for their benefactors in Stormwind.
510,The Defilers,The Defilers seek to claim Arathi Basin's valuable resources for the Horde.
511,Giant,
529,Argent Dawn,An organization focused on protecting Azeroth from the threat of the Scourge.  Strongholds of the Argent Dawn can be found in the Eastern and Western Plaguelands.
530,Darkspear Trolls,"This tribe of exiled trolls has joined forces with Thrall and the Horde.  They now call Durotar their home, which they share with their orc allies."
531,"Dragonflight, Bronze",
532,"Dragonflight, Blue",
549,Leatherworking - Tribal,
550,Engineering - Goblin,
551,Engineering - Gnome,
569,Blacksmithing - Hammersmithing,
570,Blacksmithing - Axesmithing,
571,Blacksmithing - Swordsmithing,
572,"Troll, Vilebranch",
573,Southsea Freebooters,
574,Caer Darrow,
575,"Furbolg, Uncorrupted",
576,Timbermaw Hold,"As the last uncorrupted furbolg tribe, the Timbermaw seek to preserve their spiritual ways and end the suffering of their brethren."
577,Everlook,This trading post is run by the goblins of the Steamwheedle Cartel and it sits in the crossroads of Winterspring's main trade routes.
589,Wintersaber Trainers,This small group of reclusive night elves raises and trains wintersabers in the Winterspring area.
609,Cenarion Circle,The druids of Cenarion Circle are guardians of nature and make their home in tranquil Moonglade.
629,Shatterspear Trolls,
630,Ravasaur Trainers,
649,Majordomo Executus,
669,Beast - Carrion Bird,
670,Beast - Cat,
671,Beast - Crab,
672,Beast - Crocilisk,
673,Beast - Hyena,
674,Beast - Owl,
675,Beast - Scorpid,
676,Beast - Tallstrider,
677,Beast - Turtle,
678,Beast - Wind Serpent,
679,Training Dummy,
689,"Dragonflight, Black - Bait",
709,Battleground Neutral,
729,Frostwolf Clan,The Frostwolf Clan seeks to drive out the dwarves of the Stormpike Expedition from Alterac Valley.
730,Stormpike Guard,"The Stormpike Dwarves have set up residence in Alterac Valley, where they're locked in battle with the Frostwolf Orcs."
749,Hydraxian Waterlords,These elementals have made their home on the islands east of Azshara.  Sworn enemies of the armies of Ragnaros.
750,Sulfuron Firelords,
769,Gizlock's Dummy,
770,Gizlock's Charm,
771,Gizlock,
789,Moro'gai,
790,Spirit Guide - Alliance,
809,Shen'dralar,"A remnant of the once powerful elves living in Dire Maul, yet still wise and knowledgeable about great secrets. "
829,Ogre (Captain Kromcrush),
849,Spirit Guide - Horde,
869,Jaedenar,
889,Warsong Outriders,"Fierce orcs of the Warsong Clan, locked in battle against the Silverwing Sentinels in Warsong Gulch."
890,Silverwing Sentinels,"Staunch defenders of Ashenvale, locked in battle against the Warsong Outriders in Warsong Gulch."
891,Alliance Forces,
892,Horde Forces,
893,Revantusk Trolls,
909,Darkmoon Faire,"A carnival that showcases the weird and the extraordinary, located on a mysterious island only accessible for the first week of every month."
910,Brood of Nozdormu,The descendants of the Bronze Dragonflight are the guardians of time and care little for the mortal races.
911,Silvermoon City,"The capital of Quel'Thalas, home of the blood elves.  Though nearly destroyed by Arthas' attack on the Sunwell, Silvermoon is once again a thriving city."
912,Might of Kalimdor,
914,"PLAYER, Blood Elf",
915,Armies of C'Thun,
916,Silithid Attackers,
917,The Ironforge Brigade,
918,RC Enemies,
919,RC Objects,
920,Red,
921,Blue,
922,Tranquillien,"Once a high elf town, Tranquillien became abandoned after the Scourge invaded Quel'Thalas.  It has now been reclaimed by the Forsaken and the blood elves who seek to rid the Ghostlands of the Scourge."
923,Farstriders,
925,Sunstriders,
926,Magister's Guild,
927,"PLAYER, Draenei",
928,Scourge Invaders,
929,Bloodmaul Clan,
930,Exodar,"The naaru vessel that brought the draenei to Azeroth.  Though stranded in the Azuremyst Isles, it acts as a home city for this noble race."
932,The Aldor,"An ancient order of draenei priests once run by Velen, the Aldor are currently led by High Priestess Ishanah.  They are servants of the naaru in Shattrath City known as the Sha'tar.  Rivals of the Scryers."
933,The Consortium,"Led by Nexus-Prince Haramad, the Consortium is a loosely affiliated cartel of ethereal smugglers, traders and thieves that has come to Outland to benefit from its riches."
934,The Scryers,"Voren'thal the Seer leads the dissident blood elves who've rejected Kael'thas' path to power.  They've joined forces with the naaru of Shattrath City, much to the dismay of the Aldor."
935,The Sha'tar,"The Sha'tar are a group of powerful naaru who rule over a rebuilt Shattrath City.  With the help of the Aldor and the Scryers, they lead the battle against Illidan and the Burning Legion."
936,Shattrath City,
937,"Troll, Forest",
938,The Omenai,
940,The Sons of Lothar,
941,The Mag'har,This reclusive group of brown-skinned orcs has escaped any form of demonic corruption.  They have retained their traditional way of life in the face of great changes in Outland.
942,Cenarion Expedition,An exploratory force sent to Outland by the Cenarion Circle to study surviving life forms.  The Cenarion Expedition has quickly gained in size and autonomy since the opening of the Dark Portal.
943,Fel Orc,
944,Fel Orc Ghost,
945,Sons of Lothar Ghosts,
946,Honor Hold,"Vestiges of the Sons of Lothar, veterans of the Alliance that first came into Draenor, have steadfastly held on to this Hellfire outpost.  They are now joined by the armies from Stormwind and Ironforge."
947,Thrallmar,The expedition sent through the Dark Portal by Thrall has built a stronghold in Hellfire Peninsula.  Thrallmar serves as a base of operations for much of the Horde's activities in Outland.
948,Test Faction 2,
949,Test Faction 1,
950,ToWoW - Flag,
951,ToWoW - Flag Trigger Alliance (DND),
952,Test Faction 3,
954,ToWoW - Flag Trigger Horde (DND),
955,Broken,
956,Ethereum,
957,"Elemental, Earth",
958,Fighting Robots,
959,Actor Good,
960,Actor Evil,
961,Stillpine Furbolg,
962,Crazed Owlkin,
963,Chess Alliance,
964,Chess Horde,
965,Monster Spar,
966,Monster Spar Buddy,
967,The Violet Eye,A secret sect of the Kirin Tor founded to spy on Medivh and his activities.
968,Sunhawks,
969,Hand of Argus,
