ID,Answer_lang
101,
102,Yes
103,No
104,
105,0
106,1
107,2
108,3
109,4
110,5
111,6
112,7
113,8
114,9
115,Much worse
116,Somewhat worse
117,About the same
118,Better
119,Much better
120,10
121,
152,Better
153,Much better
154,
155,Much worse
156,Somewhat worse
157,About the same
158,Better
159,Much better
160,
161,Much worse
162,Somewhat worse
163,About the same
164,Better
165,Much better
166,
167,Much worse
168,Somewhat worse
169,About the same
170,Better
171,Much better
172,
173,Much worse
174,Somewhat worse
175,About the same
184,Not at All Satisfied
185,
186,
187,
188,Extremely Satisfied
189,Not at All Likely
190,
191,
192,
193,Extremely Likely
194,
195,Not at All Likely
196,
197,
198,
199,Extremely Likely
200,Not at All Satisfied
201,
202,
203,
204,Extremely Satisfied
205,Strongly Disagree
206,
207,
208,
209,Strongly Agree
210,
211,Strongly Disagree
212,
213,
214,
215,Strongly Agree
216,
217,Strongly Disagree
218,
219,
220,
221,Strongly Agree
222,
223,Strongly Disagree
224,
225,
226,
227,Strongly Agree
228,
229,Yes
230,No
231,Not at All Satisfied
232,
233,
234,
235,Extremely Satisfied
236,
249,
251,
252,
320,
321,
322,
323,Strongly Agree
324,
325,Strongly Disagree
352,
359,1
366,2
373,3
380,4 or more
394,Not Yet Resolved
