ID,Name_lang
89,Northshire Abbey
90,Stormwind City
91,Northshire Abbey
92,Stormwind City
93,Westbrook Garrison
94,Westfall
95,Eastvale Logging Camp
96,Redridge
97,Goldshire
98,Stormwind City
99,Redridge
100,Eastvale Logging Camp
101,Stranglethorn
102,Raven Hill
103,Deadwind Pass
104,Redridge
105,Stranglethorn
106,Westfall
107,Darkshire
108,Raven Hill
109,Westfall
110,Stranglethorn
111,Raven Hill
112,Darkshire
113,Duskwood
114,Lakeshire
115,Elwynn
116,Stonewatch Keep
117,Lakeshire
118,Stonewatch Keep
298,Thelsamar
299,Searing Gorge
301,Wetlands
302,Dun Morogh
303,Dun Morogh
304,Wetlands
305,Thelsamar
306,Thelsamar
307,Searing Gorge
308,Dun Morogh
309,Anvilmar
310,Ironforge
311,Loch Modan
312,Kharanos
313,Anvilmar
314,Ironforge
315,Ironforge
316,Kharanos
317,Anvilmar
318,Loch Modan
376,Dun Modr
377,Menethil
378,Loch Modan
379,Loch Modan
380,Menethil
381,Grim Batol
382,Dun Modr
387,Loch Modan
388,Arathi Highlands
389,Dun Modr
1162,Menethil Harbor
1564,Ironforge
1565,Loch Modan
1566,Kharanos
1567,Loch Modan
1568,Loch Modan
1569,Ironforge
1570,Kharanos
1572,Kharanos
1573,Kharanos
1630,Brill
1633,Brill
1634,Agamand Mills
1639,Deathknell
1643,Brill
1644,Agamand Mills
1645,Deathknell
1646,Silverpine
1647,Deathknell
1648,Agamand Mills
1649,Monastery
1650,Plaguelands
1651,Deathknell
1652,Brill
1653,Silverpine
1654,Silverpine
1655,Monastery
1656,Plaguelands
1657,Monastery
1658,Brill
1659,Plaguelands
1660,Silverpine
1661,The Undercity
1662,The Undercity
1663,The Undercity
1664,The Undercity
1665,The Undercity
1666,The Undercity
1668,Dun Algaz
1669,Dun Algaz
1674,Gnomeregan
1675,The Sepulcher
1676,Pyrewood Village
1677,Tirisfal
1678,Ambermill
1679,Pyrewood Village
1680,Shadowfang Keep
1681,Tirisfal
1686,The Sepulcher
1687,The Sepulcher
1688,Tirisfal
1689,Ambermill
1690,Pyrewood
1691,Shadowfang Keep
1692,Deep Elem Mine
1693,Ambermill
1694,The Sepulcher
1695,Pyrewood Village
1696,Shadowfang Keep
1697,Tirisfal
1698,Gilneas
1699,Hillsbrad Plains
1700,Pyrewood Village
1701,Shadowfang Keep
1702,The Sepulcher
1703,Gilneas
1704,Hillsbrad Plains
1705,Pyrewood Village
1706,Shadowfang Keep
1707,Gilneas
1708,Ambermill
1709,The Sepulcher
1710,Hillsbrad Foothills
1711,Gilneas
1712,Ambermill
1713,Hillsbrad Plains
1714,Pyrewood Village
1715,Shadowfang Keep
1771,Southshore
1772,Tarren Mill
1773,Hillsbrad
1774,Silverpine Forest
1775,Tarren Mill
1776,Durnholde Keep
1777,Silverpine Forest
1778,Hillsbrad
1779,Southshore
1780,Tarren Mill
1781,Alterac Mountains
1782,Hillsbrad
