ID,Text_lang
201,"|cffffd100Tip:|r Your spell casting can be canceled by moving, jumping, or hitting the <ESC> key."
222,|cffffd100Tip:|r You can <Ctrl>-click on an item to see how you would look wearing that item.
223,|cffffd100Tip:|r An item with its name in gray is a Poor quality item and generally should be sold to a vendor.
224,|cffffd100Tip:|r An item with its name in white is useful to players in some way and can be used or sold at the auction house.
225,|cffffd100Tip:|r You can send mail to other players on your realm or even to your other characters from any mailbox in game.
226,|cffffd100Tip:|r You can <Shift>-click on an item to place an item link into a chat message.
227,|cffffd100Tip:|r You can remap the keyboard inputs for your action bars by hitting <ESC> and using the Key Bindings interface.
229,"|cffffd100Tip:|r If a target on your minimap is gray, it's inside a cave or interior place you aren't currently in."
230,"|cffffd100Tip:|r You can perform many fun actions with the emote system, such as typing /dance to dance!"
231,|cffffd100Tip:|r Access the Interface menu by pressing <ESC> to customize your game options.
234,|cffffd100Tip:|r A mail icon next to the minimap means that you've got mail! Visit a mailbox to retrieve it.
235,|cffffd100Tip:|r You can add additional action bars to your game interface using the <ESC> Interface menu.
236,"|cffffd100Tip:|r If you hold down <Shift> while right-clicking on a target to loot, you will automatically loot all items on the target."
237,"|cffffd100Tip:|r If you enjoyed playing with someone, add them to your friends list!"
240,"|cffffd100Tip:|r If you never want to hear from another player again, right-click their name and select Ignore. You can always change your mind later."
241,"|cffffd100Tip:|r You can target party members using the function keys. F1 targets you, F2 targets the second party member, and so on."
242,|cffffd100Tip:|r Being polite while in a group with others will get you invited back!
243,|cffffd100Tip:|r You can click on a faction in the reputation pane to get additional information and options about that faction.
244,|cffffd100Tip:|r A monster with a star beneath its portrait is a rare monster with better than average treasure.
245,|cffffd100Tip:|r Use the mouse wheel when viewing the map to zoom in for a closer view of a zone.
251,|cffffd100Tip:|r Completing quests and dungeons is the best way to gain levels.
254,|cffffd100Tip:|r You can hide your interface with <Alt>-Z and take screenshots with <Print Screen>.
256,|cffffd100Tip:|r Right-click on the main map to zoom out to the continent or world view. Left-click to zoom in.
258,|cffffd100Tip:|r You can <Shift>-click on a player name in the chat window to learn additional information about them.
261,|cffffd100Tip:|r A blue question mark above a quest-giver means the quest is repeatable.
263,|cffffd100Tip:|r You can use the <Tab> key to cycle through nearby enemies in front of you.
281,|cffffd100Tip:|r <Shift>-clicking on an item being sold by a vendor will let you select how many of that item you wish to purchase.
282,"|cffffd100Tip:|r After learning a profession, you can access and make use of your new skill through the Professions tab of your spellbook."
321,"|cffffd100Tip:|r If you are having trouble finding something in a capital city, try clicking on a guard for directions."
341,|cffffd100Tip:|r Remember to take all things in moderation (even World of Warcraft!)
381,|cffffd100Tip:|r You can <Shift>-click on an item stack to split it into smaller stacks.
382,|cffffd100Tip:|r Pressing both mouse buttons simultaneously is another way to make your character move forward.
384,|cffffd100Tip:|r You can cancel most beneficial effects by right-clicking their spell icon at the top of your screen.
388,|cffffd100Tip:|r Clicking an item linked by another player in chat will tell you more about the item.
389,"|cffffd100Tip:|r You can only know two professions at a time, but you can learn all secondary skills (Cooking, Fishing, and Archaeology)."
390,"|cffffd100Tip:|r It's considered polite to talk to someone before inviting them into a group, or opening a trade window."
392,|cffffd100Tip:|r Your items do not suffer durability damage when you are defeated by an enemy player.
393,|cffffd100Tip:|r <Shift>-click on a quest in your quest log to toggle quest tracking for that quest.
394,|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a yellow question mark on your mini-map.
396,|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a question mark on your mini-map.
398,|cffffd100Tip:|r You can click the numbered quest icons in the quest tracker UI to select which quest to track.
399,|cffffd100Tip:|r Quests completed at maximum level award bonus gold instead of experience.
403,"|cffffd100Tip:|r By default, the B key will open all your bags at once."
404,"|cffffd100Tip:|r When interacting with other players, a little kindness goes a long way!"
405,|cffffd100Tip:|r You're much less likely to encounter wandering monsters while following a road.
406,|cffffd100Tip:|r Use the Dungeon Finder tool to quickly jump into a 5-player dungeon adventure!
407,"|cffffd100Tip:|r Bring your friends to Azeroth, but don't forget to go outside Azeroth with them as well."
409,"|cffffd100Tip:|r If you keep an empty mailbox, the mail icon will let you know when you have new mail waiting!"
410,|cffffd100Tip:|r Never give another player your account information.
411,|cffffd100Tip:|r Sharing an account with someone else can compromise its security.
419,|cffffd100Tip:|r A monster with a gray health bar has been claimed by other players and will yield no loot or experience.
422,|cffffd100Tip:|r You can access the map either by clicking the map button in the upper right of the mini-map or by hitting the 'M' key.
423,"|cffffd100Tip:|r High level dungeons often have a Mythic difficulty mode, not available through the Dungeon Finder but offering great rewards to brave adventurers!"
426,"|cffffd100Tip:|r When using Dungeon Finder, you can teleport into your dungeon. If not, you can use Dungeon meeting stones to summon absent party members."
427,|cffffd100Tip:|r The Parental Controls section of the Account Management site offers tools to help you manage play time.
428,|cffffd100Tip:|r <Shift>-click World Quests to track more than one.
429,|cffffd100Tip:|r A quest marked as (Failed) in the quest log can be reacquired from the quest giver.
430,"|cffffd100Tip:|r When viewing your quest log while in a party, the number next to a quest's name shows how many other party members are on that quest."
431,|cffffd100Tip:|r You cannot advance quests other than (Raid) quests while you are in a raid group.
432,"|cffffd100Tip:|r You cannot cancel your bids in the auction house, so bid carefully."
434,|cffffd100Tip:|r Mail will be kept for a maximum of 30 days before it disappears.
435,|cffffd100Tip:|r It is possible to change the look of your armor or weapons by visiting a Transmogrifier in major cities.
438,|cffffd100Tip:|r You can repurchase items you have recently sold to a vendor from the Buyback tab.
439,|cffffd100Tip:|r A group leader can reset their instances or change dungeon difficulty by right-clicking on their character portrait.
440,|cffffd100Tip:|r You can always get a new Hearthstone from any innkeeper.
442,"|cffffd100Tip:|r Players cannot dodge, parry, or block attacks that come from behind them."
444,|cffffd100Tip:|r You can replace a gem that is already socketed into your item by dropping a new gem on top of it in the socketing interface.
446,|cffffd100Tip:|r You can only benefit from one Battle Elixir and one Guardian Elixir at a time.
447,"|cffffd100Tip:|r When you are mousing over an item, you can hold down the <Shift> key to compare it to what you currently have equipped."
448,"|cffffd100Tip:|r You can have up to 18 characters per realm, with a maximum of 50 characters total across all realms."
449,"|cffffd100Tip:|r You can reuse text that you have recently typed. Press Enter, then use <Alt> + Up Arrow to scroll through your previous messages."
450,|cffffd100Tip:|r Most mounts and pets are shared across your Warband.
451,|cffffd100Tip:|r Thank you for playing World of Warcraft! You rock!
452,|cffffd100Tip:|r Defeat enemy players to earn Honor Levels and unlock prestigious cosmetic rewards!
453,|cffffd100Tip:|r You can learn to use flying mounts at level 30!
454,|cffffd100Tip:|r Completing some Achievements may grant unique non-combat items as rewards.
456,"|cffffd100Tip:|r Dealing damage or healing generates Threat against creatures, which will generally attack the player with the highest Threat. Characters with the Tank role generate extra Threat and should command enemies' attention."
457,|cffffd100Tip:|r Mythic dungeons are a great way to have epic (or even Legendary) adventures with your friends!
