ID,Name_lang,Description_lang
4,Orcslayer,Increases success chance when fighting orcs.
5,Blizzard,Cast by a mage to deal damage to many enemies.
6,Shield Wall,Used by a warrior to greatly reduce damage.
7,Mountaineer,Increases success chance when fighting in the mountains.
8,Cold-Blooded,Increases success chance when fighting in the snow.
9,Wastelander,Increases success chance when fighting in the desert.
10,Leap of Faith,Cast by a priest to help the target escape harm's way (or just to mess with them).
11,Prayer of Healing,Cast by a priest to heal a group of allies.
29,Fast Learner,Increases the experience this follower gains from a mission by 50%.
30,Natural Leader,Increases the XP gained for all followers on a mission.
36,Demonslayer,Increases success chance when fighting demons.
37,Beastslayer,Increases success chance when fighting beasts.
38,Ogreslayer,Increases success chance when fighting ogres.
39,Primalslayer,Increases success chance when fighting primals and their minions.
40,Gronnslayer,Increases success chance when fighting breakers and their minions.
41,Furyslayer,Increases success chance when fighting elemental furies.
42,Voidslayer,Increases success chance when fighting aberrations and undead.
43,Talonslayer,Increases success chance when fighting arakkoa and their minions.
44,Naturalist,Increases success chance when fighting in a forest.
45,Cave Dweller,Increases success chance when fighting underground.
46,Guerilla Fighter,Increases success chance when fighting in the jungle.
47,Master Assassin,Grants a very large bonus to mission success chance.
48,Marshwalker,Increases success chance when fighting in a swamp.
49,Plainsrunner,Increases success chance when fighting on plains.
52,Mining,Boosts work order production when assigned to the Mine.
53,Herbalism,Grants herbalism benefits and boosts work orders when assigned to the Herb Garden.
54,Alchemy,"Offers various Alchemy benefits when assigned to the Alchemy Lab, and increases success chance on Alchemy missions."
55,Blacksmithing,"Can reduce your durability damage and increase work order output when assigned to the Forge, and increases success chance on Blacksmithing missions."
56,Enchanting,"Offers a variety of enchanting benefits when assigned to the Enchanter's Study, and increases success chance on Enchanting missions."
57,Engineering,"Sells engineering gadgets and boosts work orders when assigned to the Engineering Works, and increases success chance on Engineering missions."
58,Inscription,"Allows the creation of special documents and boosts work orders when assigned to the Scribe's Quarters, and increases success chance on Inscription missions."
59,Jewelcrafting,"Offers a variety of Jewelcrafting benefits when assigned to the Gem Boutique, and increases success chance on Jewelcrafting missions."
60,Leatherworking,"Can craft tents and boost work orders when assigned to the Tannery, and increases success chance on Leatherworking missions."
61,Tailoring,"Offers a variety of tailoring benefits when assigned to the Tailoring Emporium, and increases success chance on Tailoring missions."
62,Skinning,Boosts work order production based on follower level while assigned to the Barn.
63,Gnome-Lover,Increases success chance when on a mission with a gnome.
64,Humanist,Increases success chance when on a mission with a human.
65,Dwarvenborn,Increases success chance when on a mission with a dwarf.
66,Child of the Moon,Increases success chance when on a mission with a night elf.
67,Ally of Argus,Increases success chance when on a mission with a draenei.
68,Canine Companion,Increases success chance when on a mission with a worgen.
69,Brew Aficionado,Increases success chance when on a mission with a pandaren.
70,Child of Draenor,Increases success chance when on a mission with an orc.
71,Death Fascination,Increases success chance when on a mission with an undead.
72,Totemist,Increases success chance when on a mission with a tauren.
73,Voodoo Zealot,Increases success chance when on a mission with a troll.
74,Elvenkind,Increases success chance when on a mission with a blood elf.
75,Economist,Increases success chance when on a mission with a goblin.
76,High Stamina,Increases success chance on missions with duration longer than 7 hours.
77,Burst of Power,Increases success chance on missions with duration shorter than 7 hours.
78,Lone Wolf,Increases success chance when on a mission alone.
79,Scavenger,Increases the garrison resources gained from a mission by 100%.
80,Extra Training,Increases the experience gained from a mission for all followers by 30%.
100,Taunt,Forces an enemy to attack the warrior.
101,Multi-Shot,Used by a hunter to damage many enemies.
102,Heroic Leap,Used by a warrior to quickly escape harm's way.
103,Rapid Fire,Significantly increases the hunter's burst damage.
104,Sap,Used by a rogue to neutralize a dangerous enemy (or just to annoy you).
105,Kick,Used by a rogue to interrupt a spell (super frustrating).
106,Chain Heal,Cast by a shaman to heal a group of allies.
107,Purify Spirit,Cast by a shaman to remove a harmful magic effect.
108,Growl,Forces the target to attack the druid.
114,Dark Command,Forces the target to attack the death knight.
115,Bone Shield,Protects the death knight with a shield of bone.
116,Death and Decay,Cast by a death knight to damage many enemies.
117,Mind Freeze,"Freezes the opponent's mind, interrupting a spell."
118,Empower Rune Weapon,Significantly increases the death knight's burst damage.
119,Anti-Magic Shell,Protects the death knight from harmful magic effects.
120,Cleave,Used by a warrior to damage multiple enemies.  Also used to describe every arena team.
121,Pummel,Used by a warrior to interrupt a spell.
122,Recklessness,Used by a warrior to greatly increase burst damage.
123,Reckoning,Forces the target to attack the paladin.
124,Divine Shield,Cast by a paladin to prevent damage.  Also used to escape in a cowardly manner (shameful).
125,Cleanse,Cast by a paladin to remove a harmful magic effect.
126,Rebuke,Cast by a paladin to interrupt a spell.
127,Repentance,Cast by a paladin to neutralize a dangerous enemy.
128,Holy Radiance,Cast by a paladin to heal a group of allies.
129,Divine Plea,Cast by a paladin to quickly regenerate mana.
130,Divine Storm,Cast by a paladin to deal damage to many enemies.
131,Avenging Wrath,Cast by a paladin to greatly increase burst damage.
132,Barkskin,"The druid takes on a hardened skin, significantly reducing damage taken."
133,Innervate,Cast by a druid to rapidly regenerate the target's mana.
134,Entangling Roots,Cast by a druid to neutralize a dangerous enemy.
135,Wild Growth,Cast by a druid to heal a group of allies.
136,Nature's Cure,Cast by a druid to remove a harmful magic effect.
137,Hurricane,Cast by the druid to damage many enemies.
138,Berserk,Significantly increases the druid's burst damage.
139,Celestial Alignment,Significantly increases the druid's burst damage.
140,Provoke,Forces the enemy to attack the monk.
141,Guard,Used by a monk to significantly reduce damage.
142,Chi Wave,Cast by a monk to heal a group of allies.
143,Roll,Used by a monk to quickly move out of harm's way.
144,Paralysis,Used by a monk to neutralize a dangerous enemy.
145,Detox,Cast by a monk to remove a harmful magic effect.
146,Mana Tea,Cast by a monk to quickly regenerate the target's mana.
147,Spear Hand Strike,Used by a monk to interrupt a spell.
148,Dispel Magic,Cast by a priest to remove a harmful magic effect.
149,Shadowfiend,Cast by a priest to greatly increase burst damage and mana regeneration.
150,Mind Sear,Cast by a priest to damage many enemies.
151,Dominate Mind,Cast by a priest to neutralize a dangerous enemy.  Wildly popular in AB and EotS.
152,Power Infusion,Cast by a priest to greatly increase burst damage.
153,Water Shield,Cast by a shaman to greatly increase mana regeneration.
154,Chain Lightning,Cast by a shaman to damage many enemies.
155,Wind Shear,Cast by a shaman to interrupt a spell.
156,Ghost Wolf,Cast by a shaman to quickly move out of harm's way.
157,Hex,Cast by a shaman to neutralize a dangerous enemy.  Also makes them feel dumb.
158,Ascendance,Cast by a shaman to greatly increase burst damage.  Seems unfair at times.
159,Evasion,Used by a rogue to avoid significant damage.
160,Sprint,"Used by a rogue to escape harm's way.  Or, to move quickly between the mailbox and auction house."
161,Fan of Knives,Used by a rogue to damage many enemies.
162,Marked for Death,Used by a rogue to greatly increase burst damage.
163,Feign Death,Used by a hunter to force the enemy to attack a different target.
164,Deterrence,Used by a hunter to prevent damage.
165,Disengage,Used by a hunter to quickly move out of harm's way.
166,Counter Shot,Used by a hunter to interrupt a spell.
167,Freezing Trap,Used by a hunter to neutralize a dangerous enemy.  Watch your step!
168,Ice Block,Cast by a mage to prevent massive damage.  For a while.
169,Conjure Food,Your body needs energy to perform to its fullest!
170,Blink,Cast by a mage to quickly teleport out of harm's way.  Hax.
171,Counterspell,Cast by a mage to interrupt a spell.
172,Polymorph,Cast by a mage to neutralize a dangerous enemy.
173,Time Warp,Cast by a mage to greatly increase burst damage.
174,Unending Resolve,Cast by a warlock to prevent significant damage.
175,Drain Life,Cast by a warlock to regain life.  Duh.
176,Singe Magic,Cast by an annoying imp to remove a harmful magic effect.
177,Metamorphosis,Cast by a warlock pretending to be a demon hunter. Greatly increases burst damage.
178,Rain of Fire,Cast by a warlock to damage many enemies.
179,Spell Lock,Cast by a warlock to interrupt a spell.
180,Fear,Used to neutralize a dangerous opponent.  Sometimes causes them to violate basic laws of physics.  Odd.
181,Summon Infernal,Cast by a warlock to feel powerful and deal significant damage.  Makes nearby innocents very nervous.
182,Dash,"Used by a druid to quickly dash out of harm's way, as if they didn't already move fast enough."
183,Energizing Brew,Used by a monk to significantly increase burst damage.  Also tastes fantastic.
199,Extra Training,Grants a bonus to XP upon mission completion.
200,Extra Training,Grants a bonus to XP upon mission completion.
201,Combat Experience,Grants a bonus to mission success chance.
202,Combat Experience,Grants a bonus to mission success chance.
203,Teleport,Reduces travel time of missions.
204,Teleport,Reduces travel time of missions.
205,Salvage Arms,Awards a bonus to garrison resources upon mission completion.
206,Salvage Arms,Awards a bonus to garrison resources upon mission completion.
221,Epic Mount,Reduces mission time by 50%.
222,Powered By Death,Reduces mission duration by 25%.
227,Angler,With Nat's knowledge your fishing skill in Draenor allows you to catch lunkers without bait.
228,Evergreen,"When assigned to the Lumber Mill, can more efficiently and humanely processes timber."
231,Bodyguard,Can accompany you as a guardian in Draenor when assigned to a level 2 or 3 barracks.
232,Dancer,Your lithe moves help you skip out of danger zones just a bit more quickly.
236,Hearthstone Pro,"A master tactician, and a must-watch.  Party members gain experience 35% more quickly."
244,Brute,Greatly increases success chance when on a mission alone.
248,Mentor,Accompanying followers gain this follower's combat effectiveness.
249,Explorer Extraordinaire,"An expert in both Beast Lore and Terrain Exploration, Harrison can anticipate all incoming danger.

|cFFFFD200""Fortune and glory, kid. Fortune and glory."" - Harrison Jones |r"
250,Speed of Light,The Sun-touched Feather of Rukhmar infuses a follower with epic speed.
252,Ogre Buddy,Increases success chance when on a mission with an ogre.
253,Mechano Affictionado,Increases success chance when on a mission with a construct or machine.
254,Bird Watcher,Increases success chance when on a mission with an arakkoa.
255,Wildling,Increases success chance when on a mission with a beastly companion.
256,Extreme Scavenger,Increases the garrison resources gained from a mission by 200%.
257,Test - Temporary Follower Ability,Temporary follower ability description.  Lasts for one mission.
260,Boarding Party,Allows transports to run missions that require boots on the ground.
261,Submarine,Allows the submarine to become invisible to radar and sneak up on enemy ships.
262,Battleship,Fires armor piercing rounds that cleanly cut through armor.
263,Destroyer,"Drops explosive shells into the water, destroying submerged craft."
264,Carrier,A fleet of bombers that can attack from the air.
265,Ice Cutter,Slices a path through Icy Waters.
266,Bilge Pump,"Pumps out excess water from the ship, allowing it to remain afloat during Stormy Weather."
267,High Intensity Fog Lights,Burn through the fog (and maybe some retinas) with these super illuminating lights.
268,Gyroscopic Internal Stabilizer,"Keeps the ship upright and stable, allowing it to move effortlessly around Chaotic Whirlpools."
269,Blast Furnace,"A massive furnace, capable of producing 11 out of 10 power."
270,True Iron Rudder,Reinforces the rudder to allow tighter turns at higher speeds.
271,Trained Shark Tank,Mines are no match for a tank of trained sharks.
272,Felsmoke Launcher,"Creates a smoke screen around your ship, blocking sight on a First Strike."
273,Nitro Fuel Tanks,"Allows the ship to burn nitro fuel, getting it to and from destinations quicker.  Reduces mission time by 50%."
274,Salty Crew,This crew has seen it all and has the hats to prove it.  Grants a bonus to mission success chance.
275,Unsinkable,"On a devastating hit, saves the ship by surrounding the ship with an impenetrable shield. Unsinkable is destroyed when triggered."
276,Food Storage Bay,"Adds space for additional food stores, improving success chance on long missions."
277,Automated Sky Scanner,Increases success chance when on a mission with a Carrier.
278,Ammo Reserves,Increases success chance when on a mission with a Battleship.
279,Sonic Amplification Field,Increases success chance when on a mission with a Destroyer.
280,Extra Quarters,Increases success chance when on a mission with a Transport.
281,Q-43 Noisemaker Mines,Increases success chance when on a mission with a Submarine.
282,Orc Crew,The icy waters surrounding Frostfire have long been training grounds for navigating Icy Waters.
283,Dwarven Crew,Allows naval equipment to be recovered from successful missions.
284,Draenic Crew,Draenei are adept at navigating the Dense Fog surrounding Shadowmoon Valley.
285,Tauren Crew,Increases the experience gained from a mission for all ships by 50%.
286,Goblin Crew,Allows naval equipment to be recovered from successful missions.
287,Gnomish Crew,Allows naval equipment to be recovered from successful missions.
288,Night Elf Crew,Reduces mission time by 50%.
289,Blood Elf Crew,Reduces mission time by 50%.
290,Troll Crew,Allows naval equipment to be recovered from successful missions.
291,Worgen Crew,Increases the experience gained from a mission for all ships by 50%.
292,Human Crew,Increases success chance on missions.
293,Undead Crew,Increases success chance on missions.
294,Pandaren Crew,"Pandaren crewman stash extra supplies on their ships, which helps on long missions."
299,Empty Equipment Bay,Attach ship equipment to this bay.
300,Empty Equipment Bay,Attach ship equipment to this bay.
303,Demonic Knowledge,Grants a large bonus to mission success chance.
304,Wreckage Recovery Module,"When deployed on a successful mission, filters the surrounding waters and returns a box full of useful junk."
305,Tuskarr Fishing Net,"A fishing net that is attached to the back of a ship, courtesy of the tuskarr.  Supplies fish when returning from a successful mission."
306,Ghostly Spyglass,A long spyglass that seems to display nothing when you look through it.  Maybe it will come in handy.
307,Fel Rush,Lunges toward an enemy. Sometimes used on critters to travel quickly.
308,Chaos Nova,Used by demon hunters to control multiple dangerous enemies at once.
309,Stone Skin,Demon hunters can cover their skin in fel stone to absorb large blows. Also notoriously uncomfortable.
310,Immolation,"Some demon hunters take the mantra ""fight fire with fire"" a bit too seriously."
311,Devour Magic,Magic is a delicacy among the Illidari. Tastes like chicken.
312,Vengeful Retreat,Used by demon hunters to who are... not prepared.
313,Metamorphosis,Demon hunters can unleash the demon within to defeat the strongest foes.
314,Greasemonkey,Increases the oil gained from a mission by 100%.
315,Murloc Crew,"Murlocs can exit their ship and swim ashore even when underwater, always functioning as a Transport.  Being amphibious has its perks."
317,Apexis Storm,The kraken unleashed in this area grants Apexis Crystals upon completion of any successful mission.
318,Air Superiority,"An airship spots and attacks hostile ships in the area, increasing the success chance of missions."
319,Captain Reania's Command,Increases the experience gained from a mission for all ships by 50%.
320,Treasure Map,Grants additional Apexis Crystals upon completion of any successful mission.
321,Captain Thokash's Command,Increases the experience gained from a mission for all ships by 50%.
322,Fearless Privateer,Increases the success chance of missions.
323,Boarding Party,Allows transports to run missions that require boots on the ground.
324,Apex Predator,Greatly increases success chance when fighting many creature types.
325,Exorcist,"Grants a bonus to mission success chance, and provides a greater success chance when fighting demons."
326,Apexis Attenuation,Increases the Apexis Crystals gained from a mission by 100%.
327,Arakkoa Crew,Capable of launching attacks from the air.
331,Elemental,A spellcaster who harnesses the destructive forces of nature and the elements to counter some |C00b3ffffBosses|R.
332,Enhancement,A totemic warrior who strikes foes with weapons imbued with elemental power to counter some |C00b3ffffBosses|R.
333,Restoration,A healer who calls upon ancestral spirits and the cleansing power of water to counter some |C00b3ffffBosses|R.
334,Windwalker,A martial artist without peer who counters some |C00b3ffffBosses|R with hands and fists.
335,Brewmaster,"A sturdy brawler who counters some |C00b3ffffBosses|R, using liquid fortification and unpredictable movement."
336,Mistweaver,A healer who masters the mysterious arts of manipulating life energies to counter some |C00b3ffffBosses|R.
337,Affliction,A master of shadow magic who specializes in drains and damage-over-time spells to counter some |C00b3ffffBosses|R.
338,Demonology,A master of demons who compels demonic powers to aid them in countering some |C00b3ffffBosses|R.
339,Destruction,A master of chaos who calls down fire to burn and counter some |C00b3ffffBosses|R.
