ID,Name_lang,Description_lang
1,DNT JasonTest Envirospell,
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3"
3,DNT Owen Test Double Effect,
4,Double Strike,"Nadjia strikes the closest enemy twice, dealing a $s1 and then $s2 Physical damage."
5,Wing Sweep,"Draven sweeps his wings, dealing $s1 Physical damage to all enemies."
6,Blood Explosion,"Theotar pulses with shadow, dealing $s1 Shadow damage to all enemies at range."
7,Skeleton Smash,Deals $s1 Physical damage to the closest enemy.
8,Hawk Punch,"Eli strikes as swiftly as a hawk, dealing damage to the closest enemy."
9,Healing Howl,Heal all allies for $s1% of their maximum health.
10,Starbranch Crush,"Smashes the closest enemy for $s1% of their maximum hit points. Each turn, heals for $s3% of maximum health and deals $s2% maximum health Frost damage to all enemies."
11,Auto Attack,Deal attack damage to the closest enemy.
12,Bone Reconstruction,Heals all allies for $s1.
13,Gentle Caress,
14,Spirit's Caress,Anjali heals all allies for $s1.
15,Auto Attack,Deal damage to an enemy at range.
16,Soulshatter,"Thela rips a memory from the farthest enemy, dealing $s1 Shadow damage."
17,Gravedirt Special,"Dug tosses a shovelful of Grave Dirt at all enemies, dealing $s1 Frost damage and healing himself for $s2."
18,Wings of Fury,"Nerith strikes all enemies in melee range three times, each strike dealing $s1 Shadow damage."
19,Searing Bite,"Bite the closest enemy with jaws of flame, dealing $s1 Fire damage."
20,Huck Stone,Stonehuck hurls a Sinstone which shatters and deals $s1 Physical damage to all enemies at range.
21,Spirits of Rejuvenation,Kaletar heals all allies for $s1.
22,Unrelenting Hunger,"Ayeleth drains the anima from all adjacent enemies, dealing $s1 Shadow damage and an additional $s2 damage each round."
23,DNT JasonTest Taunt Spell,Taunt
24,Shining Spear,"Teliah empowers her spear, dealing $s1 Holy damage to the farthest enemy and healing the closest ally for $s2."
25,Whirling Fists,"Kythekios punches all enemies in melee in rapid succession, dealing $s1 Holy damage to them and empowering himself to deal $s2% additional damage."
26,Physiker's Potion,"Telethakas pours a potion down the throat of the closest ally, healing them for $s1 and increasing their maximum health by $s2."
27,XX - Test - Physical,
28,XX - Test - Melee - Holy,
29,XX - Test - Melee - Fire,
30,XX - Test - Melee - Nature,
31,XX - Test - Melee - Frost,
32,XX - Test - Melee - Shadow,
33,XX - Test - Melee - Arcane,
34,XX - Test - Ranged - Physical,
35,XX - Test - Ranged - Holy,
36,XX - Test - Ranged - Fire,
37,XX - Test - Ranged - Nature,
38,XX - Test - Ranged - Frost,
39,XX - Test - Ranged - Shadow,
40,XX - Test - Ranged - Arcane,
41,Bag Smash,"The smuggler swipes with his bag, damaging all adjacent enemies."
42,JasonTest Passive,
43,Leech Anima,"Siphons anima from the farthest enemy into yourself, dealing $s1 Shadow damage and healing for $s2."
44,Double Stab,"Stabs the closest enemy twice, dealing $s1 Physical damage with the first knife and and $s2 with the second."
45,Siphon Soul,Deals $s1 Arcane damage to the farthest enemy and heals themself for $s2.
