ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang
8,War Mill,Dwarven Bunker,This structure stores and maintains the garrison's armaments.,"Doubles the chance for your quest rewards to get a rare or epic Bonus Upgrade, and increases the potency of the upgrade. Allows the collection of armor scraps from the orc clans of Draenor for armor transmogrification use."
9,War Mill,Dwarven Bunker,This structure stores and maintains the garrison's armaments.,"Opens up work orders for follower weapons and armor in exchange for garrison resources.  Also, new armor transmogrification items unlock."
10,War Mill,Dwarven Bunker,This structure stores and maintains the garrison's armaments.,Grants 1 of your 3 seals of inevitable fate (raid bonus loot roll) at no cost each week.
24,Barn,Barn,"The Barn houses captured creatures that provide the garrison with leather, meat, and fur.","Allows you to capture clefthoof, elekk, wolves, and talbuk for leather and fur.  Used for leatherworking and tailoring recipes."
25,Barn,Barn,"The Barn houses captured creatures that provide the garrison with leather, meat, and fur.",Allows you to capture boars and riverbeasts for rare meats used to create the most powerful food.
26,Barracks,Barracks,The Barracks houses your garrison's military forces and followers.,Unlocks patrol missions.  Patrol missions have higher than normal follower experience rewards.
27,Barracks,Barracks,The Barracks houses your garrison's military forces and followers.,Allows a follower with the bodyguard trait to accompany you as a guardian in Draenor zones.
28,Barracks,Barracks,The Barracks houses your garrison's military forces and followers.,Increases your follower limit by 5 and grants access to racial guards and banners.
29,Herb Garden,Herb Garden,A bountiful garden for the planting and harvesting of Draenor herbs.,Grows Draenic Seeds into herbs each day and herbalism nodes are available in the garden.
34,Frostwall Tavern,Lunarfall Inn,"Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.","Each day, a visitor offering a dungeon quest with generous rewards will spend the day at your inn."
35,Frostwall Tavern,Lunarfall Inn,"Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.",Recruits random followers each week.  You can specify traits and abilities you're especially interested in.
36,Frostwall Tavern,Lunarfall Inn,"Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.",Unlocks the particularly lucrative garrison resource missions.
37,Spirit Lodge,Mage Tower,Enables instant travel to strategic points in Draenor!,Allows the collection of Ogre Waystones from Ogres on Draenor.  These waystones can be used to power an Ogre Waygate of your choice on Draenor.  Also occasionally triggers Runes of Power during combat.
