ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang
2,Blood Death Knight,Blood Death Knight,
3,Frost Death Knight,Frost Death Knight,
4,Unholy Death Knight,Unholy Death Knight,
5,Balance Druid,Balance Druid,
7,Feral Druid,Feral Druid,
8,Guardian Druid,Guardian Druid,
9,Restoration Druid,Restoration Druid,
10,Beast Master Hunter,Beast Master Hunter,
12,Marksmanship Hunter,Marksmanship Hunter,
13,Survival Hunter,Survival Hunter,
14,Arcane Mage,Arcane Mage,
15,Fire Mage,Fire Mage,
16,Frost Mage,Frost Mage,
17,Brewmaster Monk,Brewmaster Monk,
18,Mistweaver Monk,Mistweaver Monk,
19,Windwalker Monk,Windwalker Monk,
20,Holy Paladin,Holy Paladin,
21,Protection Paladin,Protection Paladin,
22,Retribution Paladin,Retribution Paladin,
23,Discipline Priest,Discipline Priest,
24,Holy Priest,Holy Priest,
25,Shadow Priest,Shadow Priest,
26,Assassination Rogue,Assassination Rogue,
27,Combat Rogue,Combat Rogue,
28,Subtlety Rogue,Subtlety Rogue,
29,Elemental Shaman,Elemental Shaman,
30,Enhancement Shaman,Enhancement Shaman,
31,Restoration Shaman,Restoration Shaman,
32,Affliction Warlock,Affliction Warlock,
33,Demonology Warlock,Demonology Warlock,
34,Destruction Warlock,Destruction Warlock,
35,Arms Warrior,Arms Warrior,
37,Fury Warrior,Fury Warrior,
38,Protection Warrior,Protection Warrior,
53,Transport,Transport,
54,Destroyer,Destroyer,
55,Carrier,Carrier,
56,Battleship,Battleship,
57,Submarine,Submarine,
58,Transport,Transport,
59,Destroyer,Destroyer,
60,Carrier,Carrier,
61,Battleship,Battleship,
62,Submarine,Submarine,
63,Havoc Demon Hunter,Havoc Demon Hunter,
64,Vengeance Demon Hunter,Vengeance Demon Hunter,
65,Student of The Crane,Student of The Crane,
66,Student of The Tiger,Student of The Tiger,
67,Student of The Ox,Student of The Ox,
68,Brewmaster Monk,Brewmaster Monk,
69,Mistweaver Monk,Mistweaver Monk,
70,Windwalker Monk,Windwalker Monk,
72,Arcanists,Arcanists,
73,Elementals,Elementals,
74,Mage C Troop,Mage C Troop,
75,Risen Horde,Risen Horde,
76,Soldiers of the Ebon Blade,Soldiers of the Ebon Blade,
77,Abomination,Abomination,
79,The Broken,The Broken,
80,Illidari Warriors,Illidari Warriors,
81,Forest Friends,Forest Friends,
82,Grove Wardens,Grove Wardens,
84,Hunter C Troop,Hunter C Troop,
85,Woodsmen,Woodsmen,
86,Bowmen,Bowmen,
87,Silver Hand Recruits,Silver Hand Recruits,
88,Silver Hand Officers,Silver Hand Officers,
89,Paladin C Troop,Paladin C Troop,
90,Priest C Troop,Priest C Troop,
91,Acolytes,Acolytes,
92,Zealots,Zealots,
93,Brigands,Brigands,
94,Buccaneers,Buccaneers,
95,Rogue C Troop,Rogue C Troop,
96,Ancient of War,Ancient of War,
97,Elementals,Elementals,
98,Earthcallers,Earthcallers,
99,Valarjar,Valarjar,
100,Shieldmaidens,Shieldmaidens,
101,Warrior C Troop,Warrior C Troop,
102,Demonic Horde,Demonic Horde,
103,Black Harvest Servants,Black Harvest Servants,
104,Felguard,Felguard,
105,Celestial,Celestial,
108,Blood Death Knight,Blood Death Knight,
109,Frost Death Knight,Frost Death Knight,
110,Unholy Death Knight,Unholy Death Knight,
111,Balance Druid,Balance Druid,
112,Feral Druid,Feral Druid,
113,Guardian Druid,Guardian Druid,
114,Restoration Druid,Restoration Druid,
115,Beast Mastery Hunter,Beast Mastery Hunter,
116,Marksmanship Hunter,Marksmanship Hunter,
117,Survival Hunter,Survival Hunter,
118,Arcane Mage,Arcane Mage,
119,Fire Mage,Fire Mage,
120,Frost Mage,Frost Mage,
121,Holy Paladin,Holy Paladin,
122,Protection Paladin,Protection Paladin,
123,Retribution Paladin,Retribution Paladin,
124,Discipline Priest,Discipline Priest,
125,Holy Priest,Holy Priest,
126,Shadow Priest,Shadow Priest,
127,Assassination Rogue,Assassination Rogue,
128,Outlaw Rogue,Outlaw Rogue,
129,Subtlety Rogue,Subtlety Rogue,
130,Elemental Shaman,Elemental Shaman,
131,Enhancement Shaman,Enhancement Shaman,
132,Restoration Shaman,Restoration Shaman,
133,Affliction Warlock,Affliction Warlock,
134,Demonology Warlock,Demonology Warlock,
135,Destruction Warlock,Destruction Warlock,
136,Arms Warrior,Arms Warrior,
137,Fury Warrior,Fury Warrior,
138,Protection Warrior,Protection Warrior,
139,Ascendants,Ascendants,
140,Outcast,Outcast,
141,Tower Steward,Tower Steward,
142,Dinner Guest,Dinner Guest,
143,Brawler,Brawler,
144,Coilskar Brute,Coilskar Brute,
145,Grimtotem Warriors,Grimtotem Warriors,
146,avagner - test,,
147,Kirin Tor Guardians,Elementals,
148,Ebon Knight Frostreavers,Elementals,
