ID,Name_lang
9,Pack of Imps
10,Swarm of Wild Imps
11,Black Harvest Acolytes
16,Black Harvest Invokers
17,Tirisgarde Apprentices
18,Kirin Tor Invokers
19,Water Elementals
20,Arcane Golems
21,Ox Initiates
22,Ox Adepts
23,Tiger Initiates
24,Tiger Adepts
25,Lesser Elementals
26,Greater Elementals
27,Circle of Earthcallers
28,Earthen Ring Geomancers
29,Ascendants
30,Squad of Archers
31,Unseen Marksmen
32,Band of Trackers
33,Pathfinders
34,Dreamgrove Treants
35,Daughters of Cenarius
36,Druids of the Claw
37,Keepers of the Grove
38,Squad of Squires
39,Shieldbearer Phalanx
40,Silver Hand Knights
41,Silver Hand Templar
42,Valarjar Aspirants
43,Stormforged Valarjar
44,Shieldmaiden Warband
45,Valkyra Shieldmaidens
46,Ashtongue Warriors
47,Naga Myrmidon
48,Illidari Adepts
49,Transformed Illidari Adepts
50,Pack of Ghouls
51,Geist Swarm
52,Ebon Knights
53,Ebon Ravagers
54,Gang of Bandits
55,Defias Thieves
56,Uncrowned Duelists
57,Crew of Pirates
58,Celestial
59,Group of Acolytes
60,Netherlight Paragons
61,Band of Zealots
62,Dark Zealots
63,Ancient of War
64,Abomination
65,Coilskar Brute
66,Grimtotem Warriors
67,Kirin Tor Guardians
68,Ebon Knight Frostreavers
69,Shock Force
70,Dreamgrove Wardens
71,Shivarra
72,Earthen Ring Protectors
73,Masters of Serenity
74,Felguard Brutes
75,Hooded Priests
76,Silver Hand Crusaders
77,Ravenholdt Assassins
78,Nightborne Hunters
80,Shock Force
81,Krokul Ridgestalker
82,Void-Purged Krokul
83,Lightforged Bulwark
