ID,Name_lang
1,Frostfire Gronnling
2,Thunderlord Scout
4,Orc Encounter 1
5,Orc Encounter 2
7,Ogre Encounter 1
29,Chris' Mission Set Test Encounter
30,Frostfire Gronnling
31,Frostfire Gronnling
32,Icemaw Rylak
33,Thunderlord Scout
34,Thunderlord Scout
35,Ogre Encounter 2
36,Undead Encounter 1
37,Aberration Encounter 1
38,Arakkoa Encounter 1
39,Arakkoa Encounter 2
40,Beast Encounter 1
41,Beast Encounter 2
42,Demon Encounter 1
43,Demon Encounter 2
44,Breaker Encounter 1
45,Breaker Encounter 2
46,Fury Encounter 1
47,Fury Encounter 2
48,Primal Encounter 1
49,Primal Encounter 2
50,Wretched Slugs
51,Skulking Ravager
52,Thunderlord Crag-Leaper
53,Thunderlord Windreader
54,Cursed Wolf
55,Grimfrost Drudge
56,Frostbeak Scavenger
57,Bladespire Raider
58,Pale Devourer
59,Corrupted Toad
60,Lunarfall Raven
61,Shadowmoon Necrolyte
62,Shadowmoon Darkcaster
63,Thundering Plainswalker
64,Gorian Arcanist
65,Gorian Cohort
66,Iron Flameseer
67,Iron Flameseer
68,Beremus the Overseer
69,Tarlna the Ancient
70,Skyreach Stormcaller
71,Adherent Harrier
72,Felwrought Annihilator
73,Bloodmane Matriarch
74,Shade Prowler
75,Felflame Infernal
76,Flaming Pillager
77,Essence of Darkness
78,Essence of the Void
79,Gor
80,Ravenous Ironchewer
81,Bladespire Brute
82,Bladespire Mauler
83,Bladespire Geomancer
84,Thunderlord Windreader
85,Yggdrel
86,Thunderlord Talon
87,Thunderlord Beast-Rider
88,Moonbark Ancient
89,Nagrand Raider
90,Warsong Earthcaller
91,Sabermaw Mystic
92,Sabermaw Scarfang
93,Sabermaw Mauler
94,Adherent Flightcaller
95,Adherent Bladewing
96,Adherent Sun-Priest
97,Sargerei Vigilant
98,Sargerei Channeler
99,Sargerei Soul-Twister
100,Stonemaul Slaver
101,Slavemaster Ok'mok
102,Arcanist Earthsmasher
103,Gorian Warmaster
104,Gorian Warmaster
105,Blademoon Genesaur
106,Botani Grower
107,Botani Warder
108,Shadeback Ravager
109,Shadeback Ravager
110,Shadeback Ravager
111,Blazing Infernal
112,Stonescale
113,Bloodhide Watcher
114,Snow Lurker
115,Magma Elemental
116,Ice Fury
118,Hyacinth Mandragora
119,Shadowmoon Voidclaw
120,Podling Squirt
121,Frost Fury
122,Ravenous Ironchewer
123,Sootstained Enforcer
124,Moonbark Ancient
125,Shadowmoon Voidaxe
126,Essence of Darkness
127,Thunderlord Talon
128,Ata'gar Warrior
129,Icemaw Matriarch
130,Silent Watcher
131,Iron Grunt
132,Ula
133,Boneyard Gorger
134,Gorge Bonepicker
135,Iron Pulverizer
136,Tol'ressa
137,Goren Stonechewer
138,Adherent Sun-Caller
139,Shadowborne Reverend
140,Gordunni Basher
141,Skagg
142,Shattered Hand Sadist
143,Ravaging Knuckledragger
144,Shadeback Ravager
145,Howling Rylak
146,Sangrikass
147,Shattered Hand Blood-Singer
148,Tumultous Water Spirit
149,Gorian Arcanist
150,Warsong Earthcaller
151,Gorian Gladiator
152,Burning Blademaster
153,Plainswalker Gronn
154,Void-Torn Spirit
155,Thunderlord Grappler
156,Podling Nibbler
157,Blackrock Grunt
158,Stonemaul Guard
159,Stonemaul Intimidator
160,Adherent Squallbringer
161,Iron Shredder
162,Adherent Bladewing
163,Bloodmane Gutripper
164,Warsong Outriders
165,Warsong Raider
166,Riverbeast
167,Ashmane Clefthoof
168,Blademoon Botani
169,Icespine Ravager
