ID,Name_lang,Description_lang
1,Wild Aggression,An unpredictable enemy whose aggression should be controlled.
2,Massive Strike,An ability that deals massive damage.
3,Group Damage,An ability that deals damage to multiple party members.
4,Magic Debuff,A dangerous harmful effect that should be dispelled.
6,Danger Zones,An ability that affects a target area and must be avoided or escaped.
7,Minion Swarms,An enemy with many allies.  Susceptible to area-of-effect damage.
8,Powerful Spell,A dangerous spell that should be interrupted.
9,Deadly Minions,An enemy with powerful allies that should be neutralized.
10,Timed Battle,An enemy that must be dealt with quickly.
11,Orc,Lok'tar ogar!
12,Ogre,What you looking at.
13,Undead,Brainnnnssss...
14,Arakkoa,An ancient and dangerous species.
15,Beast,Rawrrrrr.
16,Demon,The end is nigh.
17,Breaker,Colossal and destructive giants of Draenor.
18,Fury,The elemental entities of Draenor.
19,Aberration,Creatures of the Void.
20,Primal,Ancient creatures of primeval Draenor.
21,Mountains,A mountainous region.
22,Desert,A harsh and dry landscape.
23,Snow,An arctic region.
24,Underground,The dark below.
25,Jungle,An area with heavy plant and tree cover.
26,Forest,Wooded lands.
27,Town,A smaller urban area.
28,Swamp,A lousy place you'd rather not be.
29,Plains,The open and rolling green hills and flatlands.
58,Hearthstone Table,Pull up a chair by the hearth!
60,Alchemy,This mission involves the Alchemy profession.
61,Blacksmithing,This mission involves the Blacksmithing profession.
62,Enchanting,This mission involves the Enchanting profession.
63,Engineering,This mission involves the Engineering profession.
64,Jewelcrafting,This mission involves the Jewelcrafting profession.
65,Leatherworking,This mission involves the Leatherworking profession.
66,Tailoring,This mission involves the Tailoring profession.
67,Inscription,This mission involves the Inscription profession.
73,Submarine,"Submarines move silently under water, sneaking up on unsuspecting ships.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r"
74,Carrier,"Carriers are outfitted with a squadron of ace bomber pilots.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r"
75,Destroyer,"Destroyers are quick, heavily armored ships known for hunting Submarines.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Battleship|r"
76,Battleship,"Feared for its devastating long-range artillery cannons, Battleships are unmatched in the open sea.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Carrier|r"
77,Icy Water,Massive frozen ice chunks float on the surface of the water.  Navigating through the maze of ice leaves your ships vulnerable to attack.
78,Stormy Weather,"Powerful wind gusts, violent lightning strikes, and rogue waves are just three concerns when sailing through Stormy Weather."
79,Dense Fog,A Dense Fog coats this location in absolute darkness.
80,Chaotic Whirlpools,"Chaotic Whirlpools appear without reason or warning, causing havoc on any vessel trying to pass through."
81,Swift,"Accelerates through water with reckless power, half of the battle is just keeping up. The other half is physical."
82,Evasive,"Capable of making abrupt turns without warning, this is a difficult target to hit."
83,Minelayer,"As a minelayer, this ship dispenses proximity mines behind it, leaving a treacherous trail to follow."
