ID,Name_lang,Location_lang,Description_lang
2,Gronnlings Abound,Frostwall Approach,Gronnlings are a menace to the region.  We should partner with the Frostwolf clan to thin the population.  One may even join our cause...
3,Landfall Recovery,The Burning Glacier,"It would be a worthwhile endeavor to search the ship we escaped Tanaan Jungle in, it's bound to turn up something useful!"
5,Powdered Gronnling,Garrison Caves,Gronnling bones have been discovered in the cavern behind the garrison. Your alchemists are interested in digging them up for research purposes.
6,Grimfrost Wolfbeaters,Grimfrost Hill,The Grimfrost Ogres east of the Icewind Drifts are blatantly mistreating frostwolves.  Unacceptable!
7,Stonefury Rescue,Stonefury Cliffs,There are reports of a bloody massacre on the Stonefury Cliffs!  Scatter the Frostbeak Scavengers and rescue wounded allies!
36,Frosty Potions,Icewind Drifts,A scout has located a cache of Thunderlord potions frozen in the snow. Recovering them will allow your alchemists to learn about the ingredients of Draenor.
42,Gimme Loots,Auction House,Grab all the loots
43,Frostfire Patrol,Icewind Plains,This is Matt's test mission *bugles and horns blair a triumphant tune*
44,Skyward Threat,Frostwall Approach,Rylaks from the Burning Glacier have been attacking our supply caravans.  The material must flow!
45,Ogre Remedies,Burning Glacier,Bladespire ogres on the Burning Glacier usually carry packs of supplies when they venture out into the dunes of Frostfire. They may contain new types of potions.
54,No Loots For You,Poor House,Run away!!
55,Orcs in the Mountains!,Orc Mountain,Kill the orcs in the mountains.
56,Ogres in the Desert!,Ogre Desert,Kill the ogres in the desert.
57,Undead In The Snow,Undead Snow,Kill the undead in the snow.
58,Arakkoa Underground,Arakkoa Underground,Kill the arakkoa underground.
59,Beasts in the Jungle,Beast Jungle,Kill the beasts in the jungle.
60,Demons in the Forest,Demon Forest,Kill the demons in the forest.
61,Breakers in Town,Breaker Town,Kill the breakers in the town.
62,Furies in the Swamp,Fury Swamp,Kill the furies in the swamp.
63,Primals in the Plains,Primal Plains,Kill the primals in the plains.
64,One Mission To Rule Them All,Gorgrond,The sword of a thousand truths must be destroyed in the Blackrock Foundry.  Make it happen dawg.
65,The Night Watch,Garrison Border,A regular patrol around the garrison seems like a good idea...
66,Killing the Corrupted,Cursed Woods,Corrupted beasts continue to plague the Cursed Woods. The Starfall Sentinels request our aid in putting the poor creatures out of their misery.
67,Thunderlord Assault,Colossal's Fall,We could send several of our best on a raid of the Thunderlord outpost of Colossal's Fall!  Go forth to victory.
73,Clean the Latrine,Outhouse,It's best not to lose a bet with the janitor.
86,Landfall Recovery,Eventide Landing,"It would be a worthwhile endeavor to search the ship we escaped Tanaan Jungle in, it's bound to turn up something useful!"
87,The Night Watch,Garrison Border,A regular patrol around the garrison seems like a good idea...
88,Skyward Threat,Moonflower Valley,Lunarfall Ravens from Moonflower Valley have been attacking our supply caravans.  The material must flow!
89,Shadowmoon Assault,Shaz'Gul,We could send several of our best on a raid of the Shadowmoon outpost of Shaz'Gul!  For the Alliance!
90,Fey Friends,The Shimmer Mor,Arcane Anomalies are endangering the Fey Dragons of the Shimmer Mor.  Unacceptable!
91,Rangari Rescue,Shaz'gul,The Shadowmoon have taken several Rangari and Alliance forces captive.  Infiltrate and rescue!
107,Savage Kindred,Nagrand,The gronn and the ogres are working together on a two-pronged attack. We must disrupt their machinations before they overwhelm us.
108,Industrial Espionage,Gorgrond,"If there are design flaws in the Blackrock clan's war machines, we can disable them. Break in and inspect the war machines for weaknesses."
109,"Claws, Pincers, AND Tusks",Gorgrond,Draenor can count the genesaur among its most vicious creatures. We must contain them before they spread from Gorgrond to other areas.
110,Birds of Pray,Spires of Arak,"We would like to leave the vicious arakkoa alone, but capturing their temple in the Spires of Arak would give us a strategic advantage."
111,Talador Burning,Talador,"Abyssals, the minions of Sargeras, are roaming the forests of Talador, setting them ablaze. Destroy them before the forest is ash."
112,Into the Saberon's Den,Spires of Arak,"Many of the rescued draenei prisoners have gone missing, and we think the saberon are to blame. Go investigate, but go well armed."
113,Burning Legion Vanguard,Talador,"With infernals and felguard invading Talador, the rest of the Burning Legion can't be far behind. Defeat them, and try to find their source."
114,Twisting the Nether,Shadowmoon Valley,The voidlords and voidcallers plaguing Shadowmoon Valley are being summoned by someone. Find and kill whoever is responsible.
115,Hardened Creatures,Frostfire Ridge,Magnaron and goren both grow rocky plates on their hides that have magical properties. Collect these plates for our use.
116,Iron Horde Allies,Frostfire Ridge,"Numerous and powerful, ogre warlords are formidable allies of the Iron Horde. Try to induce them to leave - forcefully, if necessary."
117,Clefthoof Rustling,Frostfire Ridge,"To weaken the Thunderlord clan, we must eliminate their fiercest warriors - their clefthoof-riders. Go to their camp and free their mounts."
118,The Corruption Spreads,Shadowmoon Valley,Fel magic has corrupted a few ancients of Shadowmoon Valley. They must be cut down to end their mad rampages.
119,Heart of the Iron Horde,Nagrand,"The Warsong clan is a symbol of the Iron Horde's power. Under the cover of night, set its camp ablaze. This will kill their morale."
120,Saberon Ambush,Nagrand,Patrols have reported that roving bands of saberon are waylaying merchants traveling through Nagrand. Find them and stop them.
125,The Feathers Must Fly,Spires of Arak,"Arakkoa talonpriests have begun sacrificing draenei to their god, Terokk. Interrupt their ritual and free the prisoners."
126,Cult of Sargeras,Talador,"In a remote corner of Talador, a small faction of draenei has embraced the worship of Sargeras. Stop their cult before it spreads."
127,To Freedom!,Gorgrond,Ogre slavers have captured many of the draenei displaced by the Iron Horde. Send someone to their camp and liberate them.
128,Go for the Heads,Nagrand,"Without their leader, the high ogre attack our spies warned us about will fail. Send an assassin to kill their warlord in Nagrand."
129,Secrets of Blademoon,Shadowmoon Valley,The hardened bark of the genesaur and botani offer an opportunity to strengthen our armor.  Do what needs to be done.
130,Ravager Infestation,Spires of Arak,"Pests! These ravagers are everywhere - in our supplies, in our barracks! Eradicate their nest in the Spires of Arak before they overrun us."
131,The Infernals' Fury,Talador,"Infernals are an uncommon sight in Talador. We'd like to keep it that way. The more that are destroyed, the better."
132,The Basilisk's Stare,Spires of Arak,"Basilisks have turned some arakkoa in the Spires of Arak to stone. It's macabre, but this stone is a precious resource. Gather it carefully."
133,Elemental Territory,Frostfire Ridge,A group of territorial elementals has claimed an area near our supply route in Frostfire Ridge. Slay them and collect any lost supplies.
135,Flora and Fauna,Shadowmoon Valley,"Dark magic runs amok in Shadowmoon Valley, giving rise to maddened, unnatural creatures. End their suffering."
136,"Sorcery, Meet Sword",Shadowmoon Valley,Shadowmoon spellcasters are experimenting with unstable void magic near the Teluuna Observatory. Because that's going to end well.
