ID,Name_lang
3,Combat
4,Generic
5,Salvage
6,Logistics
7,Wildlife
8,Trading
9,Construction
10,Provision
11,Recruitment
12,Training
13,Patrol
14,Research
15,Defense
16,Exploration
17,Siege
18,Alchemy
19,Blacksmithing
20,Enchanting
21,Engineering
22,Inscription
23,Jewelcrafting
24,Leatherworking
25,Tailoring
35,Treasure
36,Pet Battle
37,Ship-Combat
38,Ship-Oil (Unused)
39,Ship-Training
40,Ship-Treasure
41,Ship-SiegeA
42,Ship-SiegeH
46,Scouting
47,Ship-Bonus
48,Ship-Legendary
49,Ship-SiegeIHA
50,Ship-SiegeIHH
51,Zone Support - Alliance
52,Invasion
53,Artifact - Monk Mission
54,Generic (7.0)
55,7.0 Tutorial
57,Zone Support - Horde
58,Artifact - Shaman Mission
59,Artifact - Druid Mission
60,Artifact - Mage Mission
61,Artifact - Hunter Mission
63,Artifact - Paladin Mission
64,Artifact - Warlock Mission
65,Artifact - Demon Hunter Mission
66,Artifact - Rogue Mission
67,Artifact - Priest Mission
68,Artifact - Death Knight Mission
69,Artifact - Warrior Mission
70,7.0 Class Hall - Campaign Missions
71,7.0 Class Hall - Generic Missions
72,7.0 Class Hall - Treasure Missions
73,7.0 Class Hall - Special Reward Missions
74,7.0 Class Hall - Quest Missions
75,7.0 Class Hall - Treasure Missions - Dungeon
76,7.0 Class Hall - Treasure Missions - Raid
79,7.2 Broken Shore - Generic Missions
80,8.0 - Generic Missions
81,8.0 - Stealth
82,8.0 - Quick Strike
83,8.0 - Long Campaign
184,8.0 - Hub Unlock
185,8.1 - Treasure Map
186,8.2 - Holiday Mission
187,8.2 - Deep Sea
188,8.2 Azerite Essence - Treasure
189,9.0 Encounter - Maldraxxus
190,9.0 Encounter - Ardenweald
191,9.0 Encounter - Revendreth
192,9.0 Encounter - Bastion
193,9.0 Encounter - Tazavesh
194,9.0 Encounter - Maw Assault
195,9.0 Encounter - Treasure
196,9.2 Encounter - Zereth Mortis
