ID,Name_lang,Description_lang
39,Bloodlust,"Enables the Bloodlust ability, which increases the success chance of the first mission you send each day by ${$a701}%."
40,Reincarnation,"Enables the Reincarnation ability for all missions, granting a ${$a772}% chance on mission success to recover an expired Troop with $m772 Vitality."
41,Ancestral Gift,Enables a chance on mission success for your Champions to return with Champion armaments or equipment.
42,Ancestral Legends,Increase the number of Legendary items you can equip by ${$a898}.
43,Elemental Knowledge,"Newly recruited Lesser Elementals become Greater Elementals, increasing their chance of mission success by ${$a638-$a637}%."
44,Whispers of the Earth,"Newly recruited Circles of Earthcallers become Earthen Ring Geomancers, which gain:

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |CffffffffMagma Storm|R
$@garrabdesc583"
46,Rise!,"Allows you to recruit Ascendants.

Ascendants increase success chance by ${$a650}% on missions with either |C00b3ffffHazards|R, |C00b3ffffSpells|R or |C00b3ffffMinions|R, chosen at random, in addition to:

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |CffffffffAscendant's Fury|R
$@garrabdesc531"
49,Spirit Walk,Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.
52,Training Grounds,"Increases the maximum number of Lesser and Greater Elementals, Earthcallers and Geomancers you can recruit by ${$a702}."
53,Elemental Binding,"Grants access to the Lords of Fire, Earth, Wind and Water.  Each day a random Lord will appear in your Order Hall who can provide you with a powerful combat bonus."
54,The Spirit's Call,Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.
248,Auspicious Fortune,Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.
249,Enlightenment,"Newly recruited troops have a chance to be promoted one rank, making them more powerful.  

Initiates have a chance to become Adepts, and Adepts have a chance to become Masters."
250,Path of the Ox,"Newly recruited Ox Initiates become Ox Adepts, increasing their chance of mission success by ${$a897-$a695}%."
