ID,Title_lang
4,
31,
107,
110,
113,
116,
119,
122,
125,
128,
131,
134,
150,
151,
152,War Research
153,War Research
260,Visions Research [NYI]
263,MOTHER's Research - Solo
264,MOTHER's Research - Group
265,MOTHER's Research - Gambler
266,MOTHER's Research - Speedrunner
267,MOTHER's Research - Explorer
268,MOTHER's Research - Milestones
271,MOTHER's Research
272,Nadjia the Mistblade
275,Dreamweaver
276,Niya
304,General Draven
307,Transport Network
308,Transport Network
309,Transport Network
310,Transport Network
311,Anima Conductor
312,Anima Conductor
313,Anima Conductor
314,Anima Conductor
315,Command Table
316,Command Table
317,Command Table
318,Command Table
319,The Queen's Conservatory
320,Path of Ascension
321,Abomination Factory
324,The Ember Court
325,Plague Deviser Marileth
326,Revendreth - Resevoir Upgrades
327,Bastion - Resevoir Upgrades
328,Ardenweald - Resevoir Upgrades
329,Maldraxxus- Resevoir Upgrades
330,Emeni
334,Korayn
335,Chris Test Tree Set
345,Channel Anima
346,Channel Anima
347,Channel Anima
348,Channel Anima
349,Bonesmith Heirmir
357,Pelagos
360,Kleia
365,Mikanikos
368,Nadjia the Mistblade
392,Theotar the Mad Duke
393,Bastion - Covenant Abilities
395,Maldraxxus - Covenant Abilities
396,Revendreth - Covenant Abilities
397,Ardenweald - Covenant Abilities
461,The Box of Many Things
463,Drake Mastery Progression
465,Device Upgrade Console
466,Progenitor Core
467,Drake Mastery Progression
468,Progenitor Core JZB
474,Cypher Research Console
476,Pocopoc Customization
479,Thunder Lizard Effigy
482,Dragonriding Skills
483,Monster Hunter's Gear Rack
484,Advanced Dragonriding
485,Shikaar Hunting Tactics
486,Select Your Companion
487,Clan Teerai Progression
488,Tuskarr Fishing
489,Expedition Supplies
491,Hunting Party Loadout
492,Cobalt Assembly Arcana
493,Cobalt Assembly Arcana
495,Rexxar's Ability
496,Awakening The Machine
497,The Weaver
