ID,FullName_lang,ShortName_lang
2,Teldrassil,Teldrassil
3,Westfall,Westfall
4,Siege of Orgrimmar (Normal),Normal
6,Arena (2v2),2v2
7,Arena (3v3),3v3
9,Molten Core,Molten Core
14,Arena Skirmish (2v2),2v2
15,Battlegrounds,Battlegrounds
16,Custom PvE,Custom
17,Custom PvP,Custom PvP
18,Deadmines (Normal),Normal
19,Rated Battlegrounds,Rated Battlegrounds
21,Bloodmaul Slag Mines (Normal),Normal
22,Iron Docks (Normal),Normal
23,Auchindoun (Normal),Normal
24,Skyreach (Normal),Normal
25,Grimrail Depot (Normal),Normal
26,The Everbloom (Normal),Normal
27,Shadowmoon Burial Grounds (Normal),Normal
28,Upper Blackrock Spire (Normal),Normal
29,Bloodmaul Slag Mines (Heroic),Heroic
30,Iron Docks (Heroic),Heroic
31,Auchindoun (Heroic),Heroic
32,Skyreach (Heroic),Heroic
33,Grimrail Depot (Heroic),Heroic
34,The Everbloom (Heroic),Heroic
35,Shadowmoon Burial Grounds (Heroic),Heroic
36,Upper Blackrock Spire (Heroic),Heroic
37,Highmaul (Normal),Normal
38,Highmaul (Heroic),Heroic
39,Blackrock Foundry (Normal),Normal
40,Blackrock Foundry (Heroic),Heroic
41,Siege of Orgrimmar (Heroic),Heroic
42,Siege of Orgrimmar (Mythic),Mythic
43,Naxxramas (10 Player),10 Player
44,Naxxramas (25 Player),25 Player
45,Karazhan,Karazhan
46,Icecrown Citadel (10 Normal),10 Normal
47,Icecrown Citadel (10 Heroic),10 Heroic
48,Icecrown Citadel (25 Normal),25 Normal
49,Icecrown Citadel (25 Heroic),25 Heroic
50,Wailing Caverns (Normal),Wailing Caverns
51,Scholomance (Normal),Normal
52,Ragefire Chasm (Normal),Ragefire Chasm
53,Shadowfang Keep (Normal),Normal
54,Blackfathom Deeps (Normal),Blackfathom Deeps
55,Stormwind Stockade (Normal),Stormwind Stockade
56,Gnomeregan (Normal),Gnomeregan
57,Razorfen Kraul (Normal),Razorfen Kraul
58,Razorfen Downs (Normal),Razorfen Downs
59,Uldaman (Normal),Uldaman
60,Zul'Farrak (Normal),Zul'Farrak
61,Maraudon (Normal),Maraudon
62,Sunken Temple (Normal),Sunken Temple
63,Blackrock Depths (Normal),Blackrock Depths
64,Lower Blackrock Spire (Normal),Lower Blackrock Spire
65,Dire Maul (Normal),Dire Maul
66,Stratholme (Normal),Stratholme
67,Hellfire Ramparts (Normal),Normal
68,Blood Furnace (Normal),Normal
69,Shattered Halls (Normal),Normal
70,Slave Pens (Normal),Normal
71,Underbog (Normal),Normal
72,The Steamvault (Normal),Normal
73,Mana-Tombs (Normal),Normal
74,Auchenai Crypts (Normal),Normal
75,Sethekk Halls (Normal),Normal
76,Shadow Labyrinth (Normal),Normal
77,Scarlet Halls (Normal),Normal
78,Scarlet Monastery (Normal),Normal
79,The Escape from Durnholde (Normal),Normal
80,Opening of the Dark Portal (Normal),Normal
81,The Mechanar (Normal),Normal
82,The Botanica (Normal),Normal
83,The Arcatraz (Normal),Normal
84,Auchenai Crypts (Heroic),Heroic
85,Mana-Tombs (Heroic),Heroic
86,Sethekk Halls (Heroic),Heroic
87,Shadow Labyrinth (Heroic),Heroic
88,Opening of the Dark Portal (Heroic),Heroic
89,The Escape from Durnholde (Heroic),Heroic
90,Slave Pens (Heroic),Heroic
91,The Steamvault (Heroic),Heroic
92,Underbog (Heroic),Heroic
93,Blood Furnace (Heroic),Heroic
94,Hellfire Ramparts (Heroic),Heroic
95,Shattered Halls (Heroic),Heroic
96,The Arcatraz (Heroic),Heroic
97,The Botanica (Heroic),Heroic
98,The Mechanar (Heroic),Heroic
99,Magisters' Terrace (Normal),Normal
100,Magisters' Terrace (Heroic),Heroic
101,Utgarde Keep (Normal),Normal
102,Utgarde Pinnacle (Normal),Normal
103,Azjol-Nerub (Normal),Normal
104,The Oculus (Normal),Normal
105,Halls of Lightning (Normal),Normal
106,Halls of Stone (Normal),Normal
107,The Culling of Stratholme (Normal),Normal
108,Drak'Tharon Keep (Normal),Normal
109,Gundrak (Normal),Normal
110,Ahn'kahet: The Old Kingdom (Normal),Normal
111,Violet Hold (Normal),Normal
112,The Nexus (Normal),Normal
113,Trial of the Champion (Normal),Normal
114,The Forge of Souls (Normal),Normal
115,Pit of Saron (Normal),Normal
116,Halls of Reflection (Normal),Normal
117,Utgarde Pinnacle (Heroic),Heroic
118,The Culling of Stratholme (Heroic),Heroic
119,The Oculus (Heroic),Heroic
120,Halls of Lightning (Heroic),Heroic
121,Halls of Stone (Heroic),Heroic
122,Drak'Tharon Keep (Heroic),Heroic
123,Gundrak (Heroic),Heroic
124,Ahn'kahet: The Old Kingdom (Heroic),Heroic
125,Violet Hold (Heroic),Heroic
126,The Nexus (Heroic),Heroic
127,Azjol-Nerub (Heroic),Heroic
128,Utgarde Keep (Heroic),Heroic
129,Trial of the Champion (Heroic),Heroic
130,The Forge of Souls (Heroic),Heroic
131,Pit of Saron (Heroic),Heroic
132,Halls of Reflection (Heroic),Heroic
133,Throne of the Tides (Normal),Normal
134,Blackrock Caverns (Normal),Normal
135,Grim Batol (Normal),Normal
136,Halls of Origination (Normal),Normal
137,The Stonecore (Normal),Normal
138,The Vortex Pinnacle (Normal),Normal
139,Lost City of the Tol'vir (Normal),Normal
140,The Vortex Pinnacle (Heroic),Heroic
141,The Stonecore (Heroic),Heroic
142,Halls of Origination (Heroic),Heroic
143,Grim Batol (Heroic),Heroic
144,Blackrock Caverns (Heroic),Heroic
146,Throne of the Tides (Heroic),Heroic
147,Lost City of the Tol'vir (Heroic),Heroic
148,Deadmines (Heroic),Heroic
149,Shadowfang Keep (Heroic),Heroic
150,Zul'Gurub (Heroic),Zul'Gurub
151,Zul'Aman (Heroic),Zul'Aman
152,End Time (Heroic),End Time
153,Well of Eternity (Heroic),Well of Eternity
154,Hour of Twilight (Heroic),Hour of Twilight
155,Temple of the Jade Serpent (Normal),Normal
156,Stormstout Brewery (Normal),Normal
157,Shado-Pan Monastery (Normal),Normal
158,Mogu'shan Palace (Normal),Normal
159,Siege of Niuzao Temple (Normal),Normal
160,Gate of the Setting Sun (Normal),Normal
163,Temple of the Jade Serpent (Heroic),Heroic
164,Stormstout Brewery (Heroic),Heroic
165,Shado-Pan Monastery (Heroic),Heroic
166,Mogu'shan Palace (Heroic),Heroic
167,Gate of the Setting Sun (Heroic),Heroic
168,Scholomance (Heroic),Heroic
169,Scarlet Monastery (Heroic),Heroic
170,Scarlet Halls (Heroic),Heroic
171,Siege of Niuzao Temple (Heroic),Heroic
172,Frostfire Ridge,Frostfire Ridge
173,Shadowmoon Valley (Draenor),Shadowmoon Valley
174,Gorgrond,Gorgrond
175,Talador,Talador
176,Spires of Arak,Spires of Arak
177,Nagrand (Draenor),Nagrand
179,Bloodmaul Slag Mines (Challenge),Challenge
180,Iron Docks (Mythic Keystone),Mythic+
181,Auchindoun (Challenge),Challenge
182,Skyreach (Challenge),Challenge
183,Grimrail Depot (Mythic Keystone),Mythic+
184,The Everbloom (Mythic Keystone),Mythic+
186,Upper Blackrock Spire (Challenge),Challenge
187,New Tinkertown,New Tinkertown
188,Coldridge Valley,Coldridge Valley
189,Northshire,Northshire
190,Gilneas City,Gilneas City
191,Sunstrider Isle,Sunstrider Isle
192,Deathknell,Deathknell
193,Dun Morogh,Dun Morogh
194,Tirisfal Glades,Tirisfal Glades
195,Eversong Woods,Eversong Woods
196,Elwynn Forest,Elwynn Forest
197,Gilneas,Gilneas
198,Loch Modan,Loch Modan
199,Ghostlands,Ghostlands
200,Silverpine Forest,Silverpine Forest
201,Ruins of Gilneas,Ruins of Gilneas
202,Redridge Mountains,Redridge Mountains
203,Wetlands,Wetlands
204,Duskwood,Duskwood
205,Hillsbrad Foothills,Hillsbrad Foothills
206,Arathi Highlands,Arathi Highlands
207,Northern Stranglethorn,Northern Stranglethorn
208,The Cape of Stranglethorn,The Cape of Stranglethorn
209,The Hinterlands,The Hinterlands
210,Stranglethorn Vale,Stranglethorn Vale
211,Western Plaguelands,Western Plaguelands
212,Burning Steppes,Burning Steppes
213,Searing Gorge,Searing Gorge
214,Badlands,Badlands
215,Eastern Plaguelands,Eastern Plaguelands
217,Twilight Highlands,Twilight Highlands
219,Vashj'ir,Vashj'ir
221,Isle of Quel'Danas,Isle of Quel'Danas
222,Blasted Lands,Blasted Lands
223,Plaguelands: The Scarlet Enclave,Plaguelands: The Scarlet Enclave
224,Swamp of Sorrows,Swamp of Sorrows
225,Deadwind Pass,Deadwind Pass
226,Blackrock Mountain,Blackrock Mountain
227,Shadowglen,Shadowglen
228,Ammen Vale,Ammen Vale
229,Valley of Trials,Valley of Trials
230,Echo Isles,Echo Isles
231,Camp Narache,Camp Narache
232,Azuremyst Isle,Azuremyst Isle
234,Mulgore,Mulgore
235,Durotar,Durotar
236,Darkshore,Darkshore
237,Bloodmyst Isle,Bloodmyst Isle
238,Northern Barrens,Northern Barrens
239,Tanaris,Tanaris
240,Thousand Needles,Thousand Needles
241,Feralas,Feralas
242,Dustwallow Marsh,Dustwallow Marsh
243,Desolace,Desolace
244,Southern Barrens,Southern Barrens
245,Stonetalon Mountains,Stonetalon Mountains
246,Ashenvale,Ashenvale
247,Moonglade,Moonglade
248,Azshara,Azshara
249,Molten Front,Molten Front
250,Uldum,Uldum
251,Mount Hyjal,Mount Hyjal
252,Silithus,Silithus
253,Winterspring,Winterspring
254,Un'Goro Crater,Un'Goro Crater
255,Felwood,Felwood
256,Hellfire Peninsula,Hellfire Peninsula
257,Zangarmarsh,Zangarmarsh
258,Terokkar Forest,Terokkar Forest
259,Nagrand,Nagrand
260,Blade's Edge Mountains,Blade's Edge Mountains
261,Netherstorm,Netherstorm
262,Shadowmoon Valley,Shadowmoon Valley
263,Borean Tundra,Borean Tundra
264,Howling Fjord,Howling Fjord
265,Dragonblight,Dragonblight
266,Grizzly Hills,Grizzly Hills
267,Sholazar Basin,Sholazar Basin
268,Zul'Drak,Zul'Drak
269,Icecrown,Icecrown
270,The Storm Peaks,The Storm Peaks
271,Hrothgar's Landing,Hrothgar's Landing
272,Crystalsong Forest,Crystalsong Forest
273,Wintergrasp,Wintergrasp
274,Tol Barad,Tol Barad
275,Tol Barad Peninsula,Tol Barad Peninsula
276,Deepholm,Deepholm
277,Darkmoon Island,Darkmoon Island
278,Kezan,Kezan
279,The Lost Isles,The Lost Isles
280,The Wandering Isle,The Wandering Isle
281,The Jade Forest,The Jade Forest
282,Krasarang Wilds,Krasarang Wilds
283,Kun-Lai Summit,Kun-Lai Summit
284,Valley of the Four Winds,Valley of the Four Winds
285,The Veiled Stair,The Veiled Stair
286,Townlong Steppes,Townlong Steppes
287,Dread Wastes,Dread Wastes
288,Isle of Giants,Isle of Giants
289,Vale of Eternal Blossoms,Vale of Eternal Blossoms
290,Isle of Thunder,Isle of Thunder
291,Timeless Isle,Timeless Isle
293,Blackwing Lair,Blackwing Lair
294,Ruins of Ahn'Qiraj,Ruins of Ahn'Qiraj
295,Ahn'Qiraj Temple,Ahn'Qiraj Temple
296,Gruul's Lair,Gruul's Lair
297,Magtheridon's Lair,Magtheridon's Lair
298,Serpentshrine Cavern,Serpentshrine Cavern
299,Tempest Keep,Tempest Keep
300,Black Temple,Black Temple
301,The Sunwell,The Sunwell
303,Ulduar,Ulduar
304,Trial of the Crusader (10 Normal),10 Normal
305,Trial of the Crusader (10 Heroic),10 Heroic
306,Trial of the Crusader (25 Normal),25 Normal
307,Trial of the Crusader (25 Heroic),25 Heroic
308,The Ruby Sanctum (10 Normal),10 Normal
309,The Ruby Sanctum (10 Heroic),10 Heroic
310,The Ruby Sanctum (25 Normal),25 Normal
311,The Ruby Sanctum (25 Heroic),25 Heroic
313,Blackwing Descent (10 Normal),10 Normal
316,Blackwing Descent (25 Normal),25 Normal
317,Blackwing Descent (10 Heroic),10 Heroic
318,Blackwing Descent (25 Heroic),25 Heroic
319,The Bastion of Twilight (10 Normal),10 Normal
320,The Bastion of Twilight (10 Heroic),10 Heroic
321,The Bastion of Twilight (25 Heroic),25 Heroic
322,The Bastion of Twilight (25 Normal),25 Normal
323,Throne of the Four Winds (10 Normal),10 Normal
324,Throne of the Four Winds (10 Heroic),10 Heroic
325,Throne of the Four Winds (25 Heroic),25 Heroic
326,Throne of the Four Winds (25 Normal),25 Normal
331,Dragon Soul (10 Normal),10 Normal
332,Dragon Soul (10 Heroic),10 Heroic
333,Dragon Soul (25 Heroic),25 Heroic
334,Dragon Soul (25 Normal),25 Normal
335,Mogu'shan Vaults (10 Normal),10 Normal
336,Mogu'shan Vaults (10 Heroic),10 Heroic
337,Mogu'shan Vaults (25 Normal),25 Normal
338,Mogu'shan Vaults (25 Heroic),25 Heroic
339,Heart of Fear (10 Normal),10 Normal
340,Heart of Fear (10 Heroic),10 Heroic
341,Heart of Fear (25 Normal),25 Normal
342,Heart of Fear (25 Heroic),25 Heroic
343,Terrace of Endless Spring (10 Normal),10 Normal
344,Terrace of Endless Spring (10 Heroic),10 Heroic
345,Terrace of Endless Spring (25 Normal),25 Normal
346,Terrace of Endless Spring (25 Heroic),25 Heroic
347,Throne of Thunder (10 Normal),10 Normal
348,Throne of Thunder (10 Heroic),10 Heroic
349,Throne of Thunder (25 Heroic),25 Heroic
350,Throne of Thunder (25 Normal),25 Normal
351,Battlegrounds,Battlegrounds
352,Battlegrounds,Battlegrounds
353,Battlegrounds,Battlegrounds
354,Battlegrounds,Battlegrounds
355,Battlegrounds,Battlegrounds
356,Battlegrounds,Battlegrounds
360,Arena Skirmish (3v3),3v3
363,Random Pandaria Dungeon (Normal),Normal
364,Random Pandaria Dungeon (Heroic),Heroic
389,Arena Skirmish (2v2),2v2
390,Arena Skirmish (3v3),3v3
391,Arena Skirmish (2v2),2v2
392,Arena Skirmish (3v3),3v3
393,Arena Skirmish (2v2),2v2
394,Arena Skirmish (3v3),3v3
395,Random Warlords Dungeon (Normal),Normal
396,Random Warlords Dungeon (Heroic),Heroic
397,World Bosses (Pandaria),World Bosses
398,World Bosses (Draenor),World Bosses
399,Highmaul (Mythic),Mythic
400,Blackrock Foundry (Mythic),Mythic
401,Bloodmaul Slag Mines (Mythic),Mythic
402,Iron Docks (Mythic),Mythic
403,Auchindoun (Mythic),Mythic
404,Skyreach (Mythic),Mythic
405,Grimrail Depot (Mythic),Mythic
406,The Everbloom (Mythic),Mythic
407,Shadowmoon Burial Grounds (Mythic),Mythic
408,Upper Blackrock Spire (Mythic),Mythic
409,Hellfire Citadel (Normal),Normal
410,Hellfire Citadel (Heroic),Heroic
411,Tanaan Jungle,Tanaan Jungle
412,Hellfire Citadel (Mythic),Mythic
413,Emerald Nightmare (Normal),Normal
414,Emerald Nightmare (Heroic),Heroic
415,The Nighthold (Normal),Normal
416,The Nighthold (Heroic),Heroic
417,Random Legion Dungeon (Normal),Normal
418,Random Legion Dungeon (Heroic),Heroic
419,Azsuna,Azsuna
420,Val'sharah,Val'sharah
421,Highmountain,Highmountain
422,Stormheim,Stormheim
423,Suramar,Suramar
425,Eye of Azshara (Normal),Normal
426,Darkheart Thicket (Normal),Normal
427,Halls of Valor (Normal),Normal
428,Neltharion's Lair (Normal),Normal
429,Assault on Violet Hold (Normal),Normal
430,Black Rook Hold (Normal),Normal
431,Vault of the Wardens (Normal),Normal
432,Maw of Souls (Normal),Normal
433,Court of Stars (Normal),Normal
434,The Arcway (Normal),Normal
435,Eye of Azshara (Heroic),Heroic
436,Darkheart Thicket (Heroic),Heroic
437,Halls of Valor (Heroic),Heroic
438,Neltharion's Lair (Heroic),Heroic
439,Assault on Violet Hold (Heroic),Heroic
440,Black Rook Hold (Heroic),Heroic
441,Vault of the Wardens (Heroic),Heroic
442,Maw of Souls (Heroic),Heroic
443,Court of Stars (Heroic),Heroic
444,The Arcway (Heroic),Heroic
445,Eye of Azshara (Mythic),Mythic
446,Darkheart Thicket (Mythic),Mythic
447,Halls of Valor (Mythic),Mythic
448,Neltharion's Lair (Mythic),Mythic
449,Assault on Violet Hold (Mythic),Mythic
450,Black Rook Hold (Mythic),Mythic
451,Vault of the Wardens (Mythic),Mythic
452,Maw of Souls (Mythic),Mythic
453,Court of Stars (Mythic),Mythic
454,The Arcway (Mythic),Mythic
455,Return to Karazhan (Mythic),Mythic
456,Trial of Valor (Normal),Normal
457,Trial of Valor (Heroic),Heroic
458,World Bosses (Legion),World Bosses
459,Eye of Azshara (Mythic Keystone),Mythic+
460,Darkheart Thicket (Mythic Keystone),Mythic+
461,Halls of Valor (Mythic Keystone),Mythic+
462,Neltharion's Lair (Mythic Keystone),Mythic+
463,Black Rook Hold (Mythic Keystone),Mythic+
464,Vault of the Wardens (Mythic Keystone),Mythic+
465,Maw of Souls (Mythic Keystone),Mythic+
466,Court of Stars (Mythic Keystone),Mythic+
467,The Arcway (Mythic Keystone),Mythic+
468,Emerald Nightmare (Mythic),Mythic
469,Broken Shore,Broken Shore
470,Lower Karazhan (Heroic),Heroic
