ID,Name_lang
1,Siege of Orgrimmar
2,Eastern Kingdoms
3,Kalimdor
5,Deadmines
6,Bloodmaul Slag Mines
7,Iron Docks
8,Auchindoun
9,Skyreach
10,Grimrail Depot
11,The Everbloom
12,Shadowmoon Burial Grounds
13,Upper Blackrock Spire
14,Highmaul
15,Blackrock Foundry
16,Naxxramas
17,Icecrown Citadel
18,Scholomance
19,Shadowfang Keep
20,Hellfire Ramparts
21,Blood Furnace
22,Shattered Halls
23,Slave Pens
24,Underbog
25,The Steamvault
26,Mana-Tombs
27,Auchenai Crypts
28,Sethekk Halls
29,Shadow Labyrinth
30,Scarlet Halls
31,Scarlet Monastery
32,The Escape from Durnholde
33,Opening of the Dark Portal
34,The Mechanar
35,The Botanica
36,The Arcatraz
37,Magisters' Terrace
38,Utgarde Keep
39,Utgarde Pinnacle
40,Azjol-Nerub
41,The Oculus
42,Halls of Lightning
43,Halls of Stone
44,The Culling of Stratholme
45,Drak'Tharon Keep
46,Gundrak
47,Ahn'kahet: The Old Kingdom
48,Violet Hold
49,The Nexus
50,Trial of the Champion
51,The Forge of Souls
52,Pit of Saron
53,Halls of Reflection
54,Throne of the Tides
55,Blackrock Caverns
56,Grim Batol
57,Halls of Origination
58,The Stonecore
59,The Vortex Pinnacle
60,Lost City of the Tol'vir
61,Temple of the Jade Serpent
62,Stormstout Brewery
63,Shado-Pan Monastery
64,Mogu'shan Palace
65,Siege of Niuzao Temple
66,Gate of the Setting Sun
67,The Everbloom
68,Draenor
69,Outland
70,Northrend
71,Pandaria
73,Trial of the Crusader
74,The Ruby Sanctum
75,Blackwing Descent
76,The Bastion of Twilight
77,Throne of the Four Winds
78,Firelands
79,Dragon Soul
80,Mogu'shan Vaults
81,Heart of Fear
82,Terrace of Endless Spring
83,Throne of Thunder
84,Random Pandaria Dungeon
86,Theramore's Fall
102,A Brewing Storm
103,Battle on the High Seas
104,Blood in the Snow
105,Crypt of Forgotten Kings
106,Dark Heart of Pandaria
107,Random Pandaria Scenario
108,The Secrets of Ragefire
109,Random Draenor Dungeon
110,Hellfire Citadel
111,Random Legion Dungeon
112,Eye of Azshara
113,Darkheart Thicket
114,Halls of Valor
115,Neltharion's Lair
116,Assault on Violet Hold
117,Vault of the Wardens
118,Black Rook Hold
119,Maw of Souls
120,Court of Stars
121,The Arcway
122,Emerald Nightmare
123,The Nighthold
124,Broken Isles
125,Return to Karazhan
126,Trial of Valor
127,Lower Karazhan
128,Upper Karazhan
129,Cathedral of Eternal Night
130,Dreadscar Rift
131,Tomb of Sargeras
132,"Antorus, the Burning Throne"
133,Seat of the Triumvirate
134,Argus
135,Uldir
136,Random Battle for Azeroth Dungeon
137,Atal'Dazar
138,The Underrot
139,Temple of Sethraliss
140,THE MOTHERLODE!!
141,Kings' Rest
142,Freehold
143,Shrine of the Storm
144,Tol Dagor
145,Waycrest Manor
146,Siege of Boralus
247,Kul Tiras
248,Zandalar
249,Island Expeditions
251,Battle of Dazar'alor
252,Crucible of Storms
253,Operation: Mechagon
254,The Eternal Palace
255,Battle for Stromgarde
256,Operation: Mechagon - Junkyard
257,Operation: Mechagon - Workshop
258,"Ny'alotha, the Waking City"
259,Plaguefall
260,De Other Side
261,Halls of Atonement
262,Mists of Tirna Scithe
263,Sanguine Depths
264,Spires of Ascension
265,The Necrotic Wake
266,Theater of Pain
267,Castle Nathria
269,World Bosses
270,Shadowlands
271,Sanctum of Domination
272,"Tazavesh, the Veiled Market"
273,Twisting Corridors
274,Skoldus Hall
275,Upper Reaches
276,Soulforges
277,Mort'regar
278,Fracture Chambers
279,Coldheart Interstitia
280,Tazavesh: Streets of Wonder
281,Tazavesh: So'leah's Gambit
282,Sepulcher of the First Ones
283,The Jailer's Gauntlet
284,Dragon Isles
302,Algeth'ar Academy
303,Brackenhide Hollow
304,Halls of Infusion
305,Neltharus
306,Ruby Life Pools
307,The Azure Vault
308,The Nokhud Offensive
309,Uldaman: Legacy of Tyr
310,Vault of the Incarnates
313,"Aberrus, the Shadowed Crucible"
315,Dawn of the Infinite
316,Galakrond's Fall - Dawn of the Infinite
317,Murozond's Rise - Dawn of the Infinite
318,Galakrond's Fall - Dawn of the Infinite
319,"Amirdrassil, the Dream's Hope"
322,Darkflame Cleft
323,"Ara-Kara, City of Echoes"
324,Priory of the Sacred Flame
325,The Rookery
326,The Dawnbreaker
327,Cinderbrew Meadery
328,The Stonevault
329,City of Threads
331,Fungal Folly
332,Kriegval's Rest
333,Earthcrawl Mines
334,Zekvir's Lair
335,The Waterworks
336,The Dread Pit
337,Nightfall Sanctum
338,Mycomancer Cavern
339,The Sinkhole
340,Skittering Breach
341,The Underkeep
342,Tak-Rethan Abyss
343,The Spiral Weave
344,Greenstone Village
346,Unga Ingoo
347,Arena of Annihilation
348,Brewmoon Festival
351,Assault on Zan'vess
352,Dagger in the Dark
353,A Little Patience
354,Domination Point
355,Lion's Landing
362,Nerub-ar Palace
363,Khaz Algar
