ID,Name_lang
3,Legion Invasion: Northern Barrens
4,Legion Invasion: Westfall
5,Legion Invasion: Tanaris
6,Legion Invasion: Dun Morogh
7,Legion Invasion: Hillsbrad
8,Legion Invasion: Azshara
10,Invasion Point: Aurinor
11,Invasion Point: Val
12,Invasion Point: Naigtal
13,Invasion Point: Sangua
14,Invasion Point: Cen'gar
15,Invasion Point: Bonich
16,Greater Invasion Point: Matron Folnuna
17,Greater Invasion Point: Sotanathor
18,Greater Invasion Point: Inquisitor Meto
19,Greater Invasion Point: Mistress Alluradel
20,Greater Invasion Point: Occularus
21,Greater Invasion Point: Pit Lord Vilemus
22,Invasion Point: Cen'gar
23,Invasion Point: Aurinor
24,Invasion Point: Val
25,Invasion Point: Naigtal
26,Invasion Point: Sangua
27,Invasion Point: Bonich
130,The Storm's Fury
