ID,SourceText_lang
9,"Earned from:|n -Dragonflight Mythic dungeons below Level 6|n -Aberrus bosses on Raid Finder difficulty|n -World quests, treasures, and activities in Zaralek Cavern"
10,Earned from:|n -Dragonflight Mythic dungeons between Level 6 and Level 10|n -Aberrus bosses on Normal difficulty|n -Select weekly activities in Zaralek Cavern
11,Earned from:|n -Aberrus bosses on Heroic difficulty|n -Dragonflight Mythic dungeons between Level 11 and Level 15
12,Earned from:|n -Aberrus bosses on Mythic difficulty|n -Dragonflight Mythic dungeons above Level 16
14,
15,
16,
17,
18,
19,
20,
21,
