ID,Display_lang
25,Worn Shortsword
35,Bent Staff
36,Worn Mace
37,Worn Axe
38,Recruit's Shirt
39,Recruit's Pants
40,Recruit's Boots
43,Squire's Boots
44,Squire's Pants
45,Squire's Shirt
47,Footpad's Shoes
48,Footpad's Pants
49,Footpad's Shirt
51,Neophyte's Boots
52,Neophyte's Pants
53,Neophyte's Shirt
55,Apprentice's Boots
56,Apprentice's Robe
57,Acolyte's Robe
59,Acolyte's Shoes
60,Layered Tunic
61,Dwarven Leather Pants
79,Dwarven Cloth Britches
80,Soft Fur-Lined Shoes
85,Dirty Leather Vest
120,Thug Pants
121,Thug Boots
127,Trapper's Shirt
129,Rugged Trapper's Boots
139,Brawler's Pants
140,Brawler's Boots
147,Rugged Trapper's Pants
148,Rugged Trapper's Shirt
153,Primitive Kilt
154,Primitive Mantle
193,Tattered Cloth Vest
194,Tattered Cloth Pants
195,Tattered Cloth Boots
200,Thick Cloth Vest
201,Thick Cloth Pants
202,Thick Cloth Shoes
203,Thick Cloth Gloves
209,Dirty Leather Pants
210,Dirty Leather Boots
236,Cured Leather Armor
237,Cured Leather Pants
238,Cured Leather Boots
239,Cured Leather Gloves
285,Scalemail Vest
286,Scalemail Pants
287,Scalemail Boots
647,Destiny
710,Bracers of the People's Militia
711,Tattered Cloth Gloves
714,Dirty Leather Gloves
718,Scalemail Gloves
719,Rabbit Handler Gloves
720,Brawler Gloves
727,Notched Shortsword
753,Dragonmaw Shortsword
754,Shortsword of Vengeance
756,Tunnel Pick
763,Ice-Covered Bracers
766,Flanged Mace
767,Long Bo Staff
768,Lumberjack Axe
776,Vendetta
778,Kobold Excavation Pick
781,Stone Gnoll Hammer
789,Stout Battlehammer
790,Forester's Axe
791,Gnarled Ash Staff
792,Knitted Sandals
793,Knitted Gloves
794,Knitted Pants
795,Knitted Tunic
796,Rough Leather Boots
797,Rough Leather Gloves
798,Rough Leather Pants
799,Rough Leather Vest
809,Bloodrazor
810,Hammer of the Northern Wind
811,Axe of the Deep Woods
812,Glowing Brightwood Staff
816,Small Hand Blade
820,Slicer Blade
821,Riverpaw Leather Vest
826,Brutish Riverpaw Axe
827,Wicked Blackjack
832,Silver Defias Belt
837,Heavy Weave Armor
838,Heavy Weave Pants
839,Heavy Weave Gloves
840,Heavy Weave Shoes
843,Tanned Leather Boots
844,Tanned Leather Gloves
845,Tanned Leather Pants
846,Tanned Leather Jerkin
847,Chainmail Armor
848,Chainmail Pants
849,Chainmail Boots
850,Chainmail Gloves
851,Cutlass
852,Mace
853,Hatchet
854,Quarter Staff
859,Fine Cloth Shirt
860,Cavalier's Boots
863,Gloom Reaper
864,Knightly Longsword
865,Leaden Mace
866,Monk's Staff
867,Gloves of Holy Might
868,Ardent Custodian
869,Dazzling Longsword
870,Fiery War Axe
871,Flurry Axe
872,Rockslicer
873,Staff of Jordan
876,Worn Wooden Buckler
880,Staff of Horrors
885,Black Metal Axe
886,Black Metal Shortsword
888,Naga Battle Gloves
890,Twisted Chanter's Staff
892,Gnoll Casting Gloves
897,Madwolf Bracers
899,Venom Web Fang
911,Ironwood Treebranch
914,Large Ogre Chain Armor
920,Wicked Spiked Mace
922,Dacian Falx
923,Longsword
924,Maul
925,Flail
926,Battle Axe
927,Double Axe
928,Long Staff
934,Stalvan's Reaper
935,Night Watch Shortsword
936,Midnight Mace
937,Black Duskwood Staff
940,Robes of Insight
943,Warden Staff
944,Elemental Mage Staff
983,Red Linen Sash
1008,Well-Used Sword
1009,Compact Hammer
1010,Gnarled Short Staff
1011,Sharp Axe
1121,Feet of the Lynx
1131,Totem of Infliction
1154,Belt of the People's Militia
1155,Rod of the Sleepwalker
1156,Lavishly Jeweled Ring
1158,Solid Metal Club
1159,Militia Quarterstaff
1161,Militia Shortsword
1168,Skullflame Shield
1169,Blackskull Shield
1171,Well-Stitched Robe
1172,Grayson's Torch
1173,Weather-Worn Boots
1182,Brass-Studded Bracers
1183,Elastic Wristguards
1190,Overseer's Cloak
1194,Bastard Sword
1195,Kobold Mining Shovel
1196,Tabar
1197,Giant Mace
1198,Claymore
1200,Large Wooden Shield
1201,Dull Heater Shield
1202,Wall Shield
1203,Aegis of Stormwind
1204,The Green Tower
1207,Murphstar
1211,Gnoll War Harness
1213,Gnoll Kindred Bracers
1214,Gnoll Punisher
1215,Support Girdle
1218,Heavy Gnoll War Club
1219,Redridge Machete
1220,Lupine Axe
1263,Brain Hacker
1264,Headbasher
1265,Scorpion Sting
1270,Finely Woven Cloak
1273,Forest Chain
1275,Deputy Chain Coat
1276,Fire Hardened Buckler
1280,Cloaked Hood
1282,Sparkmetal Coif
1287,Giant Tarantula Fang
1292,Butcher's Cleaver
1296,Blackrock Mace
1297,Robes of the Shadowcaster
1299,Lesser Belt of the Spire
1300,Lesser Staff of the Spire
1302,Black Whelp Gloves
1303,Bridgeworker's Gloves
1304,Riding Gloves
1306,Wolfmane Wristguards
1310,Smith's Trousers
1314,Ghoul Fingers
1317,Hardened Root Staff
1318,Night Reaver
1351,Fingerbone Bracers
1355,Buckskin Cape
1359,Lion-Stamped Gloves
1360,Stormwind Plate Gloves
1364,Ragged Leather Vest
1366,Ragged Leather Pants
1367,Ragged Leather Boots
1368,Ragged Leather Gloves
1369,Ragged Leather Belt
1370,Ragged Leather Bracers
1372,Ragged Cloak
1374,Frayed Shoes
1376,Frayed Cloak
1377,Frayed Gloves
1378,Frayed Pants
1380,Frayed Robe
1382,Rock Mace
1383,Stone Tomahawk
1384,Dull Blade
1386,Thistlewood Axe
1387,Ghoulfang
1388,Crooked Staff
1389,Kobold Mining Mallet
1391,Riverpaw Mystic Staff
1394,Driftwood Club
1395,Apprentice's Pants
1396,Acolyte's Pants
1405,Foamspittle Staff
1406,Pearl-Encrusted Spear
1411,Withered Staff
1412,Crude Bastard Sword
1413,Feeble Sword
1414,Cracked Sledge
1415,Carpenter's Mallet
1416,Rusty Hatchet
1417,Beaten Battle Axe
1418,Worn Leather Belt
1419,Worn Leather Boots
1420,Worn Leather Bracers
1421,Worn Hide Cloak
1422,Worn Leather Gloves
1423,Worn Leather Pants
1425,Worn Leather Vest
1427,Patchwork Shoes
1429,Patchwork Cloak
1430,Patchwork Gloves
1431,Patchwork Pants
1433,Patchwork Armor
1436,Frontier Britches
1438,Warrior's Shield
1440,Gnoll Skull Basher
1445,Blackrock Pauldrons
1446,Blackrock Boots
1448,Blackrock Gauntlets
1454,Axe of the Enforcer
1455,Blackrock Champion's Axe
1457,Shadowhide Mace
1458,Shadowhide Maul
1459,Shadowhide Scalper
1460,Shadowhide Two-Handed Sword
1461,Slayer's Battle Axe
1465,Tigerbane
1469,Scimitar of Atun
1473,Riverside Staff
1479,Salma's Oven Mitts
1480,Fist of the People's Militia
1481,Grimclaw
1482,Shadowfang
1483,Face Smasher
1484,Witching Stave
1485,Pitchfork
1486,Tree Bark Jacket
1488,Avenger's Armor
1489,Gloomshroud Armor
1493,Heavy Marauder Scimitar
1495,Calico Shoes
1497,Calico Cloak
1498,Calico Gloves
1499,Calico Pants
1501,Calico Tunic
1502,Warped Leather Belt
1503,Warped Leather Boots
1504,Warped Leather Bracers
1505,Warped Cloak
1506,Warped Leather Gloves
1507,Warped Leather Pants
1509,Warped Leather Vest
1510,Heavy Hammer
1511,Commoner's Sword
1512,Crude Battle Axe
1513,Old Greatsword
1514,Rusty Warhammer
1515,Rough Wooden Staff
1516,Worn Hatchet
1521,Lumbering Ogre Axe
1522,Headhunting Spear
1523,Huge Stone Club
1539,Gnarled Hermit's Staff
1547,Shield of the Faith
1557,Buckler of the Seas
1560,Bluegill Sandals
1561,Harvester's Robe
1566,Edge of the People's Militia
1602,Sickle Axe
1604,Chromatic Sword
1607,Soulkeeper
1608,Skullcrusher Mace
1613,Spiritchaser Staff
1624,Skullsplitter Helm
1625,Exquisite Flamberge
1639,Grinning Axe
1640,Monstrous War Axe
1659,Engineering Gloves
1664,Spellforce Rod
1677,Drake-Scale Vest
1678,Black Ogre Kickers
1679,Korg Bat
1680,Headchopper
1715,Polished Jazeraint Armor
1716,Robe of the Magi
1717,Double Link Tunic
1718,Basilisk Hide Pants
1720,Tanglewood Staff
1721,Viking Warhammer
1722,Thornstone Sledgehammer
1726,Poison-Tipped Bone Spear
1727,Sword of Decay
1728,Teebu's Blazing Longsword
1730,Worn Mail Belt
1731,Worn Mail Boots
1732,Worn Mail Bracers
1733,Worn Cloak
1734,Worn Mail Gloves
1735,Worn Mail Pants
1737,Worn Mail Vest
1738,Laced Mail Belt
1739,Laced Mail Boots
1740,Laced Mail Bracers
1741,Laced Cloak
1742,Laced Mail Gloves
1743,Laced Mail Pants
1744,Laced Mail Shoulderpads
1745,Laced Mail Vest
1746,Linked Chain Belt
1747,Linked Chain Boots
1748,Linked Chain Bracers
1749,Linked Chain Cloak
1750,Linked Chain Gloves
1751,Linked Chain Pants
1752,Linked Chain Shoulderpads
1753,Linked Chain Vest
1754,Reinforced Chain Belt
1755,Reinforced Chain Boots
1756,Reinforced Chain Bracers
1757,Reinforced Chain Cloak
1758,Reinforced Chain Gloves
1759,Reinforced Chain Pants
1760,Reinforced Chain Shoulderpads
1761,Reinforced Chain Vest
1764,Canvas Shoes
1766,Canvas Cloak
1767,Canvas Gloves
1768,Canvas Pants
1769,Canvas Shoulderpads
1770,Canvas Vest
1772,Brocade Shoes
1774,Brocade Cloak
1775,Brocade Gloves
1776,Brocade Pants
1777,Brocade Shoulderpads
1778,Brocade Vest
1780,Cross-Stitched Sandals
1782,Cross-Stitched Cloak
1783,Cross-Stitched Gloves
1784,Cross-Stitched Pants
1785,Cross-Stitched Shoulderpads
1786,Cross-Stitched Vest
1787,Patched Leather Belt
1788,Patched Leather Boots
1789,Patched Leather Bracers
1790,Patched Cloak
1791,Patched Leather Gloves
1792,Patched Leather Pants
1793,Patched Leather Shoulderpads
1794,Patched Leather Jerkin
1795,Rawhide Belt
1796,Rawhide Boots
1797,Rawhide Bracers
1798,Rawhide Cloak
1799,Rawhide Gloves
1800,Rawhide Pants
1801,Rawhide Shoulderpads
1802,Rawhide Tunic
1803,Tough Leather Belt
1804,Tough Leather Boots
1805,Tough Leather Bracers
1806,Tough Cloak
1807,Tough Leather Gloves
1808,Tough Leather Pants
1809,Tough Leather Shoulderpads
1810,Tough Leather Armor
1811,Blunt Claymore
1812,Short-Handled Battle Axe
1813,Chipped Quarterstaff
1814,Battered Mallet
1815,Ornamental Mace
1816,Unbalanced Axe
1817,Stock Shortsword
1818,Standard Claymore
1819,Gouging Pick
1820,Wooden Maul
1821,Warped Blade
1822,Cedar Walking Stick
1823,Bludgeoning Cudgel
1824,Shiny War Axe
1825,Bulky Bludgeon
1826,Rock Maul
1827,Meat Cleaver
1828,Stone War Axe
1829,Short Cutlass
1830,Long Bastard Sword
1831,Oaken War Staff
1832,Lucky Trousers
1835,Dirty Leather Belt
1836,Dirty Leather Bracers
1839,Rough Leather Belt
1840,Rough Leather Bracers
1843,Tanned Leather Belt
1844,Tanned Leather Bracers
1845,Chainmail Belt
1846,Chainmail Bracers
1849,Cured Leather Belt
1850,Cured Leather Bracers
1852,Scalemail Bracers
1853,Scalemail Belt
1893,Miner's Revenge
1913,Studded Blackjack
1917,Jeweled Dagger
1925,Defias Rapier
1926,Weighted Sap
1927,Deadmines Cleaver
1928,Defias Mage Staff
1929,Silk-Threaded Trousers
1930,Stonemason Cloak
1933,Staff of Conjuring
1934,Hogger's Trousers
1935,Assassin's Blade
1936,Goblin Screwdriver
1937,Buzz Saw
1938,Block Mallet
1943,Goblin Mail Leggings
1944,Metalworking Gloves
1945,Woodworking Gloves
1951,Blackwater Cutlass
1955,Dragonmaw Chain Boots
1958,Petrified Shinbone
1959,Cold Iron Pick
1965,White Wolf Gloves
1974,Mindthrust Bracers
1975,Pysan's Old Greatsword
1976,Slaghammer
1978,Wolfclaw Gloves
1979,Wall of the Dead
1981,Icemail Jerkin
1982,Nightblade
1986,Gutrender
1988,Chief Brigadier Gauntlets
1990,Ballast Maul
1991,Goblin Power Shovel
1992,Swampchill Fetish
1994,Ebonclaw Reaver
1997,Pressed Felt Robe
1998,Bloodscalp Channeling Staff
2000,Archeus
2011,Twisted Sabre
2013,Cryptbone Staff
2014,Black Metal Greatsword
2015,Black Metal War Axe
2016,Dusty Chain Armor
2017,Glowing Leather Bracers
2018,Skeletal Longsword
2020,Hollowfang Blade
2021,Green Carapace Shield
2024,Espadon
2025,Bearded Axe
2026,Rock Hammer
2027,Scimitar
2028,Hammer
2029,Cleaver
2030,Gnarled Staff
2032,Gallan Cuffs
2033,Ambassador's Boots
2034,Scholarly Robes
2035,Sword of the Night Sky
2036,Dusty Mining Gloves
2037,Tunneler's Boots
2040,Troll Protector
2041,Tunic of Westfall
2042,Staff of Westfall
2044,Crescent of Forlorn Spirits
2046,Bluegill Kukri
2047,Anvilmar Hand Axe
2048,Anvilmar Hammer
2054,Trogg Hand Axe
2055,Small Wooden Hammer
2057,Pitted Defias Shortsword
2058,Kazon's Maul
2059,Sentry Cloak
2064,Trogg Club
2065,Rockjaw Blade
2066,Skull Hatchet
2067,Frostbit Staff
2069,Black Bear Hide Vest
2072,Dwarven Magestaff
