ID,Name_lang,Description_lang
358,Glubtok,
359,Helix Gearbreaker,
360,Foe Reaper 5000,
361,Admiral Ripsnarl,
362,"""Captain"" Cookie",
365,Vanessa VanCleef,
366,Baron Ashbury,
367,Baron Silverlaine,
368,Commander Springvale,
369,Lord Walden,
370,Lord Godfrey,
371,Lady Naz'jar,
372,Commander Ulthok,
373,Mindbender Ghur'sha,
374,Ozumat,
375,Rom'ogg Bonecrusher,
376,"Corla, Herald of Twilight",
377,Karsh Steelbender,
378,Beauty,
379,Ascendant Lord Obsidius,
380,Corborus,
381,Slabhide,
382,Ozruk,
383,High Priestess Azil,
384,Grand Vizier Ertan,
385,Altairus,
386,Asaad,
387,General Husam,
388,Augh,
389,Lockmaw,
390,High Prophet Barim,
394,Siamat,
424,Temple Guardian Anhuur,
425,Earthrager Ptah,
426,Anraphet,
427,Isiset,
428,Ammunae,
429,Setesh,
430,Rajh,
431,General Umbriss,
432,Forgemaster Throngus,
433,Dragha Shadowburner,
434,Valiona,
435,Erudax,
463,Argaloth,
464,Occu'thar,
555,Nezir,Lord of the North Wind
556,Anshal,Lord of the West Wind
557,Rohash,Lord of the East Wind
558,Al'akir,
559,Halfus Wyrmbreaker,
560,Valiona,
561,Theralion,
562,Terrastra,Ascendant Councillor of Earth
563,Elementium Monstrosity,The combined Ascendant Councillors
564,Ignacious,Ascendant Councillor of Flame
565,Feludius,Ascendant Councillor of Water
566,Arion,Ascendant Councillor of Air
587,Cho'gall,
588,Sinestra,
589,Electron,
590,Toxitron,
591,Magmatron,
592,Arcanotron,
593,Magmaw,
594,Atramedes,
595,Chimaeron,
596,Maloriak,
599,Onyxia,
600,Nefarian,
601,High Priest Venoxis,
602,Bloodlord Mandokir,
603,Gri'lek,
604,Hazza'rah,
605,Renataki,
606,Wushoolay,
607,High Priestess Kilnara,
616,Zanzil,
617,Jin'do the Godbreaker,
618,Akil'zon,
619,Nalorakk,
620,Jan'alai,
621,Halazzi,
622,Hex Lord Malacrass,
623,Daakara,
624,Beth'tilac,
625,Lord Rhyolith,
626,Alysrazor,
627,Shannox,
628,Majordomo Staghelm,
629,Ragnaros,
630,Lumbering Oaf,
770,Baleroc,
817,Echo of Tyrande,
827,Murozond,The Lord of the Infinite
855,Deathwing,
856,Hagara the Stormbinder,
862,Arcurion,
864,Echo of Sylvanas,
865,Queen Azshara,
867,Warlord Zon'ozz,
875,Ultraxion,
876,Yor'sahj the Unsleeping,
877,Warmaster Blackhorn,
881,Morchok,
895,Peroth'arn,
896,Alizabal,
899,Archbishop Benedictus,
900,Echo of Baine,
903,Echo of Jaina,
904,Asira Dawnslayer,
905,Deathwing,
913,Mannoroth,
914,Captain Varo'then,
942,High Interrogator Gerstahn,
943,Lord Roccor,
944,Houndmaster Grebmar,
945,Pyromancer Loregrain,
946,Lord Incendius,
947,Warder Stilgiss,
948,Fineous Darkvire,
949,Bael'Gar,
950,General Angerforge,
951,Golem Lord Argelmach,
952,Hurley Blackbreath,
953,Phalanx,
955,Plugger Spazzring,
956,Ambassador Flamelash,
957,Magmus,
958,Emperor Dagran Thaurissan,
959,Highlord Omokk,
960,Shadow Hunter Vosh'gajin,
961,War Master Voone,
962,Mother Smolderweb,
963,Urok Doomhowl,
964,Quartermaster Zigris,
965,Halycon,
966,Gizrul the Slavener,
967,Overlord Wyrmthalak,
973,Zevrim Thornhoof,
974,Hydrospawn,
975,Lethtendris,
976,Alzzin the Wildshaper,
977,Tendris Warpwood,
978,Illyanna Ravenoak,
979,Magister Kalendris,
980,Immol'thar,
981,Prince Tortheldrin,
982,Guard Mol'dar,
983,Stomper Kreeg,
984,Guard Fengus,
985,Guard Slip'kik,
986,Captain Kromcrush,
987,Cho'Rush the Observer,
988,King Gordok,
989,Crowd Pummeler 9-60,
990,Grubbis,
991,Electrocutioner 6000,
992,Mekgineer Thermaplugg,
993,Noxxion,
994,Razorlash,
995,Tinkerer Gizlock,
997,Lord Vyletongue,
998,Celebras the Cursed,
999,Landslide,
1000,Rotgrip,
1001,Princess Theradras,
1011,Hearthsinger Forresten,
1012,Aku'mai,Hydra
1013,Timmy the Cruel,
1014,Willey Hopebreaker,
1016,Instructor Galford,
1017,Balnazzar,
1018,The Unforgiven,
1019,Baroness Anastari,
1021,Nerub'enkan,
1022,Maleki the Pallid,
1023,Magistrate Barthilas,
1024,Ramstein the Gorger,
1025,Lord Aurius Rivendare,
1026,Avatar of Hakkar,
1027,Jammal'an the Prophet,
1028,Dreamscythe,
1032,Shade of Eranikus,
1033,Hogger,
1034,Lord Overheat,
1035,Randolph Moloch,
1036,Revelosh,
1037,"Eric ""The Swift""",
1038,Olaf,
1039,Baelog,
1040,Ironaya,
1041,Ancient Stone Keeper,
1042,Galgann Firehammer,
1043,Grimlok,
1044,Archaedas,
1045,Lady Anacondra,
1046,Lord Cobrahn,
1047,Lord Pythas,
1048,Kresh,
1049,Skum,
1050,Lord Serpentis,
1051,Verdan the Everliving,
1052,Mutanus the Devourer,
1054,Gahz'rilla,
1055,Antu'sul,
1056,Theka the Martyr,
1057,Witch Doctor Zum'rah,
1058,Nekrum Gutchewer,
1059,Doom'rel,Leader of the Seven
1061,Chief Ukorz Sandscalp,
1098,Shirrak the Dead Watcher,
1099,Exarch Maladaar,
1104,Watchkeeper Gargolmar,
1105,Omor the Unscarred,
1106,Vazruden the Herald,
1107,Selin Fireheart,
1108,Vexallus,
1109,Priestess Delrissa,
1110,Kael'thas Sunstrider,
1111,Pandemonius,
1112,Tavarok,
1113,Yor,
1114,Nexus-Prince Shaffar,
1115,Lieutenant Drake,
1116,Captain Skarloc,
1117,Epoch Hunter,
1118,Darkweaver Syth,
1119,Anzu,
1120,Talon King Ikiss,
1121,Ambassador Hellmaw,
1122,Blackheart the Inciter,
1123,Grandmaster Vorpil,
1124,Murmur,
1125,Zereketh the Unbound,
1126,Dalliah the Doomsayer,
1127,Wrath-Scryer Soccothrates,
1128,Harbinger Skyriss,
1129,Chrono Lord Deja,
1130,Temporus,
1131,Aeonus,
1132,The Maker,
1133,Broggok,
1134,Keli'dan the Breaker,
1135,Commander Sarannis,
1136,High Botanist Freywinn,
1137,Thorngrin the Tender,
1138,Laj,
1139,Warp Splinter,
1140,Mechano-Lord Capacitus,
1141,Nethermancer Sepethrea,
1142,Pathaleon the Calculator,
1143,Grand Warlock Nethekurse,
1145,Warbringer O'mrogg,
1146,Warchief Kargath Bladefist,
1147,Mennu the Betrayer,
1148,Rokmar the Crackler,
1149,Quagmirran,
1150,Hydromancer Thespia,
1151,Mekgineer Steamrigger,
1152,Warlord Kalithresh,
1153,Hungarfen,
1154,Ghaz'an,
1155,Swamplord Musel'ek,
1156,The Black Stalker,
1157,Elder Nadox,
1158,Prince Taldaram,
1159,Jedoga Shadowseeker,
1160,Amanitar,
1161,Krik'thir the Gatewatcher,
1162,Hadronox,
1163,Trollgore,
1164,Novos the Summoner,
1165,King Dred,
1167,Slad'ran,
1168,Drakkari Colossus,
1169,Moorabi,
1170,Eck the Ferocious,
1171,Gal'darah,
1172,General Bjarngrim,
1173,Volkhan,
1174,Ionar,
1175,Loken,
1176,Falric,
1177,Marwyn,
1178,The Lich King,
