ID,Name_lang,Description_lang
1,Overflowing,Healing in excess of a target's maximum health is instead converted to a heal absorption effect.
2,Skittish,Enemies pay far less attention to threat generated by tanks.
3,Volcanic,"While in combat, enemies periodically cause gouts of flame to erupt beneath the feet of distant players."
4,Necrotic,All enemies' melee attacks apply a stacking blight that inflicts damage over time and reduces healing received.
5,Teeming,Additional non-boss enemies are present throughout the dungeon.
6,Raging,"Non-boss enemies enrage at 30% health remaining, temporarily granting immunity to crowd control effects."
7,Bolstering,"When any non-boss enemy dies, its death cry empowers nearby allies, temporarily increasing their damage by 20%."
8,Sanguine,"When slain, non-boss enemies leave behind a lingering pool of ichor that heals their allies and damages players."
9,Tyrannical,Bosses have 30% more health. Bosses and their minions inflict up to 15% increased damage.
10,Fortified,Non-boss enemies have 20% more health and inflict up to 30% increased damage.
11,Bursting,"When slain, non-boss enemies explode, causing all players to suffer damage over 4 sec. This effect stacks."
12,Grievous,Injured players suffer increasing damage over time until healed.
13,Explosive,"While in combat, enemies periodically summon Explosive Orbs that will detonate if not destroyed."
14,Quaking,"Periodically, all players emit a shockwave, inflicting damage and interrupting nearby allies."
16,Infested,Some non-boss enemies have been infested with a Spawn of G'huun.
117,Reaping,Non-boss enemies are empowered by Bwonsamdi and periodically seek vengeance from beyond the grave.
119,Beguiling,Azshara's Emissaries are present throughout the dungeon.
120,Awakened,"Obelisks throughout the dungeon allow players to enter Ny'alotha and confront powerful servants of N'Zoth. If a servant is not dealt with, they must be faced during the final boss encounter."
121,Prideful,"Players overflow with pride as they defeat non-boss enemies, eventually forming a Manifestation of Pride. Defeating this Manifestation greatly empowers players."
122,Inspiring,Some non-boss enemies have an inspiring presence that strengthens their allies.
123,Spiteful,Fiends rise from the corpses of non-boss enemies and pursue random players.
124,Storming,"While in combat, enemies periodically summon damaging whirlwinds."
128,Tormented,"Servants of the Jailer can be found throughout the dungeon and grant powerful boons when defeated. If a servant is not dealt with, they empower the final boss."
129,Infernal,Infernal Beacons can be found near some bosses. Activating a Beacon or engaging a nearby boss will trigger a Legion invasion.
130,Encrypted,"Enemies throughout the dungeon possess relics of the First Ones. Destroy the relics to summon the First Ones' Automa and gain powerful bonuses, based on the order in which they were destroyed."
131,Shrouded,Nathrezim infiltrators have disguised themselves among enemies throughout the dungeon. Cartel Ta will reward you handsomely for assisting in their capture.
132,Thundering,"Enemies have 5% more health. While in combat, players are periodically overcharged with primal power from Raszageth's unending storm. This power comes with great risk, and failure to discharge it quickly can have stunning consequences."
133,Focused,"Non-boss enemies with mana have 30% increased Haste, but take 10% increased Frost and Fire damage."
134,Entangling,"While in combat, entangling vines periodically appear and snare players."
135,Afflicted,"While in combat, afflicted souls periodically appear and seek the aid of players."
136,Incorporeal,"While in combat, incorporeal beings periodically appear and attempt to weaken players."
137,Shielding,"While in combat, enemies periodically summon Shielding Orbs that shield nearby enemies if not destroyed."
144,Thorned,"Non-boss enemies without mana inflict Physical damage to their attackers when attacked, but take 10% increased Holy and Shadow damage."
145,Reckless,"Non-boss enemies without mana ignore 20% armor with their attacks, but their armor is reduced by 30% and they take 10% increased Arcane damage."
146,Attuned,"Non-boss enemies with mana inflict 20% increased magic damage, but take 10% increased Nature damage and 30% increased damage from Bleed effects."
147,Xal'atath's Guile,"Xal'atath betrays players, revoking her bargains and increasing the health and damage of enemies by 20%"
148,Xal'atath's Bargain: Ascendant,"While in combat, Xal'atath rains down orbs of cosmic energy that empower enemies or players."
152,Challenger's Peril,Dying subtracts 15 seconds from time remaining.
153,Xal'atath's Bargain: Frenzied,"Non-boss enemies become frenzied at 30% health remaining, increasing their Haste by 40%, but increasing their damage taken by 20%."
158,Xal'atath's Bargain: Voidbound,"While in combat, Xal'atath summons a Void Emissary that empowers nearby enemies."
