ID,Name_lang,Description_lang
1,Wailing Caverns,
2,Scholomance,
4,Ragefire Chasm,
6,Deadmines,
8,Shadowfang Keep,
10,Blackfathom Deeps,
12,Stormwind Stockade,
14,Gnomeregan,
16,Razorfen Kraul,
20,Razorfen Downs,
22,Uldaman,
24,Zul'Farrak,
26,Maraudon - Foulspore Cavern,
28,Sunken Temple,
30,Blackrock Depths - Detention Block,
32,Lower Blackrock Spire,
34,Dire Maul - Warpwood Quarter,
36,Dire Maul - Capital Gardens,
38,Dire Maul - Gordok Commons,
40,Stratholme - Main Gate,
46,Onyxia's Lair,
48,Molten Core,
50,Blackwing Lair,
58,Elwynn Forest,
60,Westfall,
62,Duskwood,
64,Dun Morogh,
66,Loch Modan,
68,Wetlands,
70,Stranglethorn Vale,
72,Blasted Lands,
74,Swamp of Sorrows,
76,Redridge Mountains,
78,Burning Steppes,
80,Searing Gorge,
82,Badlands,
84,Arathi Highlands,
86,Hillsbrad Foothills,
88,Hinterlands,
90,Western Plaguelands,
92,Eastern Plaguelands,
94,Tirisfal Glades,
96,Silverpine Forest,
98,Alterac Mountains,
100,Durotar,
102,Mulgore,
104,The Barrens,
106,Stonetalon Mountains,
108,Thousand Needles,
110,Desolace,
112,Feralas,
114,Dustwallow Marsh,
116,Tanaris,
118,Un'Goro Crater,
120,Silithus,
122,Teldrassil,
124,Darkshore,
126,Ashenvale,
128,Felwood,
130,Azshara,
132,Winterspring,
136,Hellfire Ramparts,
137,Blood Furnace,
138,Shattered Halls,
140,Slave Pens,
146,Underbog,
147,The Steamvault,
148,Mana-Tombs,
149,Auchenai Crypts,
150,Sethekk Halls,
151,Shadow Labyrinth,
152,Hellfire Peninsula,
153,Zangarmarsh,
154,Terokkar Forest,
155,Nagrand,
156,Shadowmoon Valley,
157,Blade's Edge Mountains,
158,Netherstorm,
159,Naxxramas,
160,Ahn'Qiraj Ruins,
161,Ahn'Qiraj Temple,
163,Scarlet Halls,
164,Scarlet Monastery,
166,Eversong Woods,
167,Azuremyst Isle,
168,Ghostlands,
169,Bloodmyst Isle,
170,The Escape from Durnholde,
171,Opening of the Dark Portal,
172,The Mechanar,
173,The Botanica,
174,The Arcatraz,
175,Karazhan,
176,Magtheridon's Lair,
177,Gruul's Lair,
178,Auchenai Crypts,
179,Mana-Tombs,
180,Sethekk Halls,
181,Shadow Labyrinth,
182,Opening of the Dark Portal,
183,The Escape from Durnholde,
184,Slave Pens,
185,The Steamvault,
186,Underbog,
187,Blood Furnace,
188,Hellfire Ramparts,
189,Shattered Halls,
190,The Arcatraz,
191,The Botanica,
192,The Mechanar,
193,Tempest Keep,
194,Serpentshrine Cavern,
195,Hyjal Past,
196,Black Temple,
198,Magisters' Terrace,
199,The Sunwell,
200,Isle of Quel'Danas,
201,Magisters' Terrace,
202,Utgarde Keep,
203,Utgarde Pinnacle,
204,Azjol-Nerub,
205,Utgarde Pinnacle,
206,The Oculus,
207,Halls of Lightning,
208,Halls of Stone,
209,The Culling of Stratholme,
210,The Culling of Stratholme,
211,The Oculus,
212,Halls of Lightning,
213,Halls of Stone,
214,Drak'Tharon Keep,
215,Drak'Tharon Keep,
216,Gundrak,
217,Gundrak,
218,Ahn'kahet: The Old Kingdom,
219,Ahn'kahet: The Old Kingdom,
220,Violet Hold,
221,Violet Hold,
223,The Eye of Eternity,
224,The Obsidian Sanctum,
225,The Nexus,
226,The Nexus,
227,Naxxramas,
228,Borean Tundra,
229,Howling Fjord,
230,Grizzly Hills,
231,Dragonblight,
232,Wintergrasp,
233,Zul'Drak,
234,Sholazar Basin,
235,The Storm Peaks,
236,Icecrown,
237,The Eye of Eternity,
238,The Obsidian Sanctum,
239,Vault of Archavon,
240,Vault of Archavon,
241,Azjol-Nerub,
242,Utgarde Keep,
243,Ulduar,
244,Ulduar,
245,Trial of the Champion,
246,Trial of the Crusader,
247,Trial of the Grand Crusader,
248,Trial of the Crusader,
249,Trial of the Champion,
250,Trial of the Grand Crusader,
251,The Forge of Souls,
252,The Forge of Souls,
253,Pit of Saron,
254,Pit of Saron,
255,Halls of Reflection,
256,Halls of Reflection,
257,Onyxia's Lair,
258,Random Classic Dungeon,
259,Random Burning Crusade Dungeon,
260,Random Burning Crusade Heroic,
261,Random Lich King Dungeon,
262,Random Lich King Heroic,
272,Maraudon - The Wicked Grotto,
273,Maraudon - Earth Song Falls,
274,Stratholme - Service Entrance,
276,Blackrock Depths - Upper City,
279,Icecrown Citadel,
280,Icecrown Citadel,
285,The Headless Horseman,Defeat the mad Headless Horseman before he burns down every last settlement in Azeroth.
286,The Frost Lord Ahune,"Defeat Ahune, the Frost Lord, before he fully manifests in Azeroth and puts an end to Summer forever."
287,Coren Direbrew,Defeat the jealous Coren Direbrew to stop his incessant attacks upon the Brewfest festivities.
288,The Crown Chemical Co.,"Defeat the insidious undead apothecaries of the Crown Chemical Co. before they unleash their newest, horrific plague."
293,Ruby Sanctum,
294,Ruby Sanctum,
296,Grand Ambassador Flamelash,Defeat Grand Ambassador Flamelash in Blackrock Depths.
297,Crown Princess Theradras,Defeat Crown Princess Theradras and her Twilight's Hammer associates in Maraudon.
298,Kai'ju Gahz'rilla,Defeat Kai'ju Gahz'rilla and her worshipers in Zul'Farrak.
299,Prince Sarsarun,"Defeat Prince Sarsarun, Herald of Al'Akir, in the Ruins of Ahn'Qiraj."
300,Random Cataclysm Dungeon,
301,Random Cataclysm Heroic,
302,Throne of the Tides,
303,Blackrock Caverns,
304,Grim Batol,
305,Halls of Origination,
306,Kai'ju Gahz'rilla,Defeat Kai'ju Gahz'rilla and her worshipers in Zul'Farrak.
307,The Stonecore,
308,Grand Ambassador Flamelash,Defeat Grand Ambassador Flamelash in Blackrock Depths.
309,Crown Princess Theradras,Defeat Crown Princess Theradras and her Twilight's Hammer associates in Maraudon.
310,Prince Sarsarun,"Defeat Prince Sarsarun, Herald of Al'Akir, in the Ruins of Ahn'Qiraj."
311,The Vortex Pinnacle,
312,Lost City of the Tol'vir,
313,Blackwing Descent,
314,Blackwing Descent,
315,The Bastion of Twilight,
316,The Bastion of Twilight,
317,Throne of the Four Winds,
318,Throne of the Four Winds,
319,The Vortex Pinnacle,
320,The Stonecore,
321,Halls of Origination,
322,Grim Batol,
323,Blackrock Caverns,
324,Throne of the Tides,
325,Lost City of the Tol'vir,
326,Deadmines,
327,Shadowfang Keep,
328,Baradin Hold,
329,Baradin Hold,
330,Upper Blackrock Spire,
334,Zul'Gurub,
340,Zul'Aman,
358,10v10 Rated Battleground,
361,Firelands,
362,Firelands,
416,The Siege of Wyrmrest Temple,Deathwing seeks to destroy Wyrmrest Temple and end the lives of the Dragon Aspects and Thrall.
417,Fall of Deathwing,"Deathwing must be destroyed, or all is lost."
434,Random Hour of Twilight Heroic,
435,End Time,
437,Well of Eternity,
439,Hour of Twilight,
447,Dragon Soul,
448,Dragon Soul,
462,Random Mists of Pandaria Heroic,
463,Random Mists of Pandaria Dungeon,
464,Temple of the Jade Serpent,
465,Stormstout Brewery,
466,Shado-Pan Monastery,
467,Mogu'shan Palace,
468,Temple of the Jade Serpent,
469,Stormstout Brewery,
470,Shado-Pan Monastery,
471,Gate of the Setting Sun,
472,Scholomance,
473,Scarlet Halls,
474,Scarlet Monastery,
492,Greenstone Village,
493,Random Mists of Pandaria Scenario,
499,Unga Ingoo,Rescue Jungle Brew from the evil clutches of the hozen pirates of Unga Ingoo.
504,Crypt of Forgotten Kings,Investigate an ancient mogu crypt that has become infested by the Sha.
511,Arena of Annihilation,
517,A Brewing Storm,Craft brew with lightning and save the monastery from a rampaging saurok.
519,Mogu'shan Palace,
526,Terrace of Endless Spring,"The Sha of Fear has fled to this tranquil haven to recover, corrupting the pure waters with its tainted blood."
527,Guardians of Mogu'shan,"Long dormant, this ancient archive of the mogu has awakened, as have its protectors. Danger and mystery await within...."
528,The Vault of Mysteries,"Buried deep in the mountainside, the heart of the ancient mogu repository holds a secret that may threaten all of Azeroth."
529,The Dread Approach,"Spurred on by the Klaxxi, the time has come to assault the heart of the mantid empire."
