ID,Name_lang
1,Orcish
2,Darnassian
3,Taurahe
6,Dwarvish
7,Common
8,Demonic
9,Titan
10,Thalassian
11,Draconic
12,Kalimag
13,Gnomish
14,Zandali
33,Forsaken
35,Draenei
36,Zombie
37,Gnomish Binary
38,Goblin Binary
39,Gilnean
40,Goblin
42,Pandaren
43,Pandaren
44,Pandaren
168,Sprite
178,Shath'Yar
179,Nerglish
180,Moonkin
181,Shalassian
182,Thalassian
285,Vulpera
287,Complex Cipher
288,Basic Cypher
290,Metrial
291,Altonian
292,Sopranian
293,Aealic
294,Dealic
295,Trebelim
296,Bassalim
297,Embedded Languages
298,Unknowable
303,Furbolg
304,Earthen
307,Nerubian
