ID,Description_lang
1,
2,Guarantee Haste
4,
5,Guarantee Critical Strike
6,Guarantee Versatility
7,Guarantee Mastery
8,Set the Item Level to 117 and the Required Level to 55.
9,Set the Item Level to 168 and the Required Level to 60.
10,Set the Item Level to 180 and the Required Level to 60.
11,Set the Item Level to 200.
17,Flasks last longer
27,Well Fed lasts longer
30,Deal Fire damage to enemy
32,Set the Item Level to $ev1 and the Required Level to $ev2.
34,Set the Item Level to $ev1 and the Required Level to $ev2.
36,Set the Item Level to $ev1 and the Required Level to $ev2.
38,Set the Item Level to $ev1 and the Required Level to $ev2.
39,Set the Item Level to $ev1 and the Required Level to $ev2.
58,Reduce falling damage
59,Slightly increase move speed
61,Increase swim speed
62,Deal Frost damage to enemy
64,Retain Well Fed when slain in Arena or Battleground
65,Chance to get extra Skill Up when crafting
66,Add a socket
67,@spelldesc332950
68,Completing World Quests increase Primary Stat
70,Set the Item Level to 129 and the Required Level to 53.
71,Set the Item Level to 200 and the Required Level to 60.
72,Set the Item Level to 165 and the Required Level to 57.
73,Set the Item Level to 165.
74,Set the Item Level to 54 and the Required Level to 47.
75,Set the Item Level to 56 and the Required Level to 45.
76,Set the Item Level to 43 and the Required Level to 35.
77,Set the Item Level to 33 and the Required Level to 25.
78,Set the Item Level to 23 and the Required Level to 15.
79,Set the Item Level to 87 and the Required Level to 50.
80,Increase the item level by the equivalent of 2 ranks.
81,"Set the Item Level to 230, the Required Level to 60, and add Unique Equipped: Shadowlands Crafted."
82,Set the Item Level to 233 and the Required Level to 60.
83,"Set the Item Level to 262, the Required Level to 60, and add Unique Equipped: Shadowlands Crafted."
84,Increase the item level by the equivalent of 3 ranks.
85,"Your abilities have a chance to create an Automa Core near the target, dealing damage and healing."
86,"Increases Avoidance, and taking damage has a chance to heal you."
87,You have a chance to acquire extra resources when you kill an enemy that yields experience or honor.
88,Your abilities have a chance to create a mote nearby. Collect it to gain primary stat for 15 sec.
89,"Increases Speed, and increases ground mount speed while in the Shadowlands."
90,"Taking damage builds sparks of power. At 5 stacks, the next attacker is shocked for Cosmic damage."
91,"When you kill an enemy, your highest secondary stat is increased for 20 sec stacking up to 5 times."
92,"Increases the duration of Flask, Elixir, and Well Fed effects by 50%."
93,Set the Item Level to 400 and the Required Level to 70.
94,
95,
96,
97,
98,
99,
100,
101,Set base ilevel to 51 (DNT)
102,Set base ilevel to 60 (DNT)
103,No Effect on this test finishing reagent (DNT)
104,No Effect on this test finishing reagent (DNT)
105,Adorn your armor with thick spikes and add Unique-Equipped: Embellished (2).
106,
107,Set the Item Level of a rank 1 recipe to 249.
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
136,
137,
138,
139,
140,
141,
142,
144,
145,
146,
148,
149,
150,
151,
152,
153,
154,
