ID,Name_lang,SourceText_lang,Description_lang
6,Brown Horse,|cFFFFD200Vendor: |rUnger Statforth|n|cFFFFD200Zone: |rWetlands|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,A favorite among Stormwind's guards thanks to its patience and stamina.
7,Gray Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"This breed of wolf prefers hunting in the fog, relying on its smoky hide to camouflage it from unsuspecting prey."
8,White Stallion,|cFFFFD200Legacy|r,The powerful and unyielding white stallion features heavily in the myths of ancient human tribes.
9,Black Stallion,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Rumored to be favored by SI:7 for night missions due to its dark coat.
11,Pinto,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Its calm temperament makes it ideal to train young children in horseback riding.
12,Black Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Can howl loudly enough to be heard for miles.
13,Red Wolf,|cFFFFD200Legacy|r,Almost none remain in the whole of Azeroth; only the most experienced will have seen one.
14,Timber Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Can howl loudly enough to be heard for miles.
15,Winter Wolf,|cFFFFD200Legacy|r,Ancient furbolg legends claim that wolves born with a white coat are blessed by Azeroth's two moons.
17,Felsteed,|cFFFFD200Class: |rWarlock,Corrupted by demonic power and once forced to serve the Shadow Council.
18,Chestnut Mare,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Sturdy and steady; ""the horse that built Stormwind."""
19,Dire Wolf,|cFFFFD200Vendor:|r Ogunaro Wolfrunner|n|cFFFFD200Location:|r Orgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Once thought to be extinct except in the far north. Highly sought by those preparing for winter.
20,Brown Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Can howl loudly enough to be heard for miles.
