ID,Description_lang
42,Flag Captures
44,Flag Returns
61,Towers Assaulted
63,Graveyards Assaulted
64,Towers Defended
65,Graveyards Defended
82,Secondary Objectives
122,Bases Assaulted
123,Bases Defended
183,Flag Captures
215,Walls Destroyed
216,Buildings Destroyed
231,Gates Destroyed
232,Demolishers Destroyed
245,Bases Assaulted
246,Bases Defended
290,Flag Captures
291,Flag Returns
370,Bases Assaulted
371,Bases Defended
391,Bases Assaulted
392,Bases Defended
393,Flag Captures
418,Orb Possessions
419,Victory Points
422,Flag Captures
423,Flag Returns
428,Carts Controlled
457,Carts Captures
458,Carts Returned
459,Mines Assaulted
460,Mines Defended
501,Score
679,Bases Assaulted
680,Bases Defended
688,Bases Assaulted
690,Bases Defended
744,Azerite Collected
762,Flag Captures
763,Flag Returns
923,Ingredients Gathered
926,Bases Assaulted
927,Bases Defended
928,Flag Captures
929,Flag Returns
931,Artifacts Collected
1001,Bases Assaulted
1002,Bases Defended
1003,Towers Assaulted
1004,Secondary Objectives
1005,Graveyards Defended
1006,Towers Defended
1007,Graveyards Assaulted
1008,Rounds Won
1009,Rounds Won
1010,Rounds Won
1011,Rounds Won
1012,Rounds Won
1013,Rounds Won
1014,Rounds Won
1015,Rounds Won
1016,Rounds Won
1017,Rounds Won
1018,Rounds Won
1020,Flag Captures
1021,Carts Controlled
