ID,ActivityName_lang,Description_lang
3,Complete 30 Quests,Complete quests that grant experience.
4,Defeat 50 Dungeon Bosses,Defeat dungeon bosses that grant experience.
5,Feast of Winter Veil: Obtain a Finely-Tailored Holiday Hat,"From {EventStartDate} - {EventEndDate}, obtain a Finely-Tailored Holiday Hat"
6,Complete 5 Mythic+ Dungeons,
7,Complete 15 World Quests,
8,Defeat 10 Dragonflight Raid Bosses,
9,Kill Any Raid Boss in Dragonflight at Mythic Difficulty,
10,Earn 7500 Honor,
11,Win 5 Battlegrounds,
12,Win 10 Non-Skirmish Arena Matches,
13,Fulfill Crafting Orders,Speak to a crafting orders clerk at the Artisan's Market in Valdrakken.
14,Win 15 Pet Battles,
16,Defeat Dungeon Bosses in a Cross-Faction Group,Defeat dungeon bosses that grant experience while in a cross-faction group.
17,Complete Quests in Northrend,
18,Complete 5 Wrath of the Lich King timewalking dungeons,
19,Defeat the Lich King,Kill the Lich King in the Icecrown Citadel.
20,Complete Alterac Valley Battlegrounds,
21,Battle Pet Week: Defeat Northrend Master Tamers with a Little Helper,From {EventStartDate} - {EventEndDate} use at least one Little Helper to defeat all Northrend Master Tamers.
22,Timewalking: Go Fishing in Northrend,From {EventStartDate} - {EventEndDate} fish up items in Northrend.
23,Shiver at Ragnaros,Emote /cold at Ragnaros in the Molten Core.
24,Feast of Winter Veil: Dance Around the Tree While Dressed for the Occasion,"From {EventStartDate} - {EventEndDate}, dance with another player near the festive tree while wearing Winter Garb."
25,Kill 100 ice elementals,
26,Darkmoon Faire: Complete Target: Turtle,From 12/3 - 12/9 complete the quest Target: Turtle on Darkmoon Faire Island.
27,Feast of Winter Veil: Kill 3 Festive Bosses,From {EventStartDate} - {EventEndDate} kill three of the following bosses.
28,Wanderer's Festival: Attend the Festival,From {EventStartDate} - {EventEndDate} attend the Wanderer's Festival at Turtle Beach in Krasarang Wilds.
29,"Wanderer's Festival: Launch a Lantern and Read ""Waiting for the Turtle""","From {EventStartDate} - {EventEndDate}, launch a lantern and read ""Waiting for the Turtle"" at the Wanderer's Festival in Krasarang Wilds."
30,Darkmoon Faire: Eat a Corn-Breaded Sausage After Your Ride,"From 12/3 - 12/9 ride the Darkmoon carousel or roller-coaster, then eat a corn-breaded sausage."
31,Kill the opposing faction leader,
32,Explore a Snowy Region,Fully explore one of the following zones.
33,Complete 5 Cross-Faction Battlegrounds,
34,Feast of Winter Veil: Gain Chillin',"From {EventStartDate} - {EventEndDate}, gain Chillin' from Coldrage's Cooler."
36,Timewalking: Complete Quests in Draenor,From {EventStartDate} - {EventEndDate} complete quests in Draenor.
37,Timewalking: Complete 5 Warlords of Draenor Timewalking Dungeons,From {EventStartDate} - {EventEndDate} complete Warlords of Draenor Timewalking dungeons.
38,Complete Hellfire Citadel,
39,Kill 15 players in Tanaan Jungle,
40,Defeat Dragon Isles Master Tamers With Dragonkin Pets,Defeat 2 Dragon Isles Master Tamers with a lineup of at least 2 dragonkin pets
41,Timewalking: Go Fishing in Draenor,From {EventStartDate} - {EventEndDate} fish up items in Draenor.
42,Use Happy Pet Snacks,Purchase Happy Pet Snacks from Breanni at the Magic Menagerie in Dalaran.
43,Love is in the Air: Use the Peddlefeet's Lovely Hearthstone Toy on the Dragon Isles,From {EventStartDate} - {EventEndDate} use the Peddlefeet's Lovely Hearthstone toy on the Dragon Isles.
44,Love is in the Air: Use the Romantic Picnic Basket Toy in Ohn'ahran Plains,From {EventStartDate} - {EventEndDate} use the Romantic Picnic Basket toy in Ohn'ahran Plains.
45,Love is in the Air: Complete Bonbon Blitz,From {EventStartDate} - {EventEndDate} complete the quest Bonbon Blitz.
46,Love is in the Air: Defeat Apothecary Hummel,From {EventStartDate} - {EventEndDate} defeat Apothecary Hummel in Shadowfang Keep.
