ID,Name_lang
1,
6,January: Begin Again
7,February: Caring and Sharing
8,March: Lookin' Good
9,April: Spring in your Step
10,May: Child's Play
11,June: Playing with Fire
12,July: Celebration!
13,August: Face Off!
14,September: Party Time
16,October: Spooky and Kooky
18,"November: The More, The Merrier"
19,December: Chilling
20,January: Begin Again
21,February: New and Rekindled Love
22,March: Getting Fancy
23,April: Spring is in the Air
24,May: Flower Power
25,June: Summer Fun
26,July: The Dark Depths
27,August: The Spirit of Competition
28,September: Gather Your Crew
29,October: Light vs Dark
30,November: Iconic
31,December: Ice Try
32,January: Forward Progression
33,February: Moonlit Magnificence
34,March: Sparkles and Flair
35,April: Faire Game
36,May: Critter Country
37,June: Burning Hearts
38,July: Forsaken Memories
39,August: Either Or
40,September: Dwarven Charm
41,October: Fel Festivities
42,November: Bountiful Gifts
43,December: Frozen Hearts
