ID,Failure_description_lang
62,Requires Rogue
402,
403,
404,
405,
406,
407,
408,
415,
416,
417,
418,
923,
924,
2023,
3284,Requires Shaman
4617,"Classes: Hunter, Shaman"
4619,"Classes: Mage, Priest, Warlock"
5164,You must be at least level $pcMinLevel to enter Scarlet Halls.
5218,
5703,
5793,
5922,
5953,
6211,
6212,
6289,
6728,You must be at least level $pcMinLevel to enter Magister's Terrace on Heroic difficulty.
7291,
7305,
7376,
7383,You must be at least level $pcMinLevel to enter Ruins of Ahn'Qiraj.
7498,You must be at least level $pcMinLevel to enter Utgarde Keep.
7499,You must be at least level $pcMinLevel to enter Azjol-Nerub.
7500,Must be level $pcMinLevel to enter...
7501,You must be at least level $pcMinLevel to enter Violet Hold.
7703,Requires level $pcMinLevel.
7704,Requires level $pcMinLevel or higher to purchase.
8566,
8649,Must have 400 Jewelcrafting
8981,"You must be at least level $pcMinLevel and complete ""Deliverance from the Pit"" to enter Halls of Reflection on Heroic difficulty"
8990,You must be at least level $pcMinLevel to enter Pit of Saron on Heroic difficulty.
9206,"Classes: Death Knight, Paladin, Warrior"
9414,Must complete quest 'Bounty on Murlocs'
9478,
9484,
9485,
9907,You must be at least level $pcMinLevel to enter Shadowfang Keep.
9908,You must be at least level $pcMinLevel to enter Gnomeregan.
9909,You must be at least level $pcMinLevel to enter Dire Maul.
9910,You must be at least level $pcMinLevel to enter Scholomance.
9911,You must be at least level $pcMinLevel to enter Stratholme.
9912,You must be at least level $pcMinLevel to enter Zul'Farrak.
9913,You must be at least level $pcMinLevel to enter Blackrock Depths.
9915,You must be at least level $pcMinLevel to enter Hellfire Ramparts.
9917,You must be at least level $pcMinLevel to enter Auchenai Crypts.
9918,You must be at least level $pcMinLevel to enter Sethekk Halls.
10265,You must be at least level $pcMinLevel to enter Blackrock Caverns.
10723,
10816,
10950,
10988,
11037,You must be at least level $pcMinLevel to enter Hall of Origination.
11546,
11580,
11615,
11616,
11617,
11618,
11872,
12161,"Must have completed ""Filling the Moonwell""."
12163,"Must have completed ""Calling the Ancients""."
12212,"Must have completed ""Additional Armaments""."
12380,"Must have completed ""Filling the Moonwell"", ""Additional Armaments"" and ""Calling the Ancients""."
12515,"Must have completed ""Through the Gates of Hell""."
12681,You cannot be in a party or raid to enter this instance.
13099,CURRENT QUEST CRITERIA: POTENCY; CURRENT QUEST CRITIERA COMPLETE: KILL 8 CREEPERS
13180,CURRENT QUEST CRITERIA: POTENCY; CURRENT QUEST CRITIERA COMPLETE: KILL 8 CREEPERS
13411,
13438,
13468,
13632,Must achieve Knight-Captain rank in Rated Battlegrounds to purchase.
13633,Must achieve Legionnaire rank in Rated Battlegrounds to purchase.
13873,You are not in Shattrath City in November.
13903,
13904,
13905,
13906,
13907,
13908,
13909,
13910,
13911,
13912,
13913,
13915,
13916,
13917,
13918,
13919,
13920,
13921,
14827,
14828,
14829,
14830,
14831,
14832,
14833,
14834,
14835,
14836,
14837,
14838,
14839,
14840,
14841,
14842,
14843,
14844,
14845,
14846,
14847,
14848,
14849,
14850,
14851,
14852,
14853,
14854,
14855,
14856,
14857,
14858,
14859,
14860,
14861,
14862,
14863,
14864,
14865,
14866,
14867,
14868,
14869,
14870,
14871,
14872,
14873,
14874,
14875,
14876,
14877,
14878,
14879,
14880,
14881,
14882,
14883,
14884,
14885,
14886,
14887,
14888,
14889,
14890,
14891,
14892,
14893,
14894,
14895,
14896,
14897,
14898,
14899,
14900,
14901,
14902,
14903,
14904,
14905,
14906,
14907,
14908,
14909,
14910,
14911,
14912,
14913,
14914,
14915,
14916,
14917,
14918,
14919,
14920,
14921,
14922,
14923,
14924,
14925,
14926,
14927,
14928,
14929,
14930,
14931,
14932,
14933,
14934,
14935,
14936,
14937,
14938,
14939,
14940,
14941,
14942,
14943,
14944,
14945,
14946,
14947,
14948,
14949,
14950,
14951,
14952,
14953,
14954,
14955,
14956,
14957,
14958,
14959,
14960,
14961,
14962,
14963,
14964,
14965,
14966,
14967,
14968,
14969,
14970,
14971,
14972,
14973,
14974,
14975,
14976,
14977,
14978,
14979,
14980,
14981,
14982,
14983,
14984,
14985,
14986,
14987,
14988,
14989,
14990,
14991,
14992,
14993,
14994,
14995,
14996,
14997,
14998,
14999,
15000,
15001,
15002,
15003,
15004,
15005,
15006,
15007,
15008,
15009,
15010,
15011,
15012,
15013,
15014,
15015,
15016,
15017,
15018,
15019,
15020,
15021,
15022,
15023,
15024,
15025,
15026,
15027,
15028,
15029,
15030,
15031,
15032,
15033,
15034,
15035,
15036,
15037,
15038,
15039,
15040,
15041,
15042,
15043,
15044,
15045,
15046,
15047,
15048,
15049,
15050,
15051,
15052,
15053,
15054,
15055,
15056,
15057,
15058,
15059,
15060,
15061,
15062,
15063,
15064,
15065,
15066,
15067,
15068,
15069,
15070,
15071,
15072,
15073,
15074,
15075,
15076,
15077,
15078,
15079,
15080,
15081,
15082,
15083,
15084,
15085,
15086,
15087,
15088,
15089,
15090,
15091,
15092,
15093,
15094,
15095,
15096,
15097,
15098,
15099,
15100,
15101,
15102,
15103,
15104,
15105,
15106,
15107,
15108,
15109,
15110,
15111,
15112,
15113,
15114,
15115,
15116,
15117,
15118,
15119,
15120,
15121,
15122,
15123,
15124,
15125,
15126,
15127,
15128,
15129,
15130,
15131,
15132,
15133,
15134,
15135,
15136,
15137,
15138,
15139,
15140,
15141,
15142,
15143,
15144,
15145,
15146,
15147,
15148,
15149,
15150,
15151,
15152,
15153,
15154,
15155,
15156,
15157,
15158,
15159,
15160,
15161,
15162,
15163,
15164,
15165,
15166,
15167,
15168,
15169,
15170,
15171,
15172,
15173,
15174,
15175,
15176,
15177,
15178,
15179,
15180,
15181,
15182,
15183,
15184,
15185,
15186,
15187,
15188,
15189,
15190,
15191,
15192,
15193,
15194,
15195,
15196,
15197,
15198,
15199,
15200,
15201,
15202,
15203,
15204,
15205,
15206,
15207,
15208,
15209,
15210,
15211,
15212,
15213,
15214,
15215,
15216,
15217,
15218,
15219,
15220,
15221,
15222,
15223,
15224,
15225,
15226,
15227,
15228,
15229,
15230,
15231,
15297,note: update to add NOT completed criteria is see the scouts off
15364,
15507,
15530,
15547,
15624,
15625,
15663,
15664,
15665,
15666,
15667,
15668,
15669,
15670,
15671,
15672,
15677,Requires The Tillers - Exalted
15680,
15681,
15682,
15683,
15684,
15694,
15695,
15697,
15704,
15717,
15718,
15862,
16152,
16177,
16178,
16179,
16260,Unlocked at Level 25
16261,Unlocked at Level 50
16262,Unlocked at Level 75
16377,
16378,
16379,
16380,
16381,
16382,
16385,
16402,
16419,
16466,
16488,
16489,
16564,
16601,
16647,
16678,You must be at least level $pcMinLevel to enter Scarlet Monastery.
16750,
16754,
16757,
16758,
16759,
16768,
16769,
16770,
16954,
16955,
16971,
16996,
16997,
17011,
17012,
17013,
17017,
17018,
17097,"Classes: Demon Hunter, Druid, Monk, Rogue"
17162,Requires Revered reputation with The Anglers.
17189,
17197,
17348,
17457,
17458,
17459,
17460,
17461,
17462,
17463,
17464,
17466,
17467,
17468,
17469,
17470,
17482,
17536,
17576,
17579,
17580,
17581,
17718,
17763,
17848,
17849,
17867,
17868,
17869,
17879,You must be at least level $pcMinLevel to enter Mogu'shan Vaults on Normal difficulty.
17880,Requires: To Be a Master
17911,
17912,
17919,
17920,
17971,
17985,
17986,
17987,
17988,
17989,
17990,
18009,Needs to complete test.
18012,
18013,
18014,
18015,
18016,
18047,Requires Nat Pagle - Good Friend
18073,
18074,
18075,
18076,
18077,
18078,
18079,
18080,
18081,
18082,
18083,
18084,
18085,
18086,
18099,
18132,
18133,
18136,
18158,
18159,
18160,
18166,
18173,
18174,
18175,
18176,
18178,
18179,
18180,
18182,
18183,
18184,
18203,
18290,
18291,
18354,
18355,
18356,
18367,You must be at least level $pcMinLevel to enter.
18416,
18418,
18440,
18454,
18455,
18456,
18457,
18458,
18459,
18460,
18461,
18462,
18463,
18464,
18465,
18466,
18467,
18468,
18469,
18470,
18471,
18755,
18756,
18757,
18816,
18817,
18821,
18833,
18834,
18835,
18837,Must have completed: A Present for Teacher
18976,Requires: Weeds cleared from Sunsong Ranch
18977,Requires: Broken Wagon fixed at Sunsong Ranch
18978,Requires: Mossy Boulder removed from Sunsong Ranch
18979,Requires The Tillers - Revered
18980,Requires The Tillers - Honored
18982,
18983,
18984,
18985,
18986,
18987,
19023,
19024,
19025,
19026,
19027,
19028,
19029,
19030,
19031,
19032,
19033,
19034,
19073,
19074,
19097,
19143,
19146,
19147,
19148,
19149,
19150,
19151,
19263,
19264,
19265,
19266,
19279,
19321,
19327,
19328,
19329,
19330,
19331,
19332,
19333,
19334,
19336,
19337,
19338,
19339,
19340,
19341,
19342,
19343,
19352,
19365,
19406,
19408,
19409,
19413,
19414,
19415,
19416,
19440,
19444,
19449,
19450,
19458,You must be at least level $pcMinLevel to enter Mogu'shan Vaults on Heroic difficulty.
19476,You must be at least level $pcMinLevel to enter Heart of Fear on Normal difficulty.
19477,You must be at least level $pcMinLevel to enter Heart of Fear on Heroic difficulty.
19478,You must be at least level $pcMinLevel to enter Terrace of Endless Spring on Normal difficulty.
19479,You must be at least level $pcMinLevel to enter Terrace of Endless Spring on Heroic difficulty.
19484,Requires: To Be a Master
19486,
19584,
19591,
19592,
19596,
19607,
19608,
19609,
19610,
19611,
19612,
19613,
19614,
19637,
19648,
19657,
19658,
19667,
19679,
19680,
19681,
19682,
19692,
19693,
19694,
19695,
19697,
19716,
19724,
19731,
19732,
19733,
19734,
19735,
19736,
19740,
19741,
19742,
19808,
19809,
19810,
19811,
19834,
19835,
19837,
19838,
19845,
19853,
19854,
19855,
19881,
19888,
19890,
19895,
19931,Requires Bizmo's Brawlpub - Rank 2
19932,Requires Bizmo's Brawlpub - Rank 3
19933,Requires Bizmo's Brawlpub - Rank 4
19934,Requires Bizmo's Brawlpub - Rank 5
19935,Requires Bizmo's Brawlpub - Rank 6
19936,Requires Bizmo's Brawlpub - Rank 7
19937,Requires Bizmo's Brawlpub - Rank 8
19938,Requires Brawl'gar Arena - Rank 2
19939,Requires Brawl'gar Arena - Rank 3
19940,Requires Brawl'gar Arena - Rank 4
19941,Requires Brawl'gar Arena - Rank 5
19942,Requires Brawl'gar Arena - Rank 6
19943,Requires Brawl'gar Arena - Rank 7
19944,Requires Brawl'gar Arena - Rank 8
19974,
19975,
19990,
19991,
19992,
19993,
20015,
20030,
20050,
20068,
20069,
20106,
20107,
20111,
20112,
20115,
20116,
20117,
20118,
20119,
20120,
20121,
20122,
20123,
20124,
20125,
20126,
20127,
20128,
20129,
20130,
20131,
20132,
20133,
20134,
20135,
20136,
20137,
20145,
20186,
20230,
20253,
20254,
20255,
20256,
20257,
20267,
20268,
20286,Your fishing skill cannot be increased further.
20290,You must be at least level $pcMinLevel to enter Scarlet Monastery.
20394,
20410,
20428,
20543,You must be at least level $pcMinLevel to enter Throne of Thunder on Normal difficulty.
20544,You must be at least level $pcMinLevel to enter Throne of Thunder on Normal difficulty.
20688,
20716,This is a lie... it's really stage 2.5 (while player is fighting Shan Bu directly)
20724,
20725,
20726,
20727,
20778,
20779,
20780,
20781,
20782,
20784,
20785,
20786,
20787,
20788,
20789,
20800,
20805,
20808,
20814,
20843,
20848,
20849,
20855,
20870,
20879,
20907,
20918,
20919,
20920,
20921,
20922,
20923,
20924,
20925,
20926,
20937,
20938,
20939,
20940,
20984,
20985,
20986,
20987,
20988,
20989,
20994,
21007,
21008,
21024,
21051,
21095,
21096,
21150,
21152,
21153,
21154,
21155,
21156,
21157,
21158,
21162,
21163,
21164,
21165,
21166,
21167,
21168,
21169,
21172,
21173,
21185,
21190,
21193,
21204,
21214,
21237,
21293,
21294,
21297,
21298,
21301,
21302,
21322,
21344,
21387,
21390,
21391,
21392,
21398,You must be at least level $pcMinLevel to enter Throne of Thunder on Heroic difficulty.
21417,
21434,
21435,
21436,
21437,
21439,
21440,
21441,
21442,
21443,
21444,
21445,
21465,
21466,
21467,
21469,
21470,
21471,
21472,
21473,
21474,
21494,
21495,
21496,
21503,
21504,
21505,
21506,
21507,
21508,
21509,
21569,
21574,Requires Brawl'gar Arena - Rank 9
21578,Requires Brawl'gar Arena - Rank 10
21579,Requires Bizmo's Brawlpub - Rank 9
21580,Requires Bizmo's Brawlpub - Rank 10
21587,Requires Brawler's Guild Membership
21607,
21608,
21609,
21611,
21612,
21613,
21614,
21616,
21618,
21619,
21620,
21621,
21622,
21623,
21624,
21637,
21638,
21639,
21640,
21641,
21642,
21643,
21644,
21645,
21646,
21647,
21648,
21649,
21650,
21651,
21652,
21653,
21654,
21655,
21656,
21657,
21658,
21659,
21660,
21717,
21719,
21725,
21726,
21865,
21868,
21890,
21891,
21892,
21908,
21909,
21910,
21911,
21912,
21965,
22015,
22043,
22051,
22052,
22053,
22054,
22055,
22056,
22060,
22061,
22062,
22063,
22064,
22065,
22066,
22067,
22068,
22081,
22188,
22189,
22190,
22191,
22192,
22193,
22194,
22196,
22197,
22198,
22199,
22200,
22201,
22202,
22203,
22205,
22206,
22208,
22213,
22215,
22216,
22217,
22249,
22251,
22252,
22253,
22254,
22255,
22257,
22258,
22260,
22261,
22262,
22280,
22302,
22305,
22307,
22308,
22310,
22312,
22314,
22316,
22318,
22320,
22322,
22324,
22326,
22327,
22348,
22415,
22418,
22422,
22423,
22441,
22446,
22514,
22515,
22516,
22517,
22540,
22551,
22604,
22619,
22624,
22716,
22717,
22718,
22724,
22749,
22751,
22752,
22753,
22755,
22756,
22757,
22758,
22759,
22760,
22761,
22762,
22763,
22764,
22765,
22766,
22767,
22768,
22769,
22770,
22771,
22772,
22773,
22774,
22775,
22777,
22778,
22779,
22780,
22781,
22782,
22783,
22784,
22785,
22786,
22787,
22788,
22789,
22790,
22791,
22792,
22793,
22794,
22795,
22796,
22797,
22798,
22799,
22800,
22801,
22802,
22803,
22807,
22828,
22836,
22849,
22875,
22876,
22877,
22936,
22944,
22947,
23013,
23042,
23084,
23095,
23097,
23099,
23100,
23101,
23102,
23103,
23104,
23105,
23106,
23107,
23108,
23109,
23110,
23120,
23121,
23136,
23156,
23157,
23194,
23218,
23314,
23320,
23323,
23325,
23326,
23327,
23329,
23330,
23344,
23345,
23351,
23352,
23356,
23357,
23358,
23359,
23360,
23367,
23372,
23382,
23398,
23400,
23455,
23497,
23503,
23504,
23528,
23560,
23564,
23565,
23567,
23569,
23572,
23575,You already have a piece of Murloc Slop.
23601,
23624,
23641,
23657,
23663,You already have the Aspect of the Guardian.
23707,
23708,
23709,
23710,
23771,You already have the Blessing of Blackfathom.
23910,
23911,
24242,
24261,
24262,
24266,
24270,
24280,
24281,
24286,
24287,
24288,
24289,
24290,
24291,
24313,
24337,
24339,
24340,
24341,
24342,
24343,
24346,
24347,
24348,
24349,
24350,
24351,
24354,
24373,
24393,
24401,
24402,
24415,
24432,
24433,
24434,
24454,
24523,
24556,
24582,
24591,
24592,
24594,
24595,
24599,
24607,
24620,
24621,
24624,
24625,
24627,
24628,
24629,
24630,
24631,
24633,
24635,
24637,
24639,
24641,
24642,
24644,
24646,
24648,
24649,
24650,
24652,
24653,
24654,
24666,
24668,
24680,
24694,
24703,
24705,
24706,
24710,
24717,
24718,
24721,
24723,
24724,
24726,
24727,
24735,
24738,
24745,
24748,
24750,
24756,
24757,Requires 700 skill in Alchemy.
24775,
24810,
24827,
24992,
24995,
25024,
25052,
25053,
25078,
25079,
25156,
25157,
25169,
25170,
25201,
25280,
25282,
25291,
25292,
25306,
25307,
25314,
25338,
25339,
25345,
25352,
25353,
25354,
25355,
25356,
25357,
25358,
25359,
25360,
25361,
25362,
25363,
25364,
25365,
25366,
25367,
25368,
25369,
25370,
25371,
25372,
25373,
25374,
25375,
25376,
25393,
25408,
25412,
25427,
25468,
25469,
25470,
25471,
25473,
25474,
25475,
25481,
25495,
25498,
25499,
25561,
25573,
25592,
25637,
25639,
25664,
25665,
25710,
25711,
25716,
25719,
25756,
25757,
25758,
25776,
25803,
25804,
25809,
25838,
25839,
25855,
25856,
25949,Tier 2 Garrison Required
25983,Requires Fishing Shack
26030,
26034,
26039,
26053,
26054,
26056,
26057,
26058,
26060,
26105,
26109,
