ID,Description_lang
1,Craft Primal Molten plate armor.
2,Increase your Ingenuity and Resourcefulness while crafting plate armor.
3,"Craft a Master's Hammer, allowing you to freely repair your own plate armor."
5,Master the crafting of bolts of cloth and Polishing Cloths.
6,Master the crafting Contracts and Missives.
7,Consuming potions provide small bursts of movement speed or healing.
8,Craft bait to lure creatures that yield rare materials when skinned.
9,Master the crafting of Fauna Runes and Vantus Runes.
10,Customize weapons and tools you create with Optional and Finishing Reagents.
11,Customize leather armor you create with Optional and Finishing Reagents.
12,Customize mail armor you create with Optional and Finishing Reagents.
13,Customize rings and necklaces with Optional Reagents.
14,"Prospecting allows you to discover Prismatic Ore, containing a hoard of gems."
15,Increase your Resourcefulness and efficiency while crafting.
16,Find magical seeds which can be planted in soil to grow herbs.
17,Gain a damage bonus against Beasts and Dragonkin while outdoors.
18,Increase your Ingenuity and Resourcefulness while crafting cloth armor.
19,Increase your Ingenuity and Resourcefulness while crafting enchantments.
20,Increase your Ingenuity and Resourcefulness while crafting leather armor.
21,Increase your Ingenuity and Resourcefulness while crafting mail armor.
22,"Increase your Ingenuity, Resourcefulness and Crafting Speed while crafting all Jewelcrafting designs."
23,Increase the effectiveness of Ingenuity and Resourcefulness for all Jewelcrafting designs.
24,Increase your crafting skill for all Jewelcrafting designs.
25,Discover Optional Reagent schematics to customize your gear.
26,"Craft a Master's Hammer, a hammer that repairs your own weapons."
27,Learn toxic potion and toxic phial recipes through experimentation.
28,Collect Pieces of Scrap to sift through for treasure.
29,Customize cloth armor using Finishing Reagents.
30,Gather meat for cooking from the creatures you skin.
31,Harness decay magic while crafting.
32,Harness elemental reagents to empower your gem cuts.
33,"Improve at collecting Darkmoon cards, extracting their elements, and making new ones."
34,Increase your crafting skill for all Alchemy recipes.
35,Increase your crafting skill for all Blacksmithing recipes.
36,Increase your crafting skill for all Enchanting formulae.
37,Increase your crafting skill for all Engineering schematics.
38,Increase your crafting skill for all Inscription techniques.
39,Increase your crafting skill for all Leatherworking patterns.
40,Increase your crafting skill for all Tailoring patterns.
41,Increase your Crafting Speed for all Tailoring patterns
42,Increase your gathering skill while gathering herbs.
43,"Increase your skill while skinning leather, scale, and hides."
44,Increase your skill while mining ore.
45,Improve at making higher quality alloys and Optional Reagents.
46,"Improve in the art of transmution, changing one thing to another."
47,Improve in the creation of basic reagents in large quantities.
48,Produce bombs in large quantities and with fewer reagents.
49,Improve your crafting skill while crafting Player versus Player gear.
50,Improve your crafting skill while crafting enchantment formulae.
51,Improve your ability to create consumable statues for small combat bonuses.
52,Increase your chance at success with phial experimentation.
53,Increase your chance at success with potion experimentation.
54,Increase your Crafting Speed while crafting all Blacksmithing recipes.
55,Increase the amount of herbs you find while gathering.
56,Increase the amount of ore you find while mining.
57,Increase the duration of phials that you use.
58,Increase the effectiveness of Finesse while gathering herbs.
59,Increase the effectiveness of Ingenuity and Resourcefulness for all formulae.
60,Increase the effectiveness of Ingenuity and Resourcefulness for all patterns.
61,Increase the effectiveness of Ingenuity and Resourcefulness for all recipes.
62,Increase the effectiveness of Ingenuity and Resourcefulness for all recipes.
63,Increase the effectiveness of Ingenuity and Resourcefulness for all techniques.
64,"Increase your Deftness, Finesse, and Perception while gathering elemental deposits."
65,"Increase your Deftness, Finesse, and Perception while gathering elemental herbs."
66,"Increase your Deftness, Finesse, and Perception while gathering herbs."
67,"Increase your Deftness, Finesse, and Perception while mining ore."
68,"Increase your Deftness, Finesse, and Perception while skinning."
69,"Increase your Deftness, Finesse, and Perception while skinning."
70,"Increase your disenchanting capabilities, sometimes gaining additional reagents."
71,"Increase your Perception, helping you gather rarer materials."
72,"Infuse bait with elemental power, allowing you to gather rousing elements."
73,Invent a variety of toys to entertain yourself and those around you.
74,Learn to cut Illimited Diamonds with elemental essence.
75,Increase your Resourcefulness while crafting Embroidered Bags.
76,Convert uncommon gems into clusters of rare gems.
77,Create and upgrade the Wyrmhole Generator for swift teleportation.
78,Create epic bracers with Tinker slots that can be used by anyone.
79,Learn how to use Finishing Reagents to improve your gem cuts.
80,Learn patterns for gear and Optional Reagents with special effects.
81,"Learn powerful formulae for Draconic, Devotion, and Waking enchantments."
82,Learn schematics for a variety of bombs with different effects.
83,Learn schematics for new Tinkers to be used in gear with Tinker slots.
84,Craft a Torch of Primal Awakening and a Runed Khaz'gorite Rod.
85,"Carve Illuminating and Kinetic Pillar of the Isles, powerful staves."
86,Collect cloth more efficently and find rare cloth to unravel.
87,Craft a Khaz'gorite Blacksmith Toolbox and make higher quality tools.
88,Craft a variety of new powerful rings and necklaces.
89,"Craft and customize Darkmoon Deck Boxes, powerful Darkmoon trinkets."
90,"Craft armor with unique bonuses, such as the Amice of the Blue."
91,Craft fishing lures to target specific fish.
92,Craft Flame-Touched mail armor.
93,"Craft Azureweave and Chronocloth armor, each with a unique set bonus."
94,Craft Life-Bound leather armor.
95,Craft mining and blacksmithing tools.
96,Craft Primal Molten weapons.
97,Craft the Scribe's Resplendent Quill.
98,"Craft the Tiered Medallion Setting, used to add sockets to necklaces."
99,Craft Vibrant Wildercloth armor.
100,Create fun illusory items for everyone to enjoy.
101,"Create safer bombs, which can be used by anyone."
102,"Create the Zapthrottle Soul Inhaler, an important device for collecting crucial reagents."
103,Find mystic items which can be disenchanted for reagents and rousing elements.
104,Find Rousing Elements when unraveling rare cloth.
105,Gather herbs while mounted.
106,Gather more rousing elements from elemental deposits.
107,Gather more rousing elements from elemental herbs.
108,Mine ore deposits while mounted.
109,"Shatter Awakened elements, gaining temporary combat and crafting bonuses."
110,Shatter enchanting reagents to lower rarity versions of themselves.
111,"Write Draconic Treatises, granting Profession Knowledge to the reader."
112,"Master the crafting of stone enhancements, such as Primal Whetstones and Weightstones."
113,Master the crafting of equipment that provide set bonuses.
114,"Master the crafting of Inks, the primary reagent used by scribes."
115,Master the crafting of magic enhanced Cloth Armor.
116,Master the crafting of professions accessories and drums.
117,"Master the formulation of basic, Optional, and Finishing Reagents."
118,Increase your crafting skill and efficiency while milling herbs into pigments.
119,Increase your crafting skill while crafting armor kits and reagents.
120,Reduce the cooldown of Overload Elemental Deposit whenever you mine.
121,Reduce the cooldown of Overload Elemental Herbs whenever you gather.
122,"Increase your handling of bombs, reducing the chance of painful backfires when deployed."
123,Reduce the negative side-effects of mining elemental deposits.
124,Reduce the negative side-effects of gathering elemental herbs.
125,Refine lower quality herbs into a higher quality.
126,Refine lower quality ore into a higher quality.
127,Refine lower quality reagents into a higher quality.
128,"Improve the reliability of devices, reducing the chance of backfires when deployed."
129,Find rare gems or Illimited Diamonds occassionally while mining.
130,Increase your Multicraft and Multicraft effectiveness when crafting phials.
131,Improve at crafting potions in large quantities.
132,Master the production of scopes and ammunition for ranged weapons.
145,"Increase your Deftness, Finesse, and Perception while gathering herbs."
146,Learn to plant and cultivate seeds at Beledar's Bounty in Hallowfall.
147,Gather herbs while mounted.
148,Increase your Finesse and Perception while gathering empowered herbs.
149,Reduce the negative side-effects of gathering empowered herbs and gain additional benefits.
150,Reduce the cooldown of Overload Empowered Herbs while you gather.
151,Gather the rare and elusive Null Lotus from additional sources.
