ID,Name_lang
1,2v2 - 1 - Unranked
2,2v2 - 2 - Combatant I
3,2v2 - 4 - Challenger I
4,2v2 - 6 - Rival I
5,2v2 - 8 - Duelist
6,2v2 - 9 - Elite
8,3v3 - 1 - Unranked
9,3v3 - 2 - Combatant I
11,3v3 - 4 - Challenger I
12,3v3 - 6 - Rival I
13,3v3 - 8 - Duelist
14,3v3 - 9 - Elite
16,RBG - 1 - Unranked
17,RBG - 2 - Combatant I
18,RBG - 4 - Challenger I
19,RBG - 6 - Rival I
20,RBG - 8 - Duelist
21,RBG - 9 - Elite
206,2v2 - 3 - Combatant II
207,2v2 - 5 - Challenger II
208,2v2 - 7 - Rival II
209,3v3 - 3 - Combatant II
210,3v3 - 5 - Challenger II
211,3v3 - 7 - Rival II
212,RBG - 3 - Combatant II
213,RBG - 5 - Challenger II
214,RBG - 7 - Rival II
303,Solo Shuffle - 9 - Elite
304,Solo Shuffle - 8 - Duelist
305,Solo Shuffle - 7 - Rival II
306,Solo Shuffle - 6 - Rival I
307,Solo Shuffle - 5 - Challenger II
309,Solo Shuffle - 4 - Challenger I
310,Solo Shuffle - 3 - Combatant II
311,Solo Shuffle - 2 - Combatant I
312,Solo Shuffle - 1 - Unranked
383,Solo RBG - 1 - Unranked
384,Solo RBG - 2 - Combatant I
385,Solo RBG - 3 - Combatant II
386,Solo RBG - 4 - Challenger I
387,Solo RBG - 5 - Challenger II
388,Solo RBG - 9 - Elite
389,Solo RBG - 8 - Duelist
390,Solo RBG - 7 - Rival II
391,Solo RBG - 6 - Rival I
