ID,Name_lang,Description_lang
1,Foothold in a Savage Land,
18,Siege of Bladespire Citadel,
19,Defense of Wor'gol,
20,Ga'nar's Vengeance,
21,Thunder's Fall,
22,The Battle of Thunder Pass,
23,Establishing your Outpost,
24,The Battle for Shattrath,
25,The Plight of the Arakkoa,
26,In the Shadows of Auchindoun,
27,Against the Warsong,
28,Against the Warsong,
29,The Throne of the Elements,
30,The Throne of the Elements,
31,In the Shadows of Auchindoun,
32,The Battle for Shattrath,
33,Establishing your Outpost,
34,Shadows Gather,
35,Admiral Taylor's Garrison,
36,Admiral Taylor's Garrison,
37,Secrets of the Talonpriests,
38,The Gods of Arak,
39,Foothold in a Savage Land,
40,Shadows Awaken,
41,The Exarch Council,
42,Botani In Bloom,
43,The Dark Side of the Moon,
44,The Light of Karabor,
45,Ending the Gloom,
46,Legacy of the Apexis,
47,Terokk's Legend,
48,Establishing Axefall,
49,Securing Southport,
50,Pinchwhistle Gearworks,
51,When the Raven Swallows the Day,
52,We Need An Outpost,
53,Supporting Your Garrison,
54,Supporting Your Garrison,
55,In the Land of Giants,
56,In the Land of Giants,
57,Establish a Foothold,
58,On the Shadow's Trail,
59,On the Shadow's Trail,
60,The Dark Portal,
61,The Bleeding Hollow,
62,The Shattered Hand,
63,The Shadowmoon,
64,The Blackrock,
65,Escape From Tanaan,
68,The Iron Approach,
69,The Iron Approach,
70,Garrison Campaign,
71,Garrison Campaign,
82,In Pursuit of the Tidestone,
84,The Bleeding Hollow,
85,The Bleeding Hollow,
86,The Silver Hand,
87,The Ashbringer,
89,Riverbend,
90,The Key to Defeating the Legion,
93,Skyhorn Tribe,
94,Legion Blacksmithing,
95,Legion Mining,
96,Legion Tailoring,
97,Legion Alchemy,
99,Garrison Campaign,
100,Garrison Campaign,
101,Garrison Campaign,
102,Garrison Campaign,
103,Garrison Campaign,
104,Garrison Campaign,
105,Garrison Campaign,
106,Garrison Campaign,
107,Garrison Campaign,
108,Garrison Campaign,
109,Garrison Campaign,
110,Garrison Campaign,
111,Garrison Campaign,
112,Garrison Campaign,
113,Garrison Campaign,
114,Garrison Campaign,
115,Garrison Campaign,
116,Garrison Campaign,
117,Garrison Campaign,
118,Garrison Campaign,
119,Garrison Campaign,
120,Garrison Campaign,
121,Gorefiend,
122,Gorefiend,
123,The Search for Iskar,
124,Gul'dan Finale,
125,The Search for Iskar,
126,Gul'dan Finale,
127,The Forsaken Fleet,
128,Wreck of the Skyfire,
129,The Trial of Might,
130,Greymane's Gambit,
131,Greymane's Gambit,
132,The Trial of Will,
133,The Trial of Will,
134,The Trial of Valor,
135,To Helheim and Back,
136,The Secret of the Shieldmaidens,
137,The Secret of the Shieldmaidens,
138,The Champion of Stormheim,
139,Docks Intro and Shipyard Tutorial - Horde,
140,Docks Intro and Shipyard Tutorial - Alliance,
141,Tanaan Invasion - Horde,
142,Tanaan Invasion - Alliance,
143,Snowblind Mesa,
144,Rivermane Tribe,
145,The Bloodtotem Tribe,
146,Huln's War,
