ID,Description_lang
270941,Captured Frostwolves Freed
272313,
272763,
272770,
272771,
272772,
272776,Mushroom Juice collected
272779,Frostwolves thawed
272897,Young Prowlers calmed
272904,Zorka's Void Gates Sealed
272913,Draenei spirits released
272914,Demons slain
272916,Shadowgaze Batriders shot down
272965,Orc Soldiers slain
272972,Iron Horde Commander Kull'krosh slain
272973,Highmaul Emissary Rezlorg slain
272974,Dock Supply Crates destroyed
272975,
272976,
272977,
273017,Frenzied Ancient slain
273119,
273213,Pale slain
273214,Egg Sacs destroyed
273215,Gorg the Host slain
273631,
273632,
273633,
273634,
273662,
273681,
273769,Shiverblood Pale slain
273770,
273799,
273800,
273801,
273843,Orc spirits slain
273921,Bloodmaul Stronghold Assaulted
273928,Bloodmaul Stronghold Assaulted
273938,Barrel of Harvested Toxin destroyed
273939,Shattered Hand Slain
274153,Frenzied Podlings slain
274154,Ancient jars looted
274155,Malkor slain
274241,Darktide Roost Assaulted
274244,Darktide Roost Assaulted
274299,Arakkoa Forces Thwarted
274300,Arakkoa Forces Thwarted
274611,
274612,Grimfrost ogres slain
274613,Pale creatures slain
274617,Shadow Council Assaulted
274629,Socrethar's Rise Disrupted
274630,Socrethar's Rise Disrupted
274647,Defeat Normal Enemies
274650,Defeat Lieutenant Enemies
274652,Defeat Minus Enemies
274653,Captured Guards
274655,Caches
274656,Defeat Miniboss Enemies
274657,Siege Cannons
274658,Soul Crystals
274659,Fel Fires
274672,Blackrock Foundry Assaulted
274673,Kill Iron Horde
274674,Kill Iron Horde
274675,Kill Iron Horde
274678,Slay Minus Mobs
274679,Slay Normal Mobs
274680,Collect/Interact (Minor)
274683,Slay High HP Mobs
274717,Slay Minus Mobs
274718,Slay Normal Mobs
274719,Collect/Interact (Minor)
274721,Slay High HP Mobs
274723,Slay Elite Mobs
274724,Slay Rare Elites/Events/Minibosses
274729,Defeat Minus Enemies
274730,Defeat Tier 1 Enemies
274731,Defeat Tier 2 Enemies
274732,Defeat Tier 2+ Enemies
274733,Defeat Tier 3 Enemies
274734,Defeat Tier 3+ Enemies
274735,Defeat Minibosses
274736,Defeat Minus Enemies
274737,Defeat Tier 1 Enemies
274738,Defeat Tier 2 Enemies
274739,Defeat Tier 2+ Enemies
274740,Defeat Tier 3 Enemies
274741,Defeat Tier 3+ Enemies
274742,Defeat Minibosses
274748,Arkonite Crystals
274753,Orc Bodies
274791,Varashian Vilefang slain
274797,Taskmaster Banegore slain
274799,Monsters slain
274800,Ancient Seedbearer burned
274803,Goren or Gronnling slain
274804,Grom'kar Grunt slain
274806,Dying Grom'kar Peon executed
274816,
274817,
274818,Goren Eggs broken
274832,Blackrock Foundry Assaulted
274833,Kill Iron Horde
274834,Kill Iron Horde
274835,Kill Iron Horde
274836,Pillars of Fate Disrupted
274837,Defeat Minus Enemies
274838,Defeat Tier 1 Enemies
274839,Defeat - Elite
274840,Defeat Rare Elites
274841,Defeat - 5-man Miniboss
274844,Defeat - Vignette / Rare Elite
274845,Pillars of Fate Disrupted
274846,Defeat Tier 1 Enemy
274847,Defeat Tier 2 Enemies
274848,Defeat - Elite
274849,Defeat - Vignette / Rare Elite
274850,Defeat Rare Elites
274851,Defeat - 5-man Miniboss
274855,Infested slain
274857,
274858,Kill Iron Horde Vignette
274859,Kill Iron Horde Soldier
274862,Collect Rylak Eggs
274868,
274869,
274870,
274874,Collect Giant Rylak Eggs
274875,Collect Large Rylak Eggs
274876,Kill Iron Horde Elite
274877,Kill Iron Horde Boss
274878,Kill Iron Horde Peon
274879,Injured Rylak
274880,Toxic Slimemold squished
274881,Collect Giant Rylak Eggs
274882,Collect Large Rylak Eggs
274883,Collect Rylak Eggs
274884,Kill Iron Horde Vignette
274885,Kill Iron Horde Elite
274886,Kill Iron Horde Boss
274887,Kill Iron Horde Soldier
274888,Kill Iron Horde Peon
274889,Injured Rylak
274900,
274903,
274909,Jungle Axebeak Freed
274913,
274914,Hydra Egg broken
274918,
274919,Pollen Pod destroyed
274920,
274922,Stonemaul ogre slain
274924,
274925,
274926,
274927,Keg of Grog destroyed
274933,
274934,Thorny Leafling punted
274935,
274943,Rylak Eggs destroyed
274945,Pale Orcs slain
274946,Ritual of Siphoning Disrupted
274947,Ritual of the Void Disrupted
274948,Ritual of Destruction Disrupted
274949,Stored Projection Slain
274969,Brimfury slain
274970,
274971,
275041,
275043,
275044,
275045,
275047,Slay Elite Mobs
275048,Slay Rare Elites/Events/Minibosses
275051,Free captured Ravenspeakers
275084,Burn Banner
275086,Kill Iron Horde
275096,Destroy Training Manuals
275143,
275148,
275150,Free Rangari Prisoners
275196,Shadow Council Assaulted
275212,Kill Normal Dudes
275213,Shadow Council Assaulted
275214,Defeat Minus Enemies
275215,Defeat Normal Enemies
275216,Defeat Lieutenant Enemies
275218,Defeat Miniboss Enemies
275221,Caches
275222,Siege Cannons
275223,Soul Crystals
275224,Fel Fires
275225,Sha'tari Belongings
275226,Arkonite Crystals
275227,Orc Bodies
275228,Captured Guards
275229,Shadow Council Assaulted
275230,Kill Weak Dudes
275236,Exploit the conflict at the Broken Precipice
275237,Defeat Minus Enemies
275238,Defeat Tier 1 Enemies
275239,Defeat - Elite
275240,Defeat - Rare Elite
275241,Defeat Vignette
275242,Recover Artifacts
275243,Exploit the conflict at the Broken Precipice
275244,Defeat Minus Enemies
275245,Defeat Tier 1 Enemies
275246,Defeat - Elite
275247,Defeat - Rare Elite
275248,Defeat Vignette
275249,Recover Artifacts
275250,Disrupt the Warsong
275251,Defeat Minus Enemies
275252,Defeat Tier 1 Enemies
275253,Defeat - Elite
275255,Defeat Rare Elites
275256,Defeat - 5-man Miniboss
275257,Disrupt the Warsong
275258,Defeat Minus Enemies
275259,Defeat Tier 1 Enemies
275260,Defeat - Elite
275262,Defeat Rare Elites
275263,Defeat - 5-man Miniboss
275264,Dominate the Gorian Proving Grounds
275265,Defeat Minus Enemies
275266,Defeat Tier 1 Enemies
275267,Defeat - Elite
275268,Defeat - Vignette / Rare Elite
275270,Defeat - Vignette
275271,Dominate the Gorian Proving Grounds
275272,Defeat Minus Enemies
275273,Defeat Tier 1 Enemies
275274,Defeat - Elite
275275,Defeat - Vignette / Rare Elite
275277,Defeat - Vignette Mob
275281,Magnarok Assaulted
275290,Magnarok Assaulted
275299,
275300,
275301,
275316,Detonate Iron Grenades
275324,Defeat Tier 0 Enemy
275325,Defeat Tier 0 Enemies
275388,Kill Iron Horde
275389,Destroy Training Manuals
275390,Free Laughing Skull Prisoners
275431,Burn Wolf Den
275432,Recover Stolen Goods
275433,Burn Wolf Den
275434,Recover Stolen Goods
275436,Burn Barracks
275439,Burn Tavern
275440,Burn Barracks
275441,Burn Tavern
275617,Kill Lieutenant Dudes
275619,Defeat Bonus Lieutenant
275620,Destroy Warsong Totems
275621,Destroy Warsong totem
275625,Kill Weak Dudes
275626,Kill Boss Dudes
275627,Burn Sargerei Missives
275628,Free Fel-Rune Citizen
275630,Free Shadow Prison Citizen
275689,"Fight, Explore, Consume, Evolve"
275690,Consume - Ogre
275691,Consume - Arakkoa
275692,Consume - Goblin
275693,Consume - Pale
275701,Evolve
275704,Explore - Goblin Supplies
275705,Exlpore - Solar Energy Absorbed
275706,Explore - Construct Powered Up
275707,Explore - Sentry Turret Repaired
275708,Consume - Moss
275709,Consume - Mushroom
275929,Sabotage the Siegeworks
275930,Defeat Minus Enemies
275931,Defeat Tier One Enemies
275932,Defeat Elite Enemies
275933,Defeat Rare Elites
275934,Defeat 5-Man Boss
275935,Disarm Explosive Slag Mine
275936,Poison the Kegs
275937,Destroy Battleplans
275942,
275943,Tracking Objective Sack
275944,Tracking Objective Chest
275945,Tracking interact Chest
275946,Tracking interact Chest
275956,Minus Mobs Killed
275957,Normal Mobs Killed
275958,High HP Normal Mobs Killed
275959,Collect (Minor)
275961,Elite Killed
275962,Miniboss/Event Killed
275963,5man Boss Killed
275964,Minus Mobs Killed
275965,Normal Mobs Killed
275966,High HP Normal Mobs Killed
275967,Collect (Minor)
275969,Elite Killed
275970,Miniboss/Event Killed
275971,5man Boss Killed
275992,Sha'tari Belongings
276020,Arakkoa Forces Thwarted
276021,Arakkoa Forces Thwarted
276028,Destroy Trophy
276029,Destroy Trophy
276059,Everbloom Wilds Assaulted
276060,Kill Shapers
276061,Kill Shapers
276062,Kill Shapers
276081,Botani Baskets
276082,Consume: Amorphic Cognitor
276083,Kills Made While Evolved
276084,Kill Shapers
276089,Ogre Cage Tracker
276101,Kill Normal Dudes
276102,Kill Lieutenant Dudes
276103,Kill Boss Dudes
276104,Defeat Bonus Lieutenant
276105,Burn Sargerei Missives
276106,Free Everburning Citizen
276107,Free Shadow Prison Citizen
276108,Demonic Codex
276109,Demonic Codex
276110,Battle Plans
276111,Battle Plans
276121,Snarlpaw saberon slain
276122,Boneseer Cold-Eye
276156,Sabotage the Siegeworks
276157,Defeat Minus Enemies
276158,Defeat Tier One Enemies
276159,Defeat Elite Enemies
276160,Defeat 5-Man Boss
276161,Disarm Explosive Slag Mine
276162,Poison the Kegs
276163,Destroy Battleplans
276166,Everbloom Wilds Assaulted
276167,Kill Shapers
276168,Kill Shapers
276169,Kill Shapers
276170,Kill Shapers
276171,Botani Baskets
276180,
276181,Goren slain
276183,
276184,
276249,Frightened spirits released
276283,Flamethrowers
276284,Flamethrowers
