ID,SortName_lang
1,Epic
21,Hallow's End
22,Seasonal
23,Cataclysm
24,Herbalism
25,Battlegrounds
41,Day of the Dead
61,Warlock
81,Warrior
82,Shaman
101,Fishing
121,Blacksmithing
141,Paladin
161,Mage
162,Rogue
181,Alchemy
182,Leatherworking
201,Engineering
221,Treasure Map
241,Tournament
261,Hunter
262,Priest
263,Druid
264,Tailoring
284,Special
304,Cooking
324,First Aid
344,Legendary
364,Darkmoon Faire
365,Ahn'Qiraj War
366,Lunar Festival
367,Reputation
368,Invasion
369,Midsummer
370,Brewfest
371,Inscription
372,Death Knight
373,Jewelcrafting
374,Noblegarden
375,Pilgrim's Bounty
376,Love is in the Air
377,Archaeology
378,Children's Week
379,Firelands Invasion
380,The Zandalari
381,Elemental Bonds
391,Pandaren Brewmasters
392,Scenario
394,Battle Pets
395,Monk
396,Landfall
397,Pandaren Campaign
398,Riding
399,Brawler's Guild
400,Proving Grounds
401,Garrison Campaign
402,Assault on the Dark Portal
403,Garrison Support
404,Logging
405,Pickpocketing
406,Artifact
407,Demon Hunter
408,Mining
409,Weekend Event
410,Enchanting
411,Skinning
412,World Quest
413,Death Knight Campaign
416,Demon Hunter Campaign
417,Druid Campaign
418,Hunter Campaign
419,Monk Campaign
420,Mage Campaign
421,Priest Campaign
422,Paladin Campaign
423,Shaman Campaign
424,Rogue Campaign
425,Warlock Campaign
426,Warrior Campaign
427,Order Hall
428,Legionfall Campaign
429,The Hunt for Illidan Stormrage
430,Pirates' Day
431,Argus Expedition
432,Warfronts
433,Moonkin Festival
434,The King's Path
435,The Deaths of Chromie
436,Rocket Chicken
437,Lightforged Draenei
438,Highmountain Tauren
439,Void Elf
440,Nightborne
441,Dungeon
442,Raid
444,Allied Races
445,The Warchief's Agenda
446,Adventure Journey
447,Alliance War Campaign
448,Horde War Campaign
449,Dark Iron Dwarf
450,Mag'har Orc
451,The Shadow Hunter
453,Island Expeditions
555,World PvP
556,The Pride of Kul Tiras
557,Rated PvP
559,Zandalari Troll
560,Heritage
561,Questfall
562,Tyrande's Vengeance
563,The Fate of Saurfang
564,Free T-Shirt Day
565,Crucible of Storms
566,Kul Tiran
567,Assault
569,Heart of Azeroth
571,Professions
573,Nazjatar Followers
574,Sinfall
575,Korrak's Revenge
576,Covenant Sanctum
579,Refer A Friend
580,Visions of N'Zoth
582,Vulpera
583,Mechagnome
584,Black Empire Campaign
586,Ember Court
587,Through the Shattered Sky
588,Death Rising
589,Kyrian Callings
590,Night Fae Callings
591,Necrolord Callings
592,Venthyr Callings
593,Abominable Stitching
594,Timewalking Campaign
595,Path of Ascension
596,Legendary Crafting
600,9.1 Campaign
601,Cyphers of the First Ones
602,Zereth Mortis Campaign
603,The Archivists' Codex
604,Covenant Assaults
606,Protoform Synthesis
607,Ch 6 Symbol Tracking
608,Tempest Unleashed
609,Dragonscale Expedition
610,Primalist Storms
611,Iskaara Tuskarr
612,Maruuk Centaur
613,Valdrakken Accord
614,Evoker
615,Trading Post
616,Engine of Innovation
617,Artisan's Consortium
618,Suffusion Camps
620,Envoy Tasks
622,Researchers Under Fire
623,Azerothian Archives
624,Trial of Style
625,Systems
626,Time Rifts
627,Little Scales Daycare
628,Dreamsurge
629,Dream Wardens
630,Gilneas Reclamation
631,Kalimdor Cup
632,Eastern Kingdoms Cup
633,Outland Cup
634,Northrend Cup
635,Pandaria Cup
636,Broken Isles Cup
637,The Harbinger
638,Hearthstone Anniversary
639,Timerunning
640,Earthen
642,Upgrade System
643,Warbands
645,Meta Quests
