ID,QuestTitle_lang,BulletText_lang
30134,Wild Things,
31001,Falling Down,
31394,A Celestial Experience,
31395,A Celestial Experience,
31511,A Witness to History,
31512,A Witness to History,
31697,Jeremy's Test Quest,
32246,Meet the Scout,
32249,Meet the Scout,
32680,The Storm Gathers,
32681,The Storm Gathers,
33145,Grimfrost Hill,
33156,Time Keeper Kairoz,
33160,Time Keeper Kairoz,
33232,Journey to the Timeless Isle,
34076,The Burial Fields,
34496,The Hills of Valuun,
34501,Frostbite Hollow,
34504,Bloodthorn Cave,
34505,Forbidden Glacier,
34639,Aruuna's Desolation,
34660,Zorkra's Fall,
34667,Court of Souls,
34723,Ironfist Harbor,
34724,The Forgotten Caves,
34726,Vignette: Pale Spider Broodmother,
34728,The Shimmer Moor,
35236,Orunai Coast,
35237,Mor'gran Logworks,
35250,Test Quest,
35379,Hemet's Happy Hunting Grounds,
35637,Assault on Stonefury Cliffs,
35641,Assault on Stonefury Cliffs,
35649,The Writhing Mire,
35881,Ruins of the First Bastion,
35974,Assault on Darktide Roost,
35977,Assault on Darktide Roost,
36069,Assault on Skettis,
36070,Assault on Skettis,
36338,Assault on Shattrath Harbor,
36347,Assault on Socrethar's Rise,
36348,Assault on Socrethar's Rise,
36383,Assault on the Pit,
36473,Affliction Ridge,
36476,South Gronn Canyon,
36480,Valley of Destruction,
36489,Assault on the Pit,
36490,Assault on Pillars of Fate,
36491,Assault on Pillars of Fate,
36500,The Razorbloom,
36504,Evermorn Springs,
36520,Tailthrasher Basin,
36563,Mistcreep Mire,
36564,Tangleheart,
36566,Stonemaul Arena,
36571,Iyun Weald,
36590,The Howling Crag,
36603,Brimstone Springs,
36660,Bloodmane Pridelands,
36792,Bladefist Hold,
36807,Assault on the Heart of Shattrath,
36808,Assault on Shattrath Harbor,
36809,Assault on the Heart of Shattrath,
36811,Retake Faronaar,
36814,Assault on the Everbloom Wilds,
36815,Assault on the Everbloom Wilds,
36816,Assault on the Broken Precipice,
36817,Assault on the Broken Precipice,
36818,Assault on Mok'gol Watchpost,
36819,Assault on Mok'gol Watchpost,
36820,Assault on the Gorian Proving Grounds,
36821,Assault on the Gorian Proving Grounds,
36822,Assault on the Iron Siegeworks,
36823,Assault on the Iron Siegeworks,
36826,Assault on Magnarok,
36827,Assault on Magnarok,
36860,Assault on Lost Veil Anzu,
36868,Battle in Ashran,
36869,Battle in Ashran,
37280,Snarlpaw Ledge,
37421,Kuuro's Claim,
37422,Zangarra,
37466,The Broken Academy,
37495,Plunder the Cove,
37585,Assault on the Iron Siegeworks,
37622,Assault on the Iron Siegeworks,
37623,Assault on Stonefury Cliffs,
37624,Assault on Stonefury Cliffs,
37625,Assault on Magnarok,
37626,Assault on Magnarok,
37627,Assault on the Broken Precipice,
37628,Assault on the Broken Precipice,
37629,Assault on Mok'gol Watchpost,
37630,Assault on Mok'gol Watchpost,
37631,Assault on Socrethar's Rise,
37632,Assault on Socrethar's Rise,
37633,Assault on Darktide Roost,
37634,Assault on Darktide Roost,
37635,Assault on Shattrath Harbor,
37636,Assault on Shattrath Harbor,
37749,Trials of Khadgar: Iron Maidens,
37779,Tip the Scales,
37865,Assault on Ironhold Harbor,
37866,Assault on Ironhold Harbor,
37921,Clearing the Docks,
37938,Assault on the Ruins of Kra'nak,
37963,Those Beyond Redemption,
37965,A Tainted Vintage,
37966,Assault on the Temple of Sha'naar,
37970,Assault on the Fel Forge,
38009,Assault on the Ruins of Kra'nak,
38020,Assault on the Temple of Sha'naar,
38040,Bleeding the Bleeding Hollow,
38043,Bleeding the Bleeding Hollow,
38051,Battle At The Iron Front,
38054,Battle At The Iron Front,
38204,Assault on the Gorian Proving Grounds,
38205,Assault on the Gorian Proving Grounds,
38343,Raze Hel,
38372,Wretched Sisters,
38374,Assault the Drekirjar,
38409,Test Bonus Objective,
38439,Assault on the Fel Forge,
38442,A Worthy Challenger,
38569,Clearing the Docks,
38587,Assault on the Throne of Kil'jaeden,
38588,Assault on the Throne of Kil'jaeden,
38708,Purge the River,
38716,Black Rook Hold,
38748,Ruins of Shala'nir,
38842,Faerie Fracas,
38865,Battle At The Iron Front,
38866,Battle At The Iron Front,
38868,Assault on the Ruins of Kra'nak,
38869,Assault on the Ruins of Kra'nak,
38870,Bleeding the Bleeding Hollow,
38871,Bleeding the Bleeding Hollow,
38876,Assault on the Fel Forge,
38877,Assault on the Fel Forge,
38939,Assault on Skold-Ashil,
39029,Defend The Temple,
39119,Assault on Skold-Ashil,
39274,Defend the Riverlands,
39279,Assault on Mardum,
39317,Siege of Crawliac,
39371,Witches of the Sky,
39393,Moonclaw Vale,
39424,Everything!,
39441,Bleeding the Bleeding Hollow,
39442,Bleeding the Bleeding Hollow,
39443,Battle At The Iron Front,
39444,Battle At The Iron Front,
39445,Assault on the Fel Forge,
39446,Assault on the Fel Forge,
39447,Assault on the Ruins of Kra'nak,
39448,Assault on the Ruins of Kra'nak,
39449,Assault on the Temple of Sha'naar,
39450,Assault on the Temple of Sha'naar,
39451,Assault on Ironhold Harbor,
39452,Assault on Ironhold Harbor,
39453,Assault on the Throne of Kil'jaeden,
39454,Assault on the Throne of Kil'jaeden,
39462,Primal Payback,
39576,Echoes of Deathwing,
39742,Vault of the Wardens,
39998,Drive Back the Tideskorn,
40050,Shipwreck Cove,
40111,Rout the Bilgefin Invaders,
40121,Ley Line Influences,
40226,Remnants of the Sashj'tar,
40277,Fight Night: Tiffany Nelson,
40278,My Beasts's Bidding,
40279,Training with Durian,
40280,Training with Bredda,
40282,"Tiny Poacher, Tiny Animals",
40298,Fight Night: Sir Galveston,
40299,Fight Night: Bodhi Sunwayver,
40316,The Screeching Crag,
40337,Flummoxed,
40390,Hallowed Ground,
40850,Prisoners of Greystone,
40895,The Haunted Mire,
40896,Threnody of Chieftains,
40920,Stonebinder Bounty,
40925,Bitestone Burglary,
40951,Bitestone Bazaar,
40966,Ritualists in Our Midsts,
40978,Bears Behaving Badly,
40979,Preying on Poachers,
40980,Boilback Plague,
40981,Blackswell Naga Incursion: Highmountain,
40984,Murkwater Naga Incursion: Highmountain,
40985,Rimescale Naga Incursion: Highmountain,
41011,Umbralshard Rituals,
41013,Darkbrul Arena,
41014,Fury Road,
41024,Dirge of the Dead,
41025,Rise of the Fallen,
41026,Back to the Shadows,
41055,Primal Payback,
41057,Primal Payback,
41076,Munitions Testing,
41077,Munitions Testing,
41078,Munitions Testing,
41089,Lords of the Hills,
41090,Lords of the Hills,
41091,Lords of the Hills,
41093,DANGER: Durguth,
41095,Critical Crops,
41122,Mists Take You,
41127,Gunksnout Infestation,
41130,Don't Fear the Weeper,
41131,Bound to the Sea,
41132,Queen of Serpents,
41133,Breaking Bones,
41144,Return to the River,
41145,Water of Life,
41196,Leystone Basilisks,
41198,Leystone Basilisks,
41199,Leystone Rumblers,
41200,Rough Leystone Outcropping,
41201,Coarse Leystone Outcropping,
41202,Crude Leystone Seams,
41203,Bright Leystone Deposits,
41204,Hard Leystone Deposits,
41205,Warm Leystone Deposits,
41206,Work Order: Leystone,
41207,Supplies Needed: Leystone,
41208,Brimstone Destroyer,
41209,Brimstone Destroyer,
41210,Brimstone Destroyer,
41211,Neltharion's Lair: Neltharion's Treasure,
41219,Flourishing Foxflower,
41223,Work Order: Foxflower,
41224,Supplies Needed: Foxflower,
41225,Felwort,
41227,Warden Tower Assault: Cordana's Apex,
41228,Foxflower Cluster,
41232,Thick Ironhorn Hide,
41233,Bristled Bear Skin,
41234,Shaggy Saber Hide,
41235,Work Order: Stonehide Leather,
41236,Where's Our Wine?,
41237,Supplies Needed: Stonehide Leather,
41238,Calcified Wormscales,
41239,Felhide,
41240,Work Order: Highmountain Salmon,
41242,Slab of Bacon,
41243,Huge Highmountain Salmon,
41244,Lively Highmountain Salmon,
41252,Wild Northern Barracuda,
41253,Migrating Highmountain Salmon,
41257,Warden Tower Assault: Cordana's Apex,
41259,Slab of Bacon,
41260,Slab of Bacon,
41261,Slab of Bacon,
41262,Slab of Bacon,
41264,Lively Cursed Queenfish,
41265,Huge Cursed Queenfish,
41266,Raft Fishing,
41267,Work Order: Cursed Queenfish,
41268,Queen Queenfish,
41269,Lively Mossgill Perch,
41270,Huge Mossgill Perch,
41271,Into the Whirlpool,
41272,Work Order: Mossgill Perch,
41273,Buoy Fishing,
41274,Lively Stormrays,
41275,Huge Stormrays,
41276,Rocket Boot Fishing,
41277,Work Order: Stormrays,
41278,Slippery Stormrays,
41279,Lively Runescale Koi,
