ID,Name_lang,Description_lang,ToastDescription_lang
18,,You may speak with Watcher Vesperbloom to recruit this adventurer.,New Adventurer Available
19,Soulbind Upgrade: Niya,You may access Niya's third row of Soulbind traits.,Niya Soulbind Row Unlocked
22,Soulbind Upgrade: Niya,You may access Niya's fourth row of Soulbind traits.,Niya Soulbind Row Unlocked
23,,You may speak with Watcher Vesperbloom to recruit this adventurer.,New Adventurer Available
25,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's fourth row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
28,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's fifth row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
29,,This recovered memory will become available for purchase from the Renown Quartermaster.,New Recovered Memory Available
31,Soulbind Upgrade: Niya,You may access Niya's fifth row of Soulbind traits.,Niya Soulbind Row Unlocked
32,,You may speak with Watcher Vesperbloom to recruit this adventurer.,New Adventurer Available
33,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
35,,,New Appearance Available
36,,Illusion: Wild Soul will become available for purchase from the Renown Quartermaster.,Illusion: Wild Soul Available
37,,The Night Fae Hearthstone toy will become available for purchase from the Renown Quartermaster.,Night Fae Hearthstone Available
39,Night Fae Campaign: Drust and Ashes,You may begin the next chapter of the Night Fae Campaign. Completing this chapter will allow you to soulbind with Hunt-Captain Korayn.,New Campaign Quest Available
40,,Trootie will become available for adoption from the Renown Quartermaster.,Companion Pet Available
41,Soulbind Upgrade: Niya,You may access Niya's sixth row of Soulbind traits.,Niya Soulbind Row Unlocked
42,,You may speak with Watcher Vesperbloom to recruit this adventurer.,New Adventurer Available
43,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
44,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
45,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
48,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's sixth row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
50,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
51,Soulbind Upgrade: Niya,You may access Niya's seventh row of Soulbind traits.,Niya Soulbind Row Unlocked
52,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's seventh row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
53,,You may speak with Watcher Vesperbloom to recruit her.,New Adventurer Available
55,Soulbind Upgrade: Korayn,You may access Koryan's seventh row of Soulbind traits.,Korayn Soulbind Row Unlocked
59,,You may speak with Watcher Vesperbloom to recruit this adventurer.,New Adventurer Available
62,,,Mount Unlocked
63,,,Title Unlocked
64,,,New Appearance Available
67,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
68,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
69,Soulbind Upgrade: Pelagos,You may access Pelagos's third row of Soulbind traits.,Pelagos Soulbind Row Unlocked
75,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
78,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
81,Soulbind Upgrade: Pelagos,You may access Pelagos's fourth row of Soulbind traits.,Pelagos Soulbind Row Unlocked
82,Soulbind Upgrade: Pelagos,You may access Pelagos's fifth row of Soulbind traits.,Pelagos Soulbind Row Unlocked
83,Soulbind Upgrade: Pelagos,You may access Pelagos's sixth row of Soulbind traits.,Pelagos Soulbind Row Unlocked
84,Soulbind Upgrade: Pelagos,You may access Pelagos's seventh row of Soulbind traits.,Pelagos Soulbind Row Unlocked
85,Soulbind Upgrade: Kleia,You may access Kleia's fourth row of Soulbind traits.,Kleia Soulbind Row Unlocked
86,Soulbind Upgrade: Kleia,You may access Kleia's fifth row of Soulbind traits.,Kleia Soulbind Row Unlocked
87,Soulbind Upgrade: Kleia,You may access Kleia's sixth row of Soulbind traits.,Kleia Soulbind Row Unlocked
88,Soulbind Upgrade: Kleia,You may access Kleia's seventh row of Soulbind traits.,Kleia Soulbind Row Unlocked
90,Soulbind Upgrade: Mikanikos,You may access Mikanikos's seventh row of Soulbind traits.,Mikanikos Soulbind Row Unlocked
91,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
92,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
93,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
94,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
95,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
100,,This recovered memory will become available for purchase from the Renown Quartermaster.,New Recovered Memory Available
103,,Ruffle will become available for adoption from the Renown Quartermaster.,Companion Pet Available
104,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
105,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
106,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
108,,,New Appearance Available
109,,,Mount Unlocked
110,,,Title Unlocked
112,,,New Appearance Available
113,,The Kyrian Hearthstone toy will become available for purchase from the Renown Quartermaster.,Kyrian Hearthstone Available
114,,Illusion: Transcendent Soul will become available for purchase from the Renown Quartermaster.,Illusion: Transcendent Soul Available
117,Soulbind Upgrade: Nadjia,You may access Nadjia's third row of Soulbind traits.,Nadjia Soulbind Row Unlocked
118,Soulbind Upgrade: Nadjia,You may access Nadjia's fourth row of Soulbind traits.,Nadjia Soulbind Row Unlocked
119,Soulbind Upgrade: Nadjia,You may access Nadjia's fifth row of Soulbind traits.,Nadjia Soulbind Row Unlocked
120,Soulbind Upgrade: Nadjia,You may access Nadjia's sixth row of Soulbind traits.,Nadjia Soulbind Row Unlocked
121,Soulbind Upgrade: Nadjia,You may access Nadjia's seventh row of Soulbind traits.,Nadjia Soulbind Row Unlocked
123,Soulbind Upgrade: Theotar,You may access Theotar's fourth row of Soulbind traits.,Theotar Soulbind Row Unlocked
124,Soulbind Upgrade: Theotar,You may access Theotar's fifth row of Soulbind traits.,Theotar Soulbind Row Unlocked
125,Soulbind Upgrade: Theotar,You may access Theotar's sixth row of Soulbind traits.,Theotar Soulbind Row Unlocked
126,Soulbind Upgrade: Theotar,You may access Theotar's seventh row of Soulbind traits.,Theotar Soulbind Row Unlocked
128,Soulbind Upgrade: Draven,You may access General Draven's seventh row of Soulbind traits.,Draven Soulbind Row Unlocked
129,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
130,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
131,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
132,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
133,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
134,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
139,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
142,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
149,,This recovered memory will become available for purchase from the Renown Quartermaster.,New Recovered Memory Available
152,,This appearance will become available for purchase.,New Appearance Available
153,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
154,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
155,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
156,,,New Appearance Available
158,,,Mount Unlocked
159,,,Title Unlocked
160,,,Title Unlocked
161,,Sinheart will become available for adoption from the Renown Quartermaster.,Companion Pet Available
162,,Illusion: Sinwrath will become available for purchase from the Renown Quartermaster.,Illusion: Sinwrath Available
163,,The Venthyr Sinstone toy will become available for purchase from the Renown Quartermaster.,Venthyr Sinstone Available
166,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's third row of Soulbind traits.,Marileth Soulbind Row Unlocked
167,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's fourth row of Soulbind traits.,Marileth Soulbind Row Unlocked
168,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's fifth row of Soulbind traits.,Marileth Soulbind Row Unlocked
169,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's sixth row of Soulbind traits.,Marileth Soulbind Row Unlocked
170,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's seventh row of Soulbind traits.,Marileth Soulbind Row Unlocked
172,Soulbind Upgrade: Emeni,You may access Princess Emeni's fourth row of Soulbind traits.,Emeni Soulbind Row Unlocked
173,Soulbind Upgrade: Emeni,You may access Princess Emeni's fifth row of Soulbind traits.,Emeni Soulbind Row Unlocked
174,Soulbind Upgrade: Emeni,You may access Princess Emeni's sixth row of Soulbind traits.,Emeni Soulbind Row Unlocked
175,Soulbind Upgrade: Emeni,You may access Princess Emeni's seventh row of Soulbind traits.,Emeni Soulbind Row Unlocked
177,Soulbind Upgrade: Heirmir,You may access Bonesmith Heirmir's seventh row of Soulbind traits.,Heirmir Soulbind Row Unlocked
183,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
186,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
193,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
194,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
195,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
196,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
197,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
198,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
199,,This recovered memory will become available for purchase from the Renown Quartermaster.,New Recovered Memory Available
202,,,New Appearance Available
203,,,New Appearance Available
204,,Illusion: Unbreakable Resolve will become available for purchase from the Renown Quartermaster.,Illusion: Unbreakable Resolve Available
205,,The Necrolord Hearthstone toy will become available for purchase from the Renown Quartermaster.,Necrolord Hearthstone Available
206,,Jiggles will become available for adoption from the Renown Quartermaster.,Companion Pet Available
207,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
208,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
209,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
210,,,Mount Unlocked
212,,,Title Unlocked
213,,,Title Unlocked
216,,This mount will become available for purchase from the Renown Quartermaster.,New Mount Available
225,Kyrian Campaign: The Bell Tolls,You may begin the next chapter of the Kyrian Campaign. Completing this chapter will allow you to soulbind with Forgelite Prime Mikanikos.,New Campaign Quest Available
226,Necrolord Campaign: Assault on the House of Rituals,You may begin the next chapter of the Necrolord Campaign. Completing this chapter will allow you to soulbind with Bonesmith Heirmir.,New Campaign Quest Available
