ID,Name_lang,Description_lang
1074,Deadly Dagger,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Deadly Dagger appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""You're in Keg Leg's Crew now, swabbie. Here's your dagger, get to plundering!"""
1075,Swabbie's Gloves,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Swabbie's Gloves appearance.|n|n""Leather gloves to help you grab the loot."""
1076,Surefooted Boots,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Surefooted Boots appearance.|n|n""Helps you keep your footing on ship or on land."""
1077,Quilted Breeches,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Quilted Breeches appearance.|n|n""A new pair of pants to cushion your landing."""
1078,Calcified Claymore,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Calcified Claymore appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""A sword is like a dagger, but larger."""
1231,Spun Cotton Shirt,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Spun Cotton Shirt appearance.|n|nAlso unlocks the Shabby Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger."
1232,Skulker's Cloak,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Skulker's Cloak appearance.|n|n""Some plunderers prefer to stay in the shadows."""
1233,Copper Cannon,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Copper Cannon appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Plundering is easier with a cannon at your side."""
1234,Warm Woolen Cap,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Warm Woolen Cap appearance.|n|n""Even the swarthiest pirate gets cold sometimes."""
1235,Silver Tidestallion,"|cFF00ccffDragonflight Mount|r|n|nUnlocks the Silver Tidestallion underwater mount.|n|n""It smells like shrimp."""
1236,Bubbles,"|cFF00ccffDragonflight Pet|r|n|cFF1eff00Plunderstorm Pet|r|n|nUnlocks the Bubbles pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.|n|n""It followed you home!"""
1237,Swindler's Cutouts,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Swindler's Cutouts appearance.|n|n""For those skilled in slight of hand."""
1238,Blacksteel Saber,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Blacksteel Saber appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Forged for swarthy swashbuckling action."""
1239,Silent Leathers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Silent Leathers appearance.|n|n""Sometimes hiding is the best offense."""
1240,Handwoven Trousers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Handwoven Trousers appearance.|n|n""A gift from the captain. They're tailor-made just for you!"""
1241,Marvelous Multi-Shot,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Marvelous Multi-Shot appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Aim away from face."""
1242,Fine Crimson Doublet,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Fine Crimson Doublet appearance.|n|nAlso unlocks the Snazzy Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger."
1243,Bloody Iron Cleaver,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Bloody Iron Cleaver appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""A bloody axe for a bloody good pirate!"""
1244,Weatherproven Drape,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Weatherproven Drape appearance.|n|n""It says ""proven,"" not ""proof."" Don't jump in the lake."""
1245,Royal Seafeather,"|cFF00ccffDragonflight Mount|r|n|nUnlocks the Royal Seafeather flying mount.|n|n""With the amount of plunder you have, it'd be a crime not to have a giant parrot."""
1246,Storm Captain's Hat,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Storm Captain's Hat appearance.|n|n""A fine hat for the captain in the storm!"""
