ID,Name_lang
9,Ironband's Excavation Site
10,Ironbeard's Tomb
12,Whelgar's Excavation Site
13,Greenwarden's Fossil Bank
15,Thoradin's Wall
18,Witherbark Digsite
19,Thandol Span
20,Dun Garok Digsite
21,Southshore Fossil Field
22,Aerie Peak Digsite
23,Shadra'Alor Digsite
24,Altar of Zul Digsite
25,Jintha'Alor Lower City Digsite
26,Jintha'Alor Upper City Digsite
27,Agol'watha Digsite
140,TEMPLATE TROLL
142,TEMPLATE DWARF
144,Hammertoe's Digsite
146,Tomb of the Watchers Digsite
150,Uldaman Entrance Digsite
152,Sunken Temple Digsite
154,Misty Reed Fossil Bank
161,TEMPLATE NIGHT ELF 
163,Twilight Grove Digsite
165,Vul'Gol Fossil Bank
167,Nazj'vel Digsite
169,Zoram Strand Digsite
171,Ruins of Ordil'Aran
173,Ruins of Stardust
175,Forest Song Digsite
177,Stonetalon Peak
179,Ruins of Eldre'Thar
181,Unearthed Grounds
183,Bael Modan Digsite
185,Ruins of Eldarath
187,Ruins of Arkkoran
189,Lakeridge Highway Fossil Bank
191,Slitherblade Shore Digsite
193,Ethel Rethor Digsite
195,Valley of Bones
197,Mannoroc Coven Digsite
199,Kodo Graveyard
201,Sargeron Digsite
203,Red Reaches Fossil Bank
205,Dreadmaul Fossil Field
207,Grimsilt Digsite
209,Pyrox Flats Digsite
211,Western Ruins of Thaurissan
213,Eastern Ruins of Thaurissan
215,Terror Wing Fossil Field
217,Zul'Mashar Digsite
219,Quel'Lithien Lodge Digsite
221,Infectis Scar Fossil Field
223,Eastern Zul'Kunda Digsite
225,Western Zul'Kunda Digsite
227,Bal'lal Ruins Digsite
229,Balia'mah Digsite
231,Ziata'jai Digsite
233,Eastern Zul'Mamwe Digsite
235,Western Zul'Mamwe Digsite
237,Savage Coast Raptor Fields
239,Ruins of Aboraz
241,Ruins of Jubuwal
243,Gurubashi Arena Digsite
245,Nek'mani Wellspring Digsite
247,Felstone Fossil Field
249,Northridge Fossil Field
251,Andorhal Fossil Bank
259,Wyrmbog Fossil Field
261,Quagmire Fossil Field
