ID,Name_lang
2,Slick Ice
3,Cold Front
4,Freezing Winds
5,Glacial Fragments
6,Expanded Potential
7,Disciplinary Command
8,Grisly Icicle
9,Temporal Warp
10,Fevered Incantation
11,Firestorm
12,Molten Skyfall
13,Sun King's Blessing
14,Arcane Infinity
15,Arcane Bombardment
16,Siphon Storm
17,Triune Ward
18,Collective Anguish
19,Fel Bombardment
20,Darkglare Medallion
21,Darkest Hour
22,Darker Nature
23,Chaos Theory
24,Erratic Fel Core
25,Burning Wound
26,Spirit of the Darkness Flame
27,Razelikh's Defilement
28,Fel Flame Fortification
29,Fiery Soul
30,Superstrain
31,Phearomones
32,Death's Embrace
33,Grip of the Everlasting
34,Bryndaor's Might
35,Crimson Rune Weapon
36,Gorefiend's Domination
37,Vampiric Aura
38,Koltira's Favor
39,Biting Cold
40,Absolute Zero
41,Rage of the Frozen Champion
42,Reanimated Shambler
43,Frenzied Monstrosity
44,Death's Certainty
45,Deadliest Coil
46,Draught of Deep Focus
47,Circle of Life and Death
48,Lycara's Fleeting Glimpse
49,Oath of the Elder Druid
50,Oneth's Clear Vision
51,Primordial Arcanic Pulsar
52,Balance of All Things
53,Timeworn Dreambinder
54,Frenzyband
55,Apex Predator's Craving
56,Eye of Fearful Symmetry
57,Cat-Eye Curio
58,Luffa-Infused Embrace
59,The Natural Order's Will
60,Ursoc's Fury Remembered
61,Legacy of the Sleeper
62,Memory of the Mother Tree
63,The Dark Titan's Lesson
64,Verdant Infusion
65,Vision of Unending Growth
66,Call of the Wild
67,Nessingwary's Trapping Apparatus
68,Soulforge Embers
69,Craven Strategem
70,Dire Command
71,Flamewaker's Cobra Sting
72,"Qa'pla, Eredun War Order"
73,Rylakstalker's Piercing Fangs
74,Eagletalon's True Focus
75,Surging Shots
76,Serpentstalker's Trickery
77,Secrets of the Unblinking Vigil
78,Wildfire Cluster
79,Rylakstalker's Confounding Strikes
80,Latent Poison Injectors
81,Butcher's Bone Fragments
82,Escape from Reality
83,Invoker's Delight
84,Swiftsure Wraps
85,Fatal Touch
86,Charred Passions
87,Stormstout's Last Keg
88,Celestial Infusion
89,Shaohao's Might
90,Ancient Teachings of the Monastery
